Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 15:18:38, 19.10,    -3,     4,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:18:39, 19.07,    -4,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:18:40, 19.11,    -4,     3,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:18:41, 19.13,    -3,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:18:42, 19.08,    -6,     2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:18:43, 19.03,    -4,     2,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:18:44, 19.10,    -4,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:18:45, 22.29,  -317,   191,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:18:46, 20.86,  -297,   207,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:18:47, 20.78,  -292,   210,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:18:48, 19.07,    -5,     3,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 15:18:49, 19.09,    -4,     2,     0,     0,     0,-0.031, 0.000,     0,     0,     0,     0
2016-11-30 15:18:50, 19.05,    -5,     3,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:18:51, 19.05,    -5,     2,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 15:18:52, 18.83,    -5,     1,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 15:18:53, 19.41,    -5,     3,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 15:18:54, 19.10,    -6,     3,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:18:55, 19.16,     3,     3,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:18:56, 19.14,     4,     3,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 15:18:57, 21.61,  -296,   185,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 15:18:58, 21.93,    -3,   176,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:18:59, 21.59,     5,     8,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 15:19:00, 21.45,     8,     9,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 15:19:01, 21.91,    -2,    -1,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:19:02, 21.44,     6,     8,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 15:19:03, 21.41,     5,    -3,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 15:19:04, 21.92,    -3,    -8,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:05, 21.42,     7,     1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:06, 21.89,    -1,    -3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:07, 21.80,    -4,    -4,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:08, 21.38,     7,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:09, 21.65,    -9,    -1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:10, 22.06,   -14,     3,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:11, 21.63,    -5,    12,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:12, 21.61,    -4,     9,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:19:13, 22.08,   -16,     0,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:14, 21.72,    -8,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:15, 20.83,    68,    86,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:16, 18.07,    91,   111,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:17, 16.99,   128,   139,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 15:19:18, 15.42,   153,   160,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:19, 14.95,   170,   169,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:20, 14.34,   180,   177,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 15:19:21, 13.87,   184,   179,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 15:19:22, 13.34,   204,   197,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 15:19:23, 12.79,   209,   203,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
