Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 10:15:32, 19.09,    -5,     6,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:33, 19.12,    -3,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:34, 19.11,    -3,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:35, 19.12,    -3,     6,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:36, 19.12,    -4,     6,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:15:37, 19.15,    -5,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:38, 19.12,    -5,     6,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:39, 19.14,    -2,     6,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:15:40, 19.15,    -2,     6,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:41, 19.11,    -4,     7,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:42, 19.14,   -11,     4,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:43, 19.16,    -4,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:44, 19.12,    -5,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:45, 19.10,     2,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:46, 19.11,     0,     7,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:47, 19.09,     1,     7,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:15:48, 19.12,     3,     3,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:49, 19.14,     1,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:50, 19.13,     3,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:51, 19.18,     5,     4,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:52, 19.13,     2,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:53, 19.14,     2,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:15:54, 19.16,     2,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:55, 19.09,     1,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:56, 19.10,     3,     4,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:15:57, 19.09,     3,     5,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:15:58, 19.12,     2,     4,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:15:59, 19.08,     1,     6,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:00, 19.12,     3,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:01, 19.09,     2,     6,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:02, 19.08,     4,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:03, 19.11,     3,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:04, 19.10,     2,     5,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:16:05, 19.12,     3,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:16:06, 19.13,     2,     4,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:07, 19.11,     4,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:08, 19.13,     4,     5,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:09, 19.08,     1,     5,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:10, 16.44,    53,    49,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:11, 15.54,    66,    53,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:12, 14.79,    82,    63,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:13, 13.64,    98,    80,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:16:14, 12.98,   108,    88,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:15, 12.74,   116,    90,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:16, 12.03,   125,   108,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:17, 11.66,   127,   116,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:18, 11.15,   138,   126,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:19, 10.33,   148,   131,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:20,  9.88,   157,   148,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:21,  9.27,   161,   157,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:22,  8.07,   181,   166,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:16:23,  6.97,   197,   185,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:24,  6.23,   202,   198,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:16:25,  5.21,   225,   210,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:16:26,  4.30,   236,   226,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
