?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
350.000000,0.128600,0.107344,0.040088,0.139336,0.094320,0.113096,0.050474,0.070361,0.126621,0.093440,0.053129,0.083358,0.112600,0.064618,0.231837,0.223357
360.000000,0.122057,0.117703,0.046781,0.388008,0.086726,0.160766,0.060315,0.094902,0.165521,0.154108,0.067049,0.155148,0.191116,0.075797,0.289112,0.268184
370.000000,0.121432,0.115842,0.060252,0.646520,0.072612,0.216446,0.088766,0.105634,0.197967,0.195319,0.085393,0.206476,0.280013,0.077485,0.332904,0.306125
380.000000,0.119907,0.114875,0.071885,0.909150,0.066632,0.259994,0.131894,0.143503,0.242129,0.239962,0.096667,0.249922,0.375140,0.066402,0.347549,0.368835
390.000000,0.136141,0.122586,0.076699,0.920056,0.060702,0.267326,0.150951,0.132741,0.255189,0.239212,0.105427,0.241280,0.372583,0.082384,0.360664,0.373563
400.000000,0.144337,0.133038,0.074681,0.926014,0.070411,0.269045,0.142636,0.150248,0.250805,0.238007,0.103248,0.241399,0.382172,0.080458,0.386825,0.380223
410.000000,0.145462,0.141458,0.082089,0.918361,0.070577,0.271985,0.136428,0.150168,0.263212,0.244207,0.105608,0.261596,0.380309,0.095126,0.418780,0.381840
420.000000,0.137270,0.146182,0.084578,0.947976,0.086227,0.278307,0.137888,0.174468,0.274112,0.266282,0.104909,0.274710,0.392252,0.088678,0.420136,0.383546
430.000000,0.139713,0.147876,0.092537,0.976286,0.094795,0.286694,0.140847,0.182591,0.288642,0.288259,0.115147,0.299417,0.394082,0.091232,0.421843,0.381435
440.000000,0.144419,0.150369,0.090746,0.974489,0.107573,0.297261,0.126720,0.183899,0.288586,0.314880,0.124172,0.307257,0.396993,0.098603,0.436633,0.384532
450.000000,0.154133,0.148063,0.088526,0.959280,0.111018,0.293708,0.118611,0.173852,0.281903,0.320596,0.139387,0.323150,0.392103,0.103579,0.450916,0.403915
460.000000,0.153117,0.148214,0.094743,0.951663,0.127672,0.295800,0.133921,0.185508,0.291010,0.304363,0.150422,0.333908,0.389302,0.111661,0.474929,0.410854
470.000000,0.156115,0.150812,0.094941,0.931026,0.133294,0.295055,0.159721,0.204893,0.305928,0.280655,0.151196,0.348396,0.401725,0.103607,0.484850,0.410323
471.000014,0.157315,0.161279,0.099625,0.951226,0.137193,0.306342,0.162283,0.220258,0.335725,0.252398,0.146090,0.361411,0.409663,0.102547,0.520080,0.401535
472.000014,0.164371,0.181757,0.098840,0.954483,0.124053,0.317942,0.157835,0.208968,0.343506,0.252561,0.138365,0.353768,0.418749,0.109386,0.519958,0.397654
473.000014,0.176121,0.180427,0.101037,0.960572,0.118243,0.333385,0.137642,0.200289,0.330517,0.243925,0.140597,0.345259,0.413853,0.112478,0.516390,0.403234
474.000014,0.175791,0.166250,0.083477,0.926827,0.121975,0.326268,0.141924,0.203434,0.305258,0.252511,0.144393,0.342434,0.414378,0.105982,0.502704,0.406688
475.000014,0.182644,0.164014,0.087472,0.942234,0.133645,0.331782,0.134150,0.212522,0.301538,0.253408,0.148658,0.353430,0.416157,0.109687,0.505101,0.418278
476.000014,0.177413,0.170968,0.089064,0.950213,0.134351,0.323099,0.147232,0.210914,0.290005,0.268396,0.148860,0.361033,0.407421,0.114447,0.528553,0.416107
477.000014,0.178888,0.171955,0.102249,0.953303,0.132440,0.343426,0.146753,0.220398,0.299810,0.283568,0.140080,0.350366,0.411877,0.123145,0.522516,0.404963
478.000014,0.166650,0.180685,0.092042,0.938390,0.130349,0.339865,0.154985,0.218473,0.301734,0.286258,0.137398,0.354081,0.407918,0.116440,0.524859,0.393747
479.000014,0.164310,0.182321,0.085941,0.954594,0.138443,0.341145,0.149316,0.231585,0.329411,0.296248,0.140043,0.358966,0.419368,0.120019,0.518744,0.395653
480.000014,0.165766,0.181379,0.086637,0.974709,0.136057,0.323619,0.134369,0.229887,0.331266,0.280714,0.151875,0.359623,0.418802,0.114770,0.539431,0.414949
481.000014,0.168182,0.171062,0.088390,0.967249,0.136992,0.322886,0.125365,0.228794,0.326403,0.284096,0.154135,0.355098,0.433256,0.120192,0.548188,0.428308
482.000014,0.170230,0.170676,0.096861,0.958862,0.134451,0.335930,0.122813,0.217155,0.304235,0.277945,0.145790,0.354500,0.427627,0.120372,0.539807,0.432124
483.000014,0.171985,0.174284,0.103142,0.930166,0.148704,0.345639,0.146552,0.214368,0.297044,0.261564,0.142016,0.372578,0.428987,0.117394,0.538326,0.420631
484.000014,0.162808,0.158194,0.093872,0.937399,0.153353,0.330649,0.159408,0.226522,0.280184,0.252965,0.144587,0.389260,0.413423,0.115452,0.539800,0.409259
