?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
350.000000,0.265731,0.287253,0.216968,0.351467,0.248954,0.172221,0.591263,0.254837,0.141914,0.119850,0.205262,0.214644,0.571764,0.169131,0.137566,0.212478
360.000000,0.284196,0.301495,0.216499,0.364870,0.260264,0.212867,0.649429,0.286974,0.160092,0.143290,0.232377,0.222816,0.593151,0.178964,0.142962,0.213094
370.000000,0.292850,0.270937,0.196687,0.283069,0.279761,0.258245,0.642882,0.331161,0.170915,0.145932,0.262402,0.236801,0.602699,0.193579,0.155962,0.237382
380.000000,0.305958,0.293377,0.190946,0.319830,0.290648,0.286132,0.606050,0.338563,0.187983,0.165559,0.287263,0.258120,0.609679,0.206452,0.165419,0.247368
390.000000,0.352560,0.319567,0.216615,0.239732,0.319270,0.294502,0.566792,0.370144,0.194273,0.169836,0.331410,0.288178,0.626850,0.237324,0.178480,0.275177
400.000000,0.401246,0.342384,0.226732,0.239749,0.354173,0.286910,0.722927,0.398835,0.212145,0.188532,0.356815,0.332518,0.665561,0.256557,0.191835,0.284607
410.000000,0.439520,0.374138,0.249085,0.251494,0.385508,0.274921,0.754385,0.434645,0.222635,0.186848,0.374528,0.359247,0.691907,0.275098,0.196464,0.293976
420.000000,0.472661,0.398113,0.250096,0.311380,0.417761,0.343914,0.838496,0.458629,0.244005,0.200089,0.397419,0.393639,0.726392,0.318536,0.220644,0.310890
430.000000,0.522206,0.425991,0.272938,0.380927,0.460132,0.385305,0.357327,0.506391,0.251426,0.204821,0.431898,0.397482,0.758920,0.340669,0.234645,0.335903
440.000000,0.586690,0.442381,0.283253,0.385217,0.513061,0.448740,0.000957,0.568755,0.268563,0.210396,0.484061,0.418167,0.796750,0.378043,0.262156,0.366423
450.000000,0.640851,0.482957,0.301858,0.362510,0.568028,0.438549,-0.346813,0.649720,0.307039,0.196006,0.539399,0.417242,0.805711,0.382590,0.271262,0.393538
460.000000,0.692768,0.535170,0.297546,0.375388,0.610518,0.463695,-0.320345,0.705074,0.320048,0.210648,0.603266,0.461924,0.831870,0.430031,0.291137,0.422078
470.000000,0.734761,0.565006,0.310087,0.443933,0.652195,0.475995,-0.316831,0.750434,0.346927,0.209262,0.628425,0.493418,0.835944,0.446007,0.293908,0.440838
471.000014,0.766024,0.566037,0.311461,0.411670,0.669228,0.462766,-0.282205,0.778584,0.375959,0.249349,0.640562,0.526674,0.844497,0.461636,0.304360,0.442601
472.000014,0.772788,0.560422,0.322584,0.335518,0.667757,0.470254,0.003572,0.771007,0.410902,0.253382,0.640349,0.523301,0.848503,0.475384,0.288899,0.441288
473.000014,0.787937,0.570168,0.317488,0.258367,0.667914,0.439653,0.271963,0.773325,0.392020,0.266900,0.640826,0.530048,0.866416,0.477784,0.298554,0.446998
474.000014,0.808412,0.583907,0.314806,0.249734,0.672249,0.465910,0.240813,0.770498,0.376619,0.268043,0.637654,0.534728,0.870614,0.468167,0.291482,0.453941
475.000014,0.828202,0.574181,0.315213,0.308687,0.695675,0.466966,0.263934,0.801435,0.372424,0.263519,0.644758,0.552152,0.865759,0.470219,0.297889,0.460379
476.000014,0.821964,0.561509,0.310913,0.311926,0.693563,0.497740,0.449285,0.818506,0.383706,0.302520,0.671924,0.553203,0.879048,0.493899,0.303976,0.456070
477.000014,0.832957,0.566972,0.310422,0.316704,0.693056,0.487272,0.441288,0.817590,0.372705,0.273208,0.683578,0.564832,0.907944,0.506778,0.308112,0.454848
478.000014,0.830308,0.592971,0.312642,0.360389,0.690497,0.498887,0.196772,0.817193,0.371498,0.283281,0.683483,0.561123,0.907749,0.494973,0.310641,0.452373
479.000014,0.846847,0.607085,0.326302,0.360870,0.686007,0.504233,-0.258144,0.812518,0.396728,0.266127,0.690692,0.551430,0.881411,0.483366,0.299085,0.446003
480.000014,0.836342,0.596814,0.320228,0.369820,0.685457,0.558703,-0.200145,0.813722,0.428046,0.290289,0.693088,0.551059,0.866055,0.508231,0.313019,0.442179
481.000014,0.854845,0.592010,0.306559,0.295916,0.689481,0.551081,-0.066694,0.815949,0.416859,0.305549,0.690735,0.569363,0.881445,0.522269,0.317501,0.438906
482.000014,0.881059,0.595043,0.290192,0.262874,0.721418,0.584854,0.294147,0.847373,0.391946,0.264181,0.690323,0.582601,0.910799,0.513026,0.312737,0.458054
483.000014,0.906816,0.631031,0.295829,0.246425,0.753896,0.529488,0.257414,0.873313,0.379566,0.247292,0.693156,0.583373,0.907788,0.493884,0.287640,0.482378
484.000014,0.920595,0.631639,0.310680,0.222654,0.761749,0.543233,0.135241,0.884874,0.403560,0.227127,0.713329,0.571646,0.903786,0.485939,0.286576,0.488435
485.000014,0.909798,0.625623,0.325016,0.290023,0.769234,0.516215,-0.141096,0.896822,0.427007,0.272394,0.705377,0.567896,0.886846,0.479228,0.296605,0.477600
486.000014,0.894395,0.594657,0.325592,0.304335,0.748323,0.534537,0.172776,0.894685,0.428441,0.298988,0.713745,0.594786,0.898068,0.497473,0.314029,0.464527
487.000014,0.907915,0.665704,0.344667,0.305567,0.764109,0.483398,0.501067,0.911122,0.444469,0.293331,0.724028,0.593783,0.904654,0.496495,0.310623,0.476202
488.000014,0.941243,0.674274,0.340670,0.242602,0.774133,0.499828,0.428131,0.911752,0.443243,0.274218,0.736206,0.586907,0.914688,0.509049,0.309771,0.485530
489.000014,0.974015,0.679926,0.335430,0.225193,0.782221,0.523940,0.516629,0.931139,0.449332,0.274639,0.760056,0.581295,0.937727,0.510005,0.319841,0.492253
490.000014,1.005238,0.629893,0.311043,0.238873,0.803720,0.575779,0.540229,0.940659,0.421820,0.286126,0.770256,0.595291,0.941432,0.536304,0.333453,0.489446
491.000014,1.021718,0.652331,0.329694,0.236571,0.822681,0.559110,0.538091,0.951510,0.441119,0.283571,0.777012,0.612592,0.947254,0.542259,0.348135,0.492223
492.000014,1.030756,0.661459,0.336619,0.345134,0.852507,0.544149,0.454946,0.969260,0.457612,0.269035,0.783125,0.605643,0.953733,0.545708,0.352516,0.485594
493.000014,1.021031,0.661464,0.331478,0.327738,0.849250,0.537954,0.019623,0.986406,0.467461,0.281048,0.793850,0.618004,0.979500,0.553615,0.353602,0.487430
