?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],A 1.eps1 [%],C1.eps1 [%],A 1.dY [mm],C1.dY [mm]
400.000000,0.210232,0.175030,0.171810,0.177464,0.236892,0.153262,0.176385,0.257735,0.204783,0.164654,0.174736,0.149178,4.825705,4.839286
410.000000,0.230729,0.188910,0.201436,0.221197,0.275918,0.177053,0.174012,0.279215,0.209212,0.160438,0.180057,0.152505,4.892958,4.905264
411.000014,0.278931,0.209416,0.208655,0.200172,0.283795,0.174746,0.196965,0.333798,0.204749,0.206734,0.195643,0.157865,4.931049,4.942777
412.000014,0.258166,0.195804,0.182460,0.183291,0.262798,0.167280,0.209788,0.347790,0.222456,0.215261,0.200017,0.166754,4.941641,4.953084
413.000014,0.248249,0.197900,0.195890,0.151348,0.244933,0.148082,0.225137,0.335413,0.243906,0.231756,0.210162,0.171596,4.952459,4.963449
414.000014,0.222235,0.205148,0.198858,0.126916,0.270888,0.117542,0.293687,0.305350,0.238757,0.230855,0.216332,0.171123,4.965666,4.976423
415.000014,0.224037,0.203905,0.198784,0.088295,0.314522,0.082293,0.312237,0.276338,0.205104,0.226772,0.213992,0.164980,4.977485,4.988061
416.000014,0.209004,0.192954,0.183614,0.073184,0.302667,0.065077,0.340225,0.245424,0.215369,0.216812,0.212349,0.170816,4.988864,4.999134
417.000014,0.181132,0.196414,0.159382,0.083565,0.298982,0.069974,0.293786,0.227409,0.215532,0.217326,0.207753,0.165403,4.999088,5.009152
418.000014,0.153306,0.178083,0.156782,0.072286,0.283177,0.120501,0.268648,0.193912,0.178278,0.186301,0.207666,0.150948,5.007826,5.017775
419.000014,0.166397,0.166740,0.141212,0.055268,0.312670,0.146812,0.249862,0.180176,0.121508,0.180584,0.199806,0.140181,5.016628,5.026511
420.000014,0.169961,0.149495,0.136048,0.056742,0.280507,0.169353,0.254074,0.180264,0.102033,0.187556,0.198059,0.139482,5.023755,5.033273
421.000014,0.165323,0.149516,0.125125,0.053620,0.262793,0.147854,0.258576,0.188867,0.120563,0.216400,0.202724,0.156300,5.032577,5.041764
422.000014,0.151018,0.135729,0.112869,0.061061,0.254987,0.163118,0.221263,0.174594,0.102471,0.173298,0.200562,0.147101,5.041710,5.050737
423.000014,0.142052,0.121120,0.103191,0.047235,0.265351,0.159140,0.199898,0.145839,0.097066,0.142208,0.203476,0.150171,5.053662,5.062595
424.000014,0.178544,0.131204,0.097712,0.063664,0.250687,0.190913,0.174361,0.125815,0.105770,0.125398,0.196366,0.144289,5.065107,5.073772
425.000014,0.200813,0.159887,0.102462,0.089414,0.266328,0.190830,0.194399,0.124907,0.146891,0.137087,0.189488,0.151314,5.077580,5.085823
426.000014,0.241675,0.195558,0.137768,0.150834,0.286608,0.188879,0.206989,0.144756,0.183408,0.127839,0.175498,0.142804,5.087654,5.095627
427.000014,0.256648,0.192028,0.172924,0.164960,0.308192,0.173270,0.242579,0.170636,0.214717,0.122148,0.166654,0.134078,5.098672,5.106548
428.000014,0.262344,0.178515,0.205032,0.163794,0.301556,0.181483,0.275534,0.195381,0.253527,0.140906,0.164855,0.128707,5.106617,5.114331
429.000014,0.247759,0.172686,0.200240,0.145178,0.295705,0.187132,0.281641,0.192388,0.252415,0.168644,0.178972,0.142425,5.115695,5.123193
430.000014,0.251338,0.193268,0.198895,0.176239,0.368578,0.183583,0.278237,0.195009,0.256661,0.173378,0.183364,0.151559,5.123413,5.130636
431.000014,0.267466,0.235057,0.206913,0.201442,0.400105,0.194023,0.259434,0.204158,0.266123,0.172899,0.192699,0.143114,5.132156,5.139293
432.000014,0.315106,0.243523,0.223601,0.202812,0.456178,0.192313,0.298009,0.233394,0.312355,0.170733,0.181078,0.132958,5.140710,5.147719
433.000014,0.313780,0.252726,0.228658,0.177691,0.448012,0.190909,0.294032,0.243658,0.329559,0.188492,0.181934,0.126545,5.149038,5.155909
434.000014,0.310041,0.238826,0.230152,0.170354,0.482602,0.186616,0.286027,0.242825,0.320209,0.217101,0.181535,0.144347,5.158482,5.165089
435.000014,0.315550,0.283034,0.230506,0.215153,0.481056,0.219596,0.259359,0.241394,0.302221,0.243039,0.185516,0.150526,5.166833,5.173240
436.000014,0.345812,0.307536,0.235984,0.240501,0.499370,0.209423,0.279769,0.264877,0.292670,0.259473,0.194228,0.148633,5.177294,5.183517
437.000014,0.379826,0.322804,0.227276,0.260508,0.450887,0.195953,0.279696,0.280548,0.291079,0.268480,0.195518,0.140407,5.188038,5.194017
438.000014,0.360318,0.318551,0.230910,0.258087,0.407028,0.157017,0.265694,0.270702,0.272166,0.255963,0.199892,0.150383,5.200918,5.206638
439.000014,0.369699,0.314346,0.224495,0.272176,0.331149,0.157663,0.243943,0.259570,0.232979,0.256127,0.198083,0.148292,5.213599,5.219100
440.000014,0.314569,0.306891,0.226810,0.258226,0.295933,0.147093,0.247626,0.265151,0.203895,0.232770,0.202893,0.153161,5.225986,5.231192
441.000014,0.303795,0.297542,0.216336,0.235684,0.258146,0.143879,0.233091,0.282859,0.188144,0.239614,0.214153,0.145985,5.238117,5.243067
442.000014,0.255815,0.306898,0.214694,0.219501,0.231289,0.128604,0.220332,0.282439,0.178577,0.233460,0.213229,0.159047,5.247972,5.252635
443.000014,0.277156,0.322322,0.203529,0.203912,0.242761,0.103758,0.190684,0.274830,0.171796,0.227102,0.207640,0.160607,5.257845,5.262440
444.000014,0.271320,0.308882,0.179684,0.165565,0.240817,0.084842,0.221945,0.254451,0.143621,0.209657,0.195585,0.158298,5.265140,5.269675
445.000014,0.262714,0.281145,0.149105,0.125456,0.227116,0.072085,0.242254,0.229127,0.139449,0.201201,0.197006,0.152376,5.273156,5.277489
446.000014,0.252330,0.264155,0.136498,0.148114,0.183799,0.082566,0.248007,0.204325,0.123976,0.197690,0.204268,0.148729,5.279454,5.283503
447.000014,0.232658,0.257212,0.127204,0.174023,0.148316,0.079697,0.225355,0.183013,0.121365,0.177482,0.212474,0.164698,5.286014,5.289803
448.000014,0.230269,0.286246,0.126747,0.190660,0.184881,0.094769,0.196493,0.177242,0.115358,0.170716,0.207161,0.174005,5.293000,5.296728
449.000014,0.237594,0.290654,0.138626,0.167973,0.215890,0.084200,0.174984,0.173602,0.101543,0.156707,0.199378,0.186453,5.299015,5.302749
450.000014,0.244300,0.264655,0.140700,0.116503,0.238663,0.072256,0.152954,0.181772,0.102910,0.153347,0.192993,0.171809,5.307231,5.310865
451.000014,0.238004,0.210886,0.133423,0.083201,0.200621,0.081083,0.165195,0.172255,0.107620,0.132772,0.206188,0.176613,5.314694,5.318130
452.000014,0.216272,0.190508,0.120990,0.073474,0.196685,0.107728,0.186836,0.162366,0.118387,0.164402,0.211806,0.181238,5.325406,5.328664
453.000014,0.212615,0.199827,0.136871,0.110772,0.215558,0.138906,0.181906,0.155034,0.126678,0.151817,0.219323,0.190357,5.335892,5.339041
454.000014,0.185904,0.182156,0.121411,0.122756,0.219161,0.148304,0.176399,0.164393,0.123866,0.151551,0.207747,0.186619,5.348618,5.351663
455.000014,0.156556,0.162941,0.119981,0.139838,0.229016,0.146321,0.158451,0.175773,0.123292,0.114519,0.206118,0.180104,5.360798,5.363609
456.000014,0.132659,0.147391,0.111896,0.151290,0.226125,0.153051,0.160803,0.188309,0.124299,0.114426,0.197281,0.183045,5.372874,5.375493
457.000014,0.140543,0.143747,0.142658,0.162745,0.246722,0.152195,0.175916,0.210221,0.135638,0.105090,0.208353,0.179568,5.383864,5.386331
458.000014,0.152902,0.114750,0.114856,0.125344,0.224744,0.154085,0.216650,0.237832,0.148007,0.120191,0.206352,0.176032,5.393169,5.395608
459.000014,0.141333,0.095657,0.092385,0.129449,0.229051,0.151230,0.233640,0.247508,0.184856,0.151957,0.212830,0.175110,5.402527,5.404784
460.000014,0.124394,0.083159,0.098561,0.120603,0.218903,0.151340,0.208771,0.226044,0.210858,0.164849,0.206310,0.189400,5.410485,5.412628
461.000014,0.115926,0.096623,0.145833,0.143851,0.246900,0.143523,0.169574,0.219665,0.253050,0.130128,0.208889,0.193486,5.419545,5.421540
462.000014,0.120110,0.099182,0.145906,0.141032,0.244113,0.133552,0.146598,0.224268,0.238659,0.104227,0.211110,0.184828,5.427665,5.429506
463.000014,0.125488,0.103859,0.123842,0.163325,0.246857,0.123511,0.167414,0.253438,0.222270,0.099993,0.212146,0.168773,5.436971,5.438652
464.000014,0.106812,0.104051,0.099255,0.191922,0.252818,0.133552,0.180863,0.252646,0.223048,0.150314,0.219905,0.162399,5.445737,5.447242
465.000014,0.098233,0.107074,0.141571,0.209973,0.293447,0.153608,0.200632,0.264948,0.259008,0.195378,0.221041,0.166357,5.454122,5.455495
466.000014,0.099053,0.124488,0.182856,0.225776,0.317292,0.172855,0.181674,0.259036,0.282996,0.204897,0.229606,0.165597,5.463351,5.464567
467.000014,0.106084,0.125312,0.190352,0.196381,0.322586,0.173617,0.218434,0.268363,0.269348,0.189277,0.229664,0.162445,5.471359,5.472477
468.000014,0.113877,0.121370,0.185932,0.184977,0.300373,0.186952,0.207678,0.259418,0.286420,0.182669,0.235044,0.158806,5.481397,5.482390
469.000014,0.109069,0.113931,0.190449,0.179049,0.335253,0.196145,0.225520,0.259402,0.307803,0.221103,0.240877,0.161662,5.489998,5.490926
470.000014,0.117433,0.122983,0.237642,0.198900,0.339979,0.233002,0.189739,0.259900,0.330559,0.232405,0.238985,0.178515,5.500766,5.501574
471.000014,0.136195,0.126257,0.259949,0.224407,0.365076,0.244630,0.214043,0.276831,0.322243,0.226078,0.235456,0.178271,5.510439,5.511136
472.000014,0.142029,0.131510,0.266963,0.227645,0.348084,0.243862,0.220234,0.286017,0.310320,0.223426,0.232977,0.180122,5.520333,5.520916
473.000014,0.131871,0.125047,0.274803,0.263198,0.381567,0.239628,0.234880,0.303315,0.304067,0.258999,0.238957,0.174313,5.530423,5.530863
