?? [s],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
425.000014,0.882730,0.529565,1.404845,0.861489,0.557217,0.402724,0.621069,0.220351,0.335261,0.284408
426.000014,0.906101,0.527761,1.418209,0.834321,0.528903,0.414008,0.610358,0.202278,0.373377,0.275235
427.000014,0.893433,0.542855,1.402818,0.816111,0.514011,0.371593,0.650115,0.214678,0.375010,0.301425
428.000014,0.857185,0.554846,1.366233,0.792708,0.557575,0.334273,0.626923,0.220576,0.337767,0.300051
429.000014,0.846490,0.571190,1.373222,0.818666,0.554677,0.321752,0.642900,0.236866,0.315436,0.319838
430.000014,0.850627,0.570701,1.394016,0.824063,0.543329,0.366259,0.609485,0.225583,0.296961,0.284795
431.000014,0.884477,0.545400,1.431021,0.845863,0.492599,0.411639,0.642781,0.213398,0.321003,0.262644
432.000014,0.889857,0.536526,1.435441,0.826293,0.486159,0.445333,0.656470,0.217988,0.308797,0.233446
433.000014,0.885271,0.536922,1.427623,0.792525,0.512214,0.429505,0.638688,0.202602,0.320586,0.273587
434.000014,0.879874,0.561264,1.407030,0.742775,0.532709,0.390495,0.628342,0.222940,0.310303,0.292195
435.000014,0.903803,0.574094,1.406554,0.742238,0.498699,0.381502,0.630457,0.206678,0.336124,0.307395
436.000014,0.907692,0.573725,1.397451,0.810838,0.475977,0.390415,0.634334,0.208406,0.333988,0.345353
437.000014,0.870373,0.596249,1.412206,0.835158,0.507183,0.382139,0.635857,0.193340,0.328028,0.367572
438.000014,0.846296,0.624473,1.420623,0.837938,0.546845,0.389551,0.615627,0.216042,0.319747,0.361997
439.000014,0.871255,0.603997,1.425839,0.825141,0.535067,0.371232,0.641871,0.225583,0.340149,0.310316
440.000014,0.898275,0.602305,1.403168,0.835399,0.501251,0.386742,0.653918,0.211591,0.335628,0.315809
441.000014,0.880531,0.598897,1.384754,0.847745,0.494123,0.380347,0.630286,0.182354,0.332139,0.367315
442.000014,0.826983,0.619942,1.386030,0.878830,0.517717,0.404949,0.605928,0.159659,0.310751,0.404513
443.000014,0.799455,0.613525,1.401722,0.922431,0.533750,0.416321,0.574749,0.201821,0.319043,0.393279
444.000014,0.803850,0.621068,1.402286,0.937646,0.563145,0.414290,0.609296,0.210761,0.315341,0.343477
445.000014,0.853415,0.636528,1.403535,0.858177,0.555450,0.387606,0.634304,0.245161,0.324285,0.297922
446.000014,0.904889,0.638888,1.417795,0.796557,0.554382,0.373822,0.678263,0.205363,0.326329,0.281473
447.000014,0.934667,0.625442,1.431972,0.794769,0.522965,0.362602,0.679435,0.202982,0.354178,0.295947
448.000014,0.907049,0.641088,1.437476,0.849960,0.546415,0.366222,0.655767,0.200353,0.355014,0.298110
449.000014,0.885430,0.633700,1.446817,0.872778,0.525954,0.338483,0.655438,0.227252,0.360917,0.289439
450.000014,0.914366,0.645541,1.429679,0.909253,0.529289,0.345027,0.666306,0.210249,0.337158,0.285269
451.000014,0.904687,0.641149,1.401397,0.905362,0.539515,0.341552,0.658260,0.192625,0.339204,0.272660
452.000014,0.892221,0.665921,1.403628,0.877122,0.551820,0.344518,0.661965,0.181549,0.324269,0.278558
453.000014,0.849072,0.629764,1.442823,0.831039,0.556538,0.315870,0.622465,0.187892,0.328119,0.279504
454.000014,0.899665,0.630069,1.446768,0.856355,0.525840,0.321642,0.635875,0.172570,0.329933,0.313355
455.000014,0.906105,0.627653,1.425773,0.948986,0.547904,0.348634,0.607720,0.172319,0.361828,0.330789
456.000014,0.921891,0.654965,1.384607,0.979300,0.572786,0.370813,0.635386,0.185159,0.358287,0.315840
457.000014,0.871483,0.646714,1.404206,0.956206,0.585041,0.382041,0.627696,0.208718,0.353338,0.318010
458.000014,0.873224,0.647656,1.390871,0.916898,0.553945,0.381307,0.627616,0.222546,0.322274,0.297274
459.000014,0.852096,0.647105,1.412531,0.924160,0.513702,0.391982,0.612274,0.246488,0.334031,0.307429
460.000014,0.890434,0.632663,1.432951,0.977698,0.488453,0.357709,0.653690,0.260987,0.345872,0.258817
461.000014,0.860956,0.636691,1.443209,1.072880,0.505813,0.360785,0.653630,0.237159,0.362861,0.274655
462.000014,0.863465,0.638938,1.429696,1.054654,0.534699,0.348523,0.647666,0.205414,0.349359,0.274046
463.000014,0.834765,0.633814,1.426847,1.023139,0.555612,0.407153,0.627490,0.219933,0.346569,0.300718
464.000014,0.877451,0.628013,1.434737,0.954521,0.547261,0.413688,0.626662,0.218370,0.371875,0.294073
465.000014,0.894205,0.621084,1.444383,0.984418,0.546168,0.419291,0.613310,0.228315,0.399514,0.294613
466.000014,0.865304,0.636668,1.441854,0.979815,0.526204,0.386200,0.583696,0.221446,0.392316,0.292314
