?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],B1.eps1 [%]
330.000000,0.284861,0.324398,0.547495,0.186132,0.140904,0.352489,0.366158,0.142872,0.154402,0.284142,0.195624,0.073329,-0.125668,0.212460,0.135385,0.280026,0.029395
340.000000,0.300536,0.239512,0.518441,0.195788,0.144278,0.359909,0.357810,0.150731,0.171691,0.299966,0.201209,0.076234,-0.101705,0.214093,0.151749,0.288582,0.037498
350.000000,0.298223,0.220201,0.510377,0.201348,0.155593,0.351227,0.363415,0.174887,0.179426,0.292956,0.219471,0.078362,-0.084638,0.211997,0.159832,0.317570,0.050008
360.000000,0.324180,0.230968,0.509882,0.211762,0.166343,0.340777,0.352253,0.183884,0.198140,0.280947,0.223734,0.097956,-0.068178,0.218593,0.152613,0.318560,0.057909
370.000000,0.328046,0.253964,0.509844,0.209986,0.170476,0.345204,0.356505,0.191081,0.201845,0.301885,0.240060,0.104333,-0.069698,0.228092,0.161029,0.315252,0.055016
380.000000,0.357767,0.281223,0.503024,0.232097,0.181455,0.358481,0.366621,0.201781,0.214197,0.303278,0.252719,0.119554,-0.048071,0.243581,0.159658,0.294051,0.055197
390.000000,0.394422,0.300095,0.495900,0.239274,0.193793,0.389747,0.384483,0.218436,0.226671,0.330569,0.266073,0.135258,-0.045825,0.251419,0.170341,0.297085,0.055784
400.000000,0.439021,0.308371,0.487011,0.258283,0.227839,0.394046,0.371952,0.253163,0.237829,0.278298,0.285403,0.163266,-0.038372,0.263150,0.147529,0.314806,0.059257
410.000000,0.457747,0.319392,0.481832,0.262730,0.237122,0.396241,0.367386,0.255801,0.249335,0.384011,0.297215,0.164063,-0.040064,0.282599,0.161304,0.323765,0.054314
420.000000,0.465716,0.330613,0.477186,0.272740,0.253986,0.401813,0.386443,0.267415,0.262873,0.336441,0.301043,0.183548,-0.002324,0.279755,0.174933,0.371491,0.048509
430.000000,0.495522,0.347219,0.472468,0.277997,0.278559,0.419406,0.412177,0.275664,0.267469,0.387885,0.302730,0.201602,-0.007841,0.294965,0.199603,0.388836,0.043114
440.000000,0.535935,0.360966,0.480284,0.266800,0.309444,0.436557,0.405178,0.304952,0.269122,0.411660,0.319095,0.239631,0.118525,0.311379,0.218073,0.449227,0.038585
450.000000,0.566895,0.376387,0.480003,0.260469,0.330089,0.446475,0.379515,0.338935,0.293395,0.471822,0.357810,0.249331,0.127696,0.344749,0.224649,0.423686,0.039312
460.000000,0.592451,0.398776,0.467366,0.262296,0.343428,0.444330,0.384570,0.377943,0.337418,0.517018,0.395288,0.250859,0.152190,0.356614,0.250072,0.427611,0.050812
470.000000,0.616556,0.409274,0.478094,0.268590,0.360799,0.450114,0.411232,0.400646,0.354013,0.454402,0.417821,0.275648,0.055103,0.368366,0.252086,0.378034,0.048508
471.000014,0.640339,0.434897,0.474177,0.310039,0.375655,0.441832,0.436040,0.410429,0.347186,0.458551,0.432907,0.273207,0.067456,0.372296,0.265382,0.377362,0.046269
472.000014,0.653529,0.433545,0.489720,0.299341,0.386263,0.451585,0.435337,0.415512,0.341714,0.433998,0.427410,0.290923,0.079798,0.367254,0.259354,0.383340,0.036792
473.000014,0.662923,0.447318,0.479053,0.296302,0.396921,0.455558,0.418712,0.429942,0.351665,0.401406,0.438705,0.269546,0.091023,0.371652,0.254949,0.390122,0.035683
474.000014,0.680266,0.448405,0.490616,0.260668,0.404085,0.456961,0.401404,0.439013,0.352744,0.385624,0.446059,0.283058,0.101777,0.375339,0.257936,0.392389,0.039231
475.000014,0.697764,0.466110,0.484457,0.274744,0.406120,0.462541,0.402857,0.438889,0.357633,0.359196,0.465747,0.272368,0.110217,0.400078,0.263844,0.389227,0.047374
476.000014,0.704423,0.469909,0.492154,0.275229,0.401279,0.461740,0.410163,0.436094,0.376384,0.479203,0.465322,0.267722,0.117303,0.401420,0.286324,0.393083,0.061907
477.000014,0.704162,0.455804,0.490513,0.275926,0.401552,0.473712,0.397529,0.440504,0.393149,0.532974,0.464191,0.271205,0.099934,0.414523,0.278128,0.406174,0.054644
478.000014,0.707562,0.460363,0.507148,0.264000,0.412775,0.466337,0.392908,0.437909,0.391298,0.594674,0.453562,0.285660,0.114853,0.406809,0.274510,0.403044,0.042023
479.000014,0.731253,0.470972,0.494473,0.259533,0.413621,0.463382,0.398392,0.443166,0.367946,0.533539,0.466882,0.295278,0.113273,0.410306,0.257065,0.408181,0.034005
480.000014,0.751396,0.488395,0.486916,0.282425,0.415524,0.448511,0.445212,0.435415,0.348713,0.529612,0.468319,0.297313,0.116963,0.405643,0.259265,0.396891,0.033722
481.000014,0.759870,0.487302,0.484681,0.283845,0.411306,0.447146,0.456913,0.444768,0.344515,0.511068,0.479279,0.288015,0.090911,0.401935,0.266734,0.406518,0.037008
482.000014,0.753504,0.481412,0.481338,0.311018,0.412309,0.420843,0.478884,0.442481,0.353418,0.534268,0.476571,0.290730,0.099592,0.404193,0.281390,0.402209,0.038530
483.000014,0.747831,0.489099,0.470011,0.304061,0.418828,0.418754,0.459218,0.454010,0.377025,0.513080,0.472884,0.273404,0.106586,0.399334,0.292816,0.408095,0.041825
