?? [s],? 1.eps1 [%],? 2.eps1 [%],? 3.eps1 [%],? 4.eps1 [%]
539.000026,0.727394,0.582235,0.578599,0.605054
539.500026,0.731326,0.575491,0.614339,0.594765
540.000026,0.739101,0.594152,0.645955,0.606861
540.500026,0.747447,0.605816,0.642644,0.599952
541.000026,0.740690,0.628081,0.650569,0.604886
541.500026,0.752743,0.628064,0.618130,0.602520
542.000026,0.759195,0.632550,0.629041,0.598575
542.500026,0.772280,0.608258,0.624672,0.598952
543.000026,0.764460,0.598797,0.616635,0.597848
543.500026,0.769001,0.596879,0.634779,0.604474
544.000026,0.752503,0.611753,0.642634,0.604377
544.500026,0.759723,0.612914,0.676588,0.598444
545.000026,0.762421,0.608517,0.661171,0.612391
545.500026,0.770145,0.616816,0.647889,0.622210
546.000026,0.777359,0.623914,0.634624,0.626959
546.500026,0.786710,0.638887,0.644218,0.626999
547.000026,0.792037,0.632594,0.643101,0.624418
547.500026,0.788245,0.640432,0.636301,0.636677
548.000026,0.788508,0.629041,0.643385,0.642329
548.500026,0.803344,0.638611,0.649740,0.645502
549.000026,0.819008,0.625672,0.675878,0.646212
549.500026,0.823501,0.641930,0.681614,0.656364
550.000026,0.829458,0.664490,0.670601,0.666111
550.500026,0.834058,0.678659,0.648900,0.671714
551.000026,0.845365,0.674797,0.645000,0.661658
551.500026,0.856887,0.660772,0.646749,0.652938
552.000026,0.854929,0.675948,0.637232,0.650864
552.500026,0.849215,0.686012,0.641036,0.644455
553.000026,0.836775,0.671524,0.671598,0.662602
553.500026,0.848535,0.658385,0.702949,0.671066
554.000026,0.852602,0.663172,0.691502,0.691738
554.500026,0.862232,0.684392,0.678425,0.688309
555.000026,0.864821,0.692167,0.679110,0.695884
555.500026,0.879356,0.687922,0.696862,0.694377
556.000026,0.891962,0.705260,0.711870,0.687091
556.500026,0.890287,0.718359,0.710535,0.667890
557.000026,0.886621,0.707470,0.712230,0.662437
557.500026,0.889634,0.684649,0.698104,0.669472
558.000026,0.889416,0.688738,0.712145,0.686027
558.500026,0.901086,0.715276,0.712762,0.695257
559.000026,0.903527,0.738463,0.687600,0.701169
559.500026,0.915045,0.732402,0.686350,0.705839
560.000026,0.911008,0.727965,0.681868,0.703382
560.500026,0.923608,0.712599,0.732652,0.703584
561.000026,0.928681,0.711680,0.736842,0.699729
561.500026,0.939189,0.704629,0.755055,0.704638
562.000026,0.935249,0.713425,0.781015,0.713443
562.500026,0.943894,0.736375,0.788524,0.732903
563.000026,0.956241,0.759927,0.792201,0.742995
563.500026,0.972626,0.759969,0.791465,0.737959
564.000026,0.989130,0.761788,0.798596,0.730288
564.500026,0.987751,0.754100,0.803348,0.716945
565.000026,0.984197,0.750173,0.780154,0.717184
565.500026,0.978996,0.729958,0.788655,0.718114
566.000026,0.995923,0.728728,0.782157,0.741363
566.500026,0.995986,0.741359,0.772527,0.755471
567.000026,0.996414,0.769373,0.746584,0.761463
567.500026,0.995718,0.765027,0.774771,0.764819
568.000026,1.010652,0.777783,0.826185,0.770920
568.500026,1.016394,0.756649,0.861028,0.767378
569.000026,1.021722,0.765132,0.856693,0.763922
569.500026,1.026380,0.754991,0.853787,0.757274
570.000026,1.034037,0.754608,0.851992,0.754968
570.500026,1.041361,0.761275,0.863265,0.759882
571.000026,1.048394,0.763901,0.838512,0.771809
571.500026,1.064027,0.775324,0.842908,0.786442
572.000026,1.078052,0.784198,0.837355,0.795842
572.500026,1.080176,0.779803,0.879383,0.799328
573.000026,1.083429,0.788243,0.891846,0.796900
573.500026,1.093482,0.789073,0.900627,0.808090
574.000026,1.111605,0.794504,0.870728,0.816005
574.500026,1.133890,0.800494,0.878289,0.832148
575.000026,1.122510,0.803520,0.888085,0.838600
575.500026,1.127375,0.818722,0.911264,0.842506
576.000026,1.122102,0.820992,0.910627,0.855526
576.500026,1.143608,0.822287,0.909519,0.847532
577.000026,1.143751,0.836832,0.919504,0.853357
577.500026,1.146948,0.840641,0.936808,0.843400
578.000026,1.148393,0.845366,0.931510,0.843794
578.500026,1.157962,0.830904,0.948272,0.841672
579.000026,1.164561,0.818900,0.968237,0.846392
579.500026,1.174013,0.827584,0.988156,0.852738
580.000026,1.182589,0.839606,0.984523,0.854297
580.500026,1.184629,0.849571,0.968420,0.848809
581.000026,1.181364,0.853285,0.950222,0.860984
581.500026,1.195060,0.861600,0.933701,0.877251
582.000026,1.212542,0.887335,0.928665,0.893773
582.500026,1.231289,0.881656,0.974925,0.888391
583.000026,1.228018,0.888287,0.998878,0.891795
583.500026,1.236574,0.895345,1.011159,0.894680
584.000026,1.250381,0.921079,0.980738,0.912507
584.500026,1.266619,0.932016,0.980273,0.921769
585.000026,1.285138,0.928598,1.002176,0.935346
585.500026,1.290502,0.938209,1.026000,0.940768
586.000026,1.307372,0.957067,1.028980,0.941425
586.500026,1.323648,0.966400,1.008227,0.950350
587.000026,1.341356,0.971822,1.016726,0.960085
587.500026,1.348930,0.962450,1.016471,0.983139
588.000026,1.353842,0.972796,1.017681,0.984629
588.500026,1.355595,0.971710,1.010296,0.995016
589.000026,1.369732,0.979366,1.030511,0.996308
589.500026,1.387969,0.991092,1.038778,1.021165
590.000026,1.394349,1.017546,1.045897,1.027952
590.500026,1.396329,1.030126,1.033121,1.036391
591.000026,1.388171,1.031765,1.064221,1.021509
591.500026,1.412161,1.030280,1.055137,1.021260
592.000026,1.423518,1.028678,1.065125,1.016108
592.500026,1.445322,1.036157,1.065453,1.029165
593.000026,1.444958,1.039315,1.091376,1.030835
593.500026,1.458832,1.056823,1.082531,1.045398
594.000026,1.455267,1.073393,1.074955,1.052334
594.500026,1.464269,1.080594,1.076783,1.067188
595.000026,1.465655,1.095996,1.104153,1.071749
595.500026,1.494121,1.105795,1.143250,1.085914
596.000026,1.522862,1.119139,1.150311,1.107125
596.500026,1.552113,1.122622,1.148266,1.119600
597.000026,1.564406,1.135970,1.144455,1.130484
597.500026,1.586596,1.151455,1.188122,1.137526
598.000026,1.607071,1.167526,1.250635,1.150070
598.500026,1.627607,1.183030,1.278849,1.154000
599.000026,1.635421,1.185656,1.282031,1.158625
599.500026,1.649100,1.190903,1.284990,1.169154
600.000026,1.660676,1.195981,1.277706,1.185516
600.500026,1.675389,1.221842,1.279024,1.201610
601.000026,1.685173,1.243716,1.256619,1.209703
601.500026,1.705606,1.255829,1.251052,1.209691
602.000026,1.712301,1.279414,1.249613,1.210126
602.500026,1.740260,1.287167,1.263697,1.211460
603.000026,1.767354,1.297681,1.293590,1.224224
603.500026,1.797858,1.292441,1.316450,1.217637
604.000026,1.809456,1.286992,1.351822,1.222689
604.500026,1.821764,1.289161,1.357210,1.232339
