?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
350.000000,0.400091,0.085570,0.630920,,0.061969,0.358924,0.401555,0.344244,0.340324,0.224003,0.329817,0.221826,0.862969,0.210198,0.041413,0.222661
360.000000,0.425860,0.076587,0.832059,,0.028538,0.432611,0.467162,0.437966,0.384586,0.290590,0.371329,0.291188,0.988511,0.251372,0.002419,0.288225
370.000000,0.457062,0.078917,0.813643,,0.039969,0.441261,0.469557,0.443942,0.386650,0.312121,0.371012,0.311381,1.000669,0.252901,0.004306,0.305551
380.000000,0.493843,0.102198,0.790239,,0.042231,0.458043,0.490986,0.439698,0.400176,0.308684,0.365981,0.322711,1.010915,0.259576,0.013925,0.302412
390.000000,0.475544,0.100303,0.754886,,0.051398,0.460674,0.490296,0.443775,0.396948,0.310935,0.381195,0.332893,1.001006,0.268805,0.015704,0.312099
400.000000,0.465982,0.104711,0.727800,,0.051375,0.457655,0.489099,0.449536,0.400711,0.273334,0.384943,0.335057,0.992382,0.271160,0.015765,0.319450
410.000000,0.469657,0.108724,0.710953,,0.074790,0.451727,0.479828,0.462165,0.399180,0.251181,0.390685,0.339505,0.994463,0.269559,0.013088,0.329403
420.000000,0.519520,0.126384,0.701929,,0.077262,0.447327,0.472204,0.472365,0.404195,0.226743,0.389864,0.344789,1.013635,0.264951,0.014572,0.328399
430.000000,0.563488,0.150351,0.697508,,0.094450,0.455871,0.476873,0.481916,0.404411,0.271997,0.388308,0.349071,1.020370,0.259691,0.019022,0.325945
440.000000,0.609090,0.162658,0.573981,,0.092777,0.463381,0.472740,0.476548,0.425494,0.312504,0.369111,0.352315,1.028861,0.244993,0.028464,0.316624
450.000000,0.638276,0.165657,0.457256,4.675185,0.107475,0.463183,0.464979,0.468772,0.452890,0.357650,0.343324,0.350247,1.037936,0.236250,0.037231,0.321821
460.000000,0.670890,0.173646,0.348522,,0.114437,0.474259,0.467774,0.462818,0.473347,0.374458,0.325939,0.366184,1.025899,0.226049,0.046347,0.318462
470.000000,0.688311,0.184835,0.359902,,0.118043,0.490582,0.491765,0.470189,0.473974,0.388521,0.337396,0.373480,1.033576,0.238429,0.063389,0.329895
480.000000,0.704385,0.204778,0.352084,,0.127265,0.505976,0.504950,0.473761,0.483656,0.353428,0.349433,0.384513,1.035205,0.242981,0.070476,0.334011
490.000000,0.721430,0.219796,0.348493,,0.144126,0.513225,0.513466,0.477248,0.489879,0.369858,0.352644,0.392717,1.056004,0.250629,0.085220,0.336503
500.000000,0.742958,0.234169,0.332948,,0.163373,0.515047,0.508297,0.493497,0.514916,0.379978,0.350338,0.401914,1.070604,0.260216,0.093737,0.351527
510.000000,0.764335,0.230146,0.340935,,0.179295,0.532780,0.517371,0.507285,0.518498,0.444102,0.354901,0.416470,1.067083,0.275320,0.115228,0.352056
