?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.051017,0.061753,0.029420,0.006741,0.202443,0.026849,0.020058,-0.001872,0.010614,0.004059
20.000000,0.069148,0.083391,0.022085,0.035577,0.606824,0.040649,0.041768,0.024987,0.019916,0.020303
30.000000,0.111077,0.133100,0.025023,0.052081,0.203112,0.060405,0.048037,0.030091,0.024150,0.031368
40.000000,0.077738,0.094407,0.006852,0.073139,0.205616,0.049525,0.028806,0.047406,0.017985,0.043973
50.000000,0.101284,0.090617,0.032046,0.072613,0.225673,0.078113,0.015422,0.044910,0.023870,0.044233
60.000000,0.089298,0.033606,0.053746,0.087103,0.658715,0.120663,0.030630,0.045742,0.036229,0.048705
70.000000,0.119070,0.061627,0.081839,0.118226,0.653713,0.142002,0.052618,0.060000,0.058999,0.050237
80.000000,0.141766,0.086125,0.089323,0.145562,0.238047,0.154795,0.071651,0.076313,0.074228,0.055026
90.000000,0.174508,0.112313,0.123690,0.140989,0.211586,0.150113,0.077441,0.081400,0.091493,0.062598
100.000000,0.200948,0.090503,0.121368,0.110982,0.238171,0.158361,0.080920,0.073139,0.102165,0.074615
110.000000,0.214515,0.093710,0.101040,0.089861,0.658191,0.154318,0.091430,0.077811,0.104009,0.074883
120.000000,0.198344,0.103423,0.084426,0.100604,0.275939,0.152007,0.087093,0.075733,0.106084,0.066193
130.000000,0.197864,0.118994,0.057029,0.113868,0.271143,0.141557,0.077845,0.088044,0.095189,0.062048
140.000000,0.191517,0.120686,0.089599,0.104802,0.268446,0.127440,0.065968,0.076810,0.115149,0.066231
150.000000,0.173180,0.127822,0.078416,0.108326,0.679829,0.107599,0.075660,0.074346,0.124793,0.066145
160.000000,0.144137,0.123861,0.113635,0.119469,0.679970,0.114522,0.076847,0.066140,0.152170,0.060584
170.000000,0.159453,0.147520,0.107642,0.137015,0.689528,0.119958,0.081984,0.070819,0.163719,0.060187
180.000000,0.175784,0.149299,0.109519,0.125923,0.687315,0.125621,0.062383,0.080433,0.143543,0.070598
190.000000,0.168241,0.165930,0.085586,0.099074,0.683895,0.091430,0.057474,0.066883,0.127998,0.068966
200.000000,0.139077,0.145691,0.073202,0.099459,0.685465,0.083443,0.069942,0.063820,0.120157,0.062885
210.000000,0.136050,0.161608,0.072472,0.099922,0.693153,0.073336,0.059633,0.062707,0.138939,0.054291
220.000000,0.153038,0.150837,0.079582,0.087991,0.704157,0.080722,0.088223,0.073687,0.142744,0.055187
230.000000,0.153898,0.152898,0.084314,0.110008,0.732286,0.088161,0.062573,0.075167,0.142174,0.071422
240.000000,0.161099,0.144258,0.091094,0.111384,0.704401,0.076555,0.084356,0.083109,0.149814,0.055494
250.000000,0.167623,0.149741,0.088044,0.136041,0.700098,0.069998,0.086853,0.085104,0.165155,0.054416
260.000000,0.212461,0.161201,0.093513,0.120415,0.302526,0.043281,0.316066,0.129346,0.186355,0.041844
270.000000,0.244461,0.157867,0.079488,0.148154,0.310140,0.050424,0.314432,0.125695,0.198352,0.049761
280.000000,0.266878,0.167642,0.083075,0.151275,0.336286,0.078800,0.530421,0.180061,0.217064,0.056730
290.000000,0.256369,0.175787,0.078368,0.149541,0.721102,0.088563,0.354820,0.146517,0.212999,0.058980
300.000000,0.244535,0.184954,0.099422,0.135735,0.720421,0.076578,0.359116,0.143727,0.204734,0.068637
310.000000,0.243342,0.195288,0.103012,0.130270,0.721525,0.066062,0.147817,0.090433,0.185191,0.079079
320.000000,0.241865,0.192523,0.121712,0.146438,0.710329,0.065400,0.112420,0.085227,0.180849,0.091800
330.000000,0.244233,0.203214,0.130316,0.150294,0.729975,0.069802,0.117412,0.086749,0.187546,0.119919
340.000000,0.243018,0.211558,0.143671,0.176113,0.745225,0.081227,0.133658,0.094046,0.192240,0.112784
350.000000,0.246121,0.233089,0.147219,0.172774,0.814456,0.095925,0.146107,0.098712,0.197022,0.107103
360.000000,0.247148,0.251240,0.151371,0.182853,0.819801,0.108783,0.165170,0.106024,0.194311,0.095825
370.000000,0.252739,0.261218,0.169672,0.193765,0.798000,0.115333,0.330765,0.148969,0.211308,0.114988
380.000000,0.205496,0.245495,0.208707,0.194024,0.743310,0.130737,0.515238,0.192917,0.224089,0.152971
390.000000,0.180969,0.232746,0.224352,0.202030,0.755175,0.151121,0.691855,0.246608,0.241346,0.165039
400.000000,0.155143,0.228595,0.233850,0.208172,0.392606,0.160431,0.699613,0.267729,0.252954,0.176323
410.000000,0.178916,0.245317,0.231679,0.225558,0.404377,0.170250,0.695613,0.282663,0.254394,0.166035
411.000014,0.216581,0.283380,0.242930,0.223974,0.401987,0.179253,0.703942,0.286877,0.259429,0.189530
412.000014,0.246412,0.301179,0.252702,0.216979,0.772740,0.175288,0.711162,0.285209,0.263350,0.198186
413.000014,0.249907,0.301452,0.267726,0.216312,0.770700,0.171254,0.730316,0.292710,0.276042,0.197837
414.000014,0.213664,0.271105,0.263665,0.232513,0.761973,0.173562,0.524143,0.252521,0.276051,0.170131
415.000014,0.219289,0.277986,0.261180,0.241986,0.761101,0.180045,0.499994,0.246519,0.264413,0.156511
416.000014,0.255295,0.292776,0.263480,0.238460,0.768233,0.172282,0.307797,0.210118,0.253413,0.169427
417.000014,0.262202,0.308488,0.266265,0.220997,0.774964,0.160967,0.534817,0.260650,0.261639,0.186670
418.000014,0.268495,0.294264,0.270354,0.217968,0.774858,0.156490,0.567630,0.266678,0.273381,0.193170
419.000014,0.276044,0.305766,0.253379,0.229728,0.403034,0.162691,0.757944,0.297843,0.275429,0.179230
420.000014,0.311804,0.327619,0.252361,0.236154,0.412800,0.173603,0.734106,0.283263,0.263674,0.178112
