?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.002979,0.032054,0.223978,0.064356,0.032805,0.036531,0.057037,0.044290,0.070825,0.058596
20.000000,0.053769,0.061283,0.245001,0.101855,0.075559,0.081013,0.082013,0.068048,0.101662,0.121469
30.000000,0.076638,0.096077,0.282550,0.156039,0.099252,0.139748,0.120566,0.115667,0.149210,0.172527
40.000000,0.094440,0.081378,0.304671,0.147407,0.130951,0.127169,0.092152,0.125086,0.102379,0.132897
50.000000,0.084418,0.075138,0.667173,0.159497,0.145083,0.108269,0.108126,0.151896,0.106908,0.106680
60.000000,0.057461,0.061397,0.655155,0.157944,0.140226,0.116194,0.118623,0.143322,0.090475,0.081485
70.000000,0.053746,0.091059,0.606133,0.167442,0.104188,0.136879,0.147060,0.137893,0.139806,0.125851
80.000000,0.062811,0.139381,0.636146,0.177490,0.097432,0.179465,0.165638,0.131900,0.174881,0.150164
90.000000,0.074231,0.135499,0.652516,0.170876,0.088390,0.162939,0.154824,0.134046,0.179828,0.156609
100.000000,0.061656,0.137051,0.713624,0.159042,0.117578,0.160777,0.127450,0.122979,0.171171,0.135432
110.000000,0.049885,0.108295,0.710043,0.141709,0.095867,0.145491,0.082725,0.117893,0.133871,0.121390
120.000000,0.048622,0.123848,0.712609,0.155487,0.111792,0.145605,0.103319,0.115058,0.143053,0.123607
130.000000,0.067131,0.146984,0.699391,0.170056,0.081341,0.169627,0.129173,0.139017,0.147815,0.119968
140.000000,0.064574,0.204292,0.707469,0.194319,0.106235,0.202008,0.166151,0.150462,0.179191,0.147083
150.000000,0.069272,0.211476,0.717234,0.203028,0.109196,0.188670,0.117196,0.149703,0.146487,0.121727
160.000000,0.047666,0.170604,0.361103,0.183592,0.127665,0.144360,0.101359,0.138500,0.122093,0.102159
170.000000,0.077933,0.105826,0.379065,0.193592,0.139916,0.100101,0.101796,0.145692,0.110078,0.076028
180.000000,0.096632,0.279795,0.415704,0.192402,0.146729,0.115147,0.136601,0.156266,0.182689,0.104474
190.000000,0.132630,0.444153,0.448857,0.199530,0.151959,0.131204,0.127507,0.161773,0.237011,0.100524
200.000000,0.144403,0.632087,0.113708,0.202499,0.140544,0.137750,0.123681,0.142589,0.294835,0.079486
210.000000,0.155045,0.615605,0.088258,0.246192,0.152374,0.156662,0.122222,0.133248,0.315146,0.099048
220.000000,0.189612,0.616129,0.070376,0.300690,0.154951,0.191262,0.134483,0.122255,0.304816,0.131505
230.000000,0.209409,0.604429,0.044442,0.333514,0.159430,0.191701,0.134771,0.130082,0.304009,0.168603
240.000000,0.210629,0.615974,0.043570,0.337817,0.166085,0.208423,0.133578,0.127697,0.283786,0.150476
250.000000,0.228545,0.634957,0.427729,0.339255,0.169641,0.210186,0.142833,0.129055,0.302622,0.144698
260.000000,0.234982,0.618234,0.809918,0.341561,0.204527,0.276292,0.159303,0.137241,0.336456,0.136493
270.000000,0.246687,0.646433,0.853230,0.320403,0.215479,0.286933,0.171792,0.161302,0.354866,0.120138
280.000000,0.238443,0.631703,0.848888,0.322227,0.211674,0.305967,0.169589,0.185045,0.367204,0.139245
290.000000,0.234417,0.626467,0.510439,0.344933,0.209114,0.269546,0.182534,0.197056,0.368164,0.146596
300.000000,0.240404,0.609394,0.128251,0.381407,0.206101,0.236058,0.180981,0.194150,0.348225,0.177804
310.000000,0.246561,0.649591,0.137063,0.407923,0.217716,0.238447,0.177709,0.179836,0.316204,0.164416
320.000000,0.249105,0.718124,0.135306,0.414258,0.228951,0.236692,0.152003,0.150886,0.295035,0.161894
330.000000,0.257265,0.729755,0.156940,0.448024,0.213909,0.264079,0.145342,0.138682,0.312129,0.174928
