?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.015554,0.028416,0.006955,0.044281,0.009723,0.007206,0.027406,0.001278,0.000600,0.019458,0.001948,0.016699,0.016743,0.034259,0.007840,0.010731
20.000000,0.052231,0.053937,0.039736,0.101124,0.040402,0.030078,0.058152,0.023213,0.031414,0.061286,0.030980,0.046163,0.048894,0.062294,0.023154,0.039817
30.000000,0.066627,0.083537,0.030678,0.138796,0.047300,0.029078,0.072645,0.012633,0.043882,0.080631,0.020959,0.058835,0.063044,0.088772,0.021551,0.037475
40.000000,0.079803,0.082604,0.028939,0.124819,0.051011,0.049634,0.088510,0.014717,0.036793,0.105657,0.027527,0.078848,0.054019,0.097002,0.016052,0.043495
50.000000,0.066787,0.099921,0.025037,0.144634,0.040668,0.061338,0.088674,-0.001831,0.036372,0.099671,0.020678,0.093104,0.078812,0.086238,0.022714,0.048983
60.000000,0.052556,0.101338,0.035296,0.141296,0.022599,0.073302,0.108116,0.011050,0.006200,0.103975,0.013679,0.092750,0.073940,0.066582,0.038056,0.052208
70.000000,0.046134,0.106754,0.045497,0.120218,0.038907,0.069330,0.102452,0.013096,0.021572,0.098465,0.019274,0.080419,0.113505,0.044246,0.049997,0.062703
80.000000,0.053496,0.095091,0.047380,0.138959,0.039870,0.074391,0.127392,0.013843,0.030359,0.097874,0.011262,0.058972,0.089131,0.043494,0.046827,0.078309
90.000000,0.055275,0.079210,0.046856,0.167440,0.044991,0.074584,0.116580,0.008752,0.058347,0.086252,0.032235,0.061109,0.085946,0.039421,0.040487,0.085676
100.000000,0.041137,0.066188,0.047181,0.221929,0.029640,0.060446,0.118537,0.007291,0.052609,0.066993,0.032009,0.075822,0.056952,0.028057,0.040132,0.078012
110.000000,0.039879,0.052308,0.041196,0.208396,0.063319,0.064578,0.118230,0.015038,0.073608,0.081622,0.045122,0.090259,0.073615,0.032005,0.043361,0.081901
120.000000,0.037921,0.056756,0.049720,0.228166,0.071421,0.050212,0.129655,0.020021,0.054982,0.100449,0.032595,0.105386,0.083079,0.051064,0.044400,0.073595
130.000000,0.045378,0.046640,0.043332,0.206953,0.069176,0.055646,0.122515,0.025674,0.056093,0.125001,0.030280,0.104701,0.088770,0.069720,0.044701,0.076337
140.000000,0.043076,0.060935,0.042353,0.210038,0.034659,0.036460,0.094756,0.038528,0.016399,0.111699,0.037014,0.121605,0.097440,0.083541,0.033034,0.083543
150.000000,0.045165,0.065228,0.035158,0.191233,0.031897,0.040180,0.088046,0.042882,0.025599,0.091180,0.039738,0.103224,0.099785,0.076298,0.029283,0.107674
160.000000,0.054990,0.071438,0.042582,0.224201,0.027790,0.023762,0.076730,0.041075,0.045325,0.083475,0.048231,0.104483,0.124405,0.071444,0.038269,0.118570
170.000000,0.060850,0.072481,0.033360,0.263985,0.014623,0.054019,0.086741,0.036416,0.069005,0.080481,0.054262,0.109437,0.118715,0.055334,0.042780,0.116245
180.000000,0.070491,0.092276,0.034261,0.245065,0.026442,0.053627,0.090113,0.025133,0.069822,0.087500,0.071490,0.136039,0.122346,0.055708,0.042424,0.114875
190.000000,0.060209,0.102995,0.029759,0.263324,0.023561,0.068073,0.095628,0.020756,0.069269,0.079948,0.076962,0.155065,0.093481,0.075830,0.044342,0.116494
200.000000,0.072280,0.100737,0.048486,0.248937,0.038384,0.073245,0.095352,0.026318,0.064882,0.089928,0.083764,0.170428,0.086446,0.095476,0.055526,0.112091
210.000000,0.072576,0.076223,0.058531,0.272847,0.014303,0.076900,0.084363,0.046296,0.042186,0.091667,0.081896,0.181815,0.062838,0.095873,0.067898,0.099226
220.000000,0.075226,0.085503,0.064462,0.261543,0.012023,0.088062,0.088387,0.051785,0.030595,0.096589,0.084605,0.167893,0.065899,0.097559,0.064166,0.102725
230.000000,0.062776,0.093038,0.068497,0.240929,0.012669,0.062049,0.080274,0.040212,0.030232,0.110689,0.081068,0.143352,0.056623,0.094389,0.066752,0.107319
240.000000,0.066028,0.112137,0.062762,0.192071,0.025351,0.060910,0.082358,0.029687,0.071372,0.106664,0.086852,0.128695,0.089832,0.116711,0.063949,0.122994
250.000000,0.081199,0.105510,0.073185,0.193715,0.019990,0.041863,0.075785,0.027197,0.092217,0.130397,0.090200,0.136088,0.085938,0.098735,0.061040,0.133265
260.000000,0.081236,0.107317,0.070010,0.153182,0.028511,0.025074,0.090767,0.029729,0.111959,0.137403,0.104682,0.147230,0.092136,0.127450,0.055904,0.136959
270.000000,0.077133,0.093803,0.065185,0.193510,0.024090,0.040093,0.083447,0.044944,0.105180,0.164205,0.109247,0.149572,0.066571,0.122084,0.071828,0.135818
280.000000,0.077100,0.092642,0.043514,0.165056,0.025752,0.046844,0.078813,0.060073,0.093809,0.175929,0.105525,0.155201,0.070797,0.141178,0.082967,0.127137
290.000000,0.098452,0.089007,0.038967,0.192331,0.032278,0.064300,0.065518,0.066296,0.076559,0.166361,0.098515,0.172352,0.070206,0.121188,0.092288,0.131513
300.000000,0.123869,0.101164,0.029517,0.146927,0.051960,0.056798,0.076678,0.049613,0.082665,0.169481,0.105231,0.200934,0.094250,0.137432,0.080956,0.135259
310.000000,0.125823,0.116779,0.037188,0.159626,0.063292,0.068327,0.100600,0.056911,0.096405,0.189866,0.112796,0.216899,0.111521,0.130709,0.078718,0.134674
320.000000,0.116683,0.155923,0.034845,0.201691,0.052061,0.069556,0.118469,0.073131,0.112374,0.268059,0.136970,0.204985,0.099913,0.142588,0.086043,0.129673
