?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.067986,0.067738,0.067094
20.000000,0.189653,0.188737,0.187010
30.000000,0.333106,0.331532,0.328841
40.000000,0.444950,0.442892,0.439562
50.000000,0.533908,0.531809,0.528341
60.000000,0.638858,0.636944,0.633327
70.000000,0.750615,0.749052,0.745611
80.000000,0.870115,0.869101,0.865852
90.000000,0.992051,0.991871,0.989051
100.000000,1.106986,1.107596,1.105276
110.000000,1.239795,1.240612,1.238305
120.000000,1.387712,1.388284,1.385715
130.000000,1.552764,1.552912,1.549944
140.000000,1.713163,1.713198,1.710201
150.000000,1.879501,1.879765,1.876780
160.000000,2.035467,2.036212,2.033275
170.000000,2.173246,2.174532,2.171928
180.000000,2.285129,2.287220,2.284856
190.000000,2.383253,2.386068,2.383919
200.000000,2.485983,2.489769,2.487225
210.000000,2.589297,2.593620,2.590753
220.000000,2.695573,2.700861,2.697516
230.000000,2.808526,2.815034,2.811990
240.000000,2.918996,2.927166,2.924127
250.000000,3.028268,3.037935,3.034833
260.000000,3.129782,3.141008,3.136747
270.000000,3.229611,3.242157,3.236632
280.000000,3.325263,3.339302,3.332315
290.000000,3.416724,3.432214,3.423783
300.000000,3.507732,3.525269,3.515137
310.000000,3.598607,3.618306,3.606429
320.000000,3.685983,3.708306,3.694620
330.000000,3.774157,3.799096,3.783619
340.000000,3.863627,3.891345,3.873832
350.000000,3.949457,3.979935,3.960371
360.000000,4.023207,4.056307,4.034342
370.000000,4.087521,4.123084,4.098760
380.000000,4.154676,4.192663,4.165514
390.000000,4.234377,4.275184,4.245259
400.000000,4.324714,4.369038,4.335835
410.000000,4.413737,4.461947,4.425600
420.000000,4.499113,4.551452,4.511988
430.000000,4.586275,4.642979,4.600490
440.000000,4.673269,4.734522,4.688676
450.000000,4.758601,4.824438,4.775066
460.000000,4.842457,4.912835,4.859815
470.000000,4.901677,4.975201,4.919710
471.000012,4.937263,5.012562,4.955546
472.000012,4.945797,5.021553,4.964018
473.000012,4.954275,5.030471,4.972619
474.000012,4.962711,5.039463,4.981244
475.000012,4.971195,5.048408,4.990022
476.000012,4.979848,5.057505,4.998692
477.000012,4.988212,5.066242,5.007151
478.000012,4.996544,5.075064,5.015529
479.000012,5.004792,5.083988,5.024047
480.000012,5.013255,5.092971,5.032609
481.000012,5.021944,5.102129,5.041139
482.000012,5.030666,5.111012,5.049589
483.000012,5.039192,5.120145,5.058253
484.000012,5.047313,5.128825,5.066686
485.000012,5.055106,5.137256,5.074788
486.000012,5.063221,5.145817,5.082815
487.000012,5.071715,5.154697,5.091295
488.000012,5.081020,5.164612,5.100596
489.000012,5.091455,5.175728,5.111311
490.000012,5.102713,5.187744,5.122578
491.000012,5.114632,5.200456,5.134694
492.000012,5.125497,5.211983,5.145761
493.000012,5.134821,5.221919,5.155409
494.000012,5.143523,5.231052,5.164144
495.000012,5.150484,5.238465,5.170918
496.000012,5.157271,5.245698,5.177750
497.000012,5.162686,5.251403,5.183272
498.000012,5.167622,5.256683,5.188443
499.000012,5.173433,5.262936,5.194428
500.000012,5.180935,5.271092,5.201978
501.000012,5.192204,5.283051,5.213326
502.000012,5.204852,5.296382,5.226065
503.000012,5.218369,5.310718,5.239641
504.000012,5.230903,5.324008,5.252241
505.000012,5.241640,5.335462,5.262992
506.000012,5.250933,5.345353,5.272691
507.000012,5.259191,5.354140,5.281116
508.000012,5.266053,5.361460,5.288006
509.000012,5.272007,5.367889,5.293744
510.000012,5.277820,5.374056,5.299567
511.000012,5.283448,5.379980,5.305267
512.000012,5.287641,5.384274,5.309523
513.000012,5.291520,5.388311,5.313442
514.000012,5.295553,5.392713,5.317657
515.000012,5.301613,5.399285,5.323858
516.000012,5.309854,5.408343,5.332093
517.000012,5.321285,5.420540,5.343545
518.000012,5.334484,5.434717,5.356948
519.000012,5.348565,5.449783,5.371166
520.000012,5.362526,5.464654,5.385257
521.000012,5.374818,5.477715,5.397634
522.000012,5.385214,5.488707,5.408115
523.000012,5.393934,5.498051,5.416887
524.000012,5.401860,5.506476,5.424857
525.000012,5.408917,5.513905,5.432058
526.000012,5.414795,5.520101,5.438052
527.000012,5.420081,5.525625,5.443370
528.000012,5.424188,5.530072,5.447596
529.000012,5.429075,5.535417,5.452467
530.000012,5.435694,5.542662,5.459130
531.000012,5.444962,5.552674,5.468406
532.000012,5.456676,5.565281,5.480253
533.000012,5.469634,5.579136,5.493279
534.000012,5.482065,5.592470,5.505874
535.000012,5.493564,5.604646,5.517547
536.000012,5.503258,5.615100,5.527322
537.000012,5.511713,5.624219,5.535773
538.000012,5.518572,5.631622,5.542606
539.000012,5.524097,5.637507,5.548228
540.000012,5.529698,5.643370,5.553967
541.000012,5.534965,5.648852,5.559195
542.000012,5.541452,5.655995,5.565944
543.000012,5.549285,5.664566,5.573886
544.000012,5.559289,5.675584,5.584168
