?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.019240,0.019381,0.018772
20.000000,0.130617,0.130796,0.129047
30.000000,0.307610,0.307857,0.304928
40.000000,0.489369,0.489367,0.485960
50.000000,0.623727,0.624510,0.620892
60.000000,0.721787,0.722270,0.718359
70.000000,0.837494,0.838962,0.834498
80.000000,0.964078,0.965642,0.961037
90.000000,1.106987,1.108554,1.103903
100.000000,1.265256,1.265964,1.261443
110.000000,1.426414,1.426948,1.422191
120.000000,1.592278,1.592983,1.588244
130.000000,1.752266,1.753149,1.748233
140.000000,1.899036,1.899794,1.894919
150.000000,2.028374,2.029370,2.024219
160.000000,2.133494,2.135881,2.130340
170.000000,2.201645,2.204261,2.198341
180.000000,2.261184,2.264302,2.257897
190.000000,2.317610,2.320127,2.313415
200.000000,2.397119,2.400299,2.392805
210.000000,2.486869,2.490791,2.482517
220.000000,2.591848,2.596483,2.587192
230.000000,2.695065,2.701068,2.690875
240.000000,2.793899,2.801429,2.790105
250.000000,2.891015,2.900375,2.887935
260.000000,2.992164,3.002893,2.989330
270.000000,3.098786,3.110832,3.096064
280.000000,3.197053,3.210419,3.194414
290.000000,3.294235,3.309350,3.291906
300.000000,3.388971,3.405904,3.387123
310.000000,3.487762,3.506797,3.486375
320.000000,3.585581,3.606267,3.584267
330.000000,3.684333,3.707030,3.683211
340.000000,3.784924,3.809455,3.783797
350.000000,3.884238,3.910996,3.883474
360.000000,3.982528,4.011308,3.981809
370.000000,4.079647,4.110630,4.079045
380.000000,4.174678,4.207955,4.174142
390.000000,4.272140,4.307763,4.271817
400.000000,4.372245,4.410488,4.372182
410.000000,4.472498,4.513156,4.472434
420.000000,4.570154,4.613359,4.569927
430.000000,4.660530,4.706115,4.660447
440.000000,4.755840,4.804382,4.756213
450.000000,4.853111,4.904662,4.854086
460.000000,4.953764,5.008652,4.955084
470.000000,5.048946,5.106479,5.050059
480.000000,5.139725,5.200409,5.140902
490.000000,5.226906,5.290610,5.228169
500.000000,5.318352,5.385979,5.320306
510.000000,5.411230,5.482287,5.413195
520.000000,5.505753,5.580286,5.507780
530.000000,5.598685,5.676473,5.600253
540.000000,5.684835,5.767220,5.687235
550.000000,5.770803,5.856844,5.772889
560.000000,5.859282,5.948792,5.860784
570.000000,5.955074,6.047647,5.955184
580.000000,6.052970,6.149810,6.052360
590.000000,6.120783,6.221046,6.120011
591.000014,6.159096,6.261302,6.158021
592.000014,6.166487,6.270929,6.167038
593.000014,6.171701,6.278244,6.173798
594.000014,6.177682,6.284572,6.179800
595.000014,6.183761,6.289490,6.184303
596.000014,6.190960,6.295491,6.189904
597.000014,6.196658,6.301428,6.195328
598.000014,6.202540,6.307708,6.201144
599.000014,6.210289,6.315677,6.208478
600.000014,6.221041,6.326714,6.219109
601.000014,6.236022,6.342290,6.234120
602.000014,6.249751,6.356937,6.248006
603.000014,6.260411,6.370172,6.260344
604.000014,6.269983,6.380305,6.269645
605.000014,6.278591,6.389292,6.278057
606.000014,6.286991,6.396239,6.284473
607.000014,6.292033,6.401492,6.289264
608.000014,6.297227,6.407304,6.294584
609.000014,6.302551,6.414733,6.301514
610.000014,6.312917,6.425573,6.311753
611.000014,6.325124,6.438872,6.324247
612.000014,6.339562,6.452300,6.337059
613.000014,6.351584,6.465012,6.348918
614.000014,6.361810,6.474852,6.358051
615.000014,6.371037,6.484866,6.367162
616.000014,6.377481,6.491669,6.373183
617.000014,6.383174,6.498343,6.379137
618.000014,6.388067,6.503342,6.383525
619.000014,6.391449,6.507427,6.387212
620.000014,6.397722,6.513892,6.393392
621.000014,6.402473,6.519821,6.398746
622.000014,6.415922,6.533593,6.411765
623.000014,6.428790,6.547255,6.424538
624.000014,6.445196,6.563800,6.440162
625.000014,6.458223,6.577586,6.452906
626.000014,6.470656,6.590459,6.464622
627.000014,6.481683,6.602161,6.475366
628.000014,6.489245,6.610867,6.483214
629.000014,6.496492,6.618682,6.490315
630.000014,6.501226,6.623779,6.494691
631.000014,6.506765,6.629243,6.499469
632.000014,6.511645,6.634394,6.503956
633.000014,6.518283,6.641898,6.510812
634.000014,6.528280,6.652663,6.520834
635.000014,6.541884,6.666935,6.534145
636.000014,6.558110,6.683518,6.549604
637.000014,6.570514,6.696599,6.561563
638.000014,6.582114,6.709319,6.573052
639.000014,6.590556,6.718593,6.581139
640.000014,6.599743,6.727987,6.589442
641.000014,6.605468,6.734064,6.594758
642.000014,6.610271,6.739292,6.599332
643.000014,6.614260,6.744406,6.603758
644.000014,6.617625,6.748586,6.607103
645.000014,6.623437,6.755131,6.612825
646.000014,6.631145,6.763178,6.619957
647.000014,6.643567,6.775977,6.631918
648.000014,6.654284,6.789052,6.643675
649.000014,6.665984,6.801855,6.655348
650.000014,6.675896,6.812691,6.664888
