?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.074517,0.075417,0.076193
20.000000,0.190732,0.192608,0.194085
30.000000,0.342385,0.345805,0.348274
40.000000,0.457417,0.461838,0.464507
50.000000,0.562720,0.567664,0.570459
60.000000,0.658991,0.664107,0.666256
70.000000,0.761985,0.766614,0.768025
80.000000,0.883478,0.888067,0.889021
90.000000,1.031019,1.035576,1.036042
100.000000,1.188467,1.193256,1.193483
110.000000,1.351731,1.356308,1.356217
120.000000,1.514644,1.518864,1.518488
130.000000,1.670608,1.674332,1.673509
140.000000,1.803282,1.806827,1.805404
150.000000,1.911706,1.915296,1.913406
160.000000,2.011178,2.015167,2.012401
170.000000,2.113095,2.117781,2.113989
180.000000,2.209017,2.214071,2.209047
190.000000,2.302625,2.307617,2.301602
200.000000,2.394363,2.400159,2.392877
210.000000,2.490673,2.497003,2.488561
220.000000,2.587092,2.595059,2.585110
230.000000,2.667393,2.675879,2.664739
240.000000,2.740605,2.750102,2.737679
250.000000,2.804601,2.814248,2.800776
260.000000,2.884912,2.895924,2.881042
270.000000,2.965742,2.978381,2.962009
280.000000,3.055770,3.070756,3.052745
290.000000,3.146657,3.163821,3.144169
300.000000,3.240471,3.259111,3.237676
310.000000,3.326486,3.347141,3.323831
320.000000,3.415707,3.438142,3.412722
330.000000,3.499490,3.524394,3.496817
340.000000,3.585668,3.612610,3.582865
350.000000,3.667881,3.697678,3.665825
360.000000,3.757552,3.790128,3.755954
370.000000,3.846593,3.882807,3.845978
380.000000,3.934447,3.974252,3.934317
390.000000,4.019813,4.063477,4.020380
400.000000,4.108364,4.155889,4.109215
410.000000,4.199167,4.250633,4.200237
420.000000,4.287841,4.344091,4.289878
430.000000,4.370825,4.431883,4.373943
440.000000,4.449663,4.515547,4.453836
450.000000,4.531303,4.602092,4.536193
460.000000,4.619087,4.695040,4.624522
470.000000,4.680917,4.760568,4.686944
471.000014,4.715481,4.796841,4.721463
472.000014,4.719634,4.801530,4.725888
473.000014,4.726333,4.808825,4.732720
474.000014,4.735068,4.818569,4.741901
475.000014,4.746589,4.830601,4.753389
476.000014,4.758554,4.843503,4.765545
477.000014,4.769841,4.855562,4.776881
478.000014,4.780932,4.867437,4.788154
479.000014,4.791090,4.877737,4.797948
480.000014,4.798678,4.885997,4.805817
481.000014,4.806323,4.893746,4.813166
482.000014,4.811391,4.899611,4.818685
483.000014,4.815675,4.904274,4.823008
484.000014,4.820238,4.909023,4.827486
485.000014,4.825749,4.914754,4.832989
486.000014,4.833865,4.923354,4.841048
487.000014,4.843913,4.934799,4.851773
488.000014,4.856807,4.948740,4.864896
489.000014,4.870371,4.963130,4.878637
490.000014,4.882848,4.976479,4.891294
491.000014,4.893523,4.987859,4.902048
492.000014,4.902979,4.997974,4.911661
493.000014,4.911062,5.006484,4.919639
494.000014,4.917612,5.013732,4.926369
495.000014,4.923193,5.019838,4.932061
496.000014,4.928392,5.025560,4.937557
497.000014,4.935234,5.032714,4.944294
498.000014,4.944183,5.042355,4.953373
499.000014,4.954244,5.053182,4.963401
500.000014,4.965690,5.065411,4.975123
501.000014,4.976663,5.077171,4.986124
502.000014,4.986959,5.088256,4.996556
503.000014,4.995207,5.097483,5.005002
504.000014,5.001989,5.104900,5.012104
505.000014,5.009056,5.111956,5.018826
506.000014,5.016062,5.119371,5.025810
507.000014,5.023160,5.126848,5.032710
508.000014,5.029605,5.134567,5.039846
509.000014,5.035908,5.141484,5.046343
510.000014,5.043166,5.149470,5.053935
511.000014,5.050810,5.157693,5.061786
512.000014,5.059605,5.167148,5.070715
513.000014,5.070826,5.179342,5.082148
514.000014,5.083897,5.193429,5.095382
515.000014,5.097130,5.207767,5.108757
516.000014,5.108786,5.220412,5.120498
517.000014,5.117540,5.229855,5.129309
518.000014,5.123958,5.236951,5.136054
519.000014,5.129160,5.242867,5.141602
520.000014,5.134731,5.249104,5.147304
521.000014,5.141689,5.256220,5.153805
522.000014,5.147563,5.262317,5.159436
523.000014,5.152897,5.268143,5.164874
524.000014,5.158287,5.274550,5.170947
525.000014,5.166123,5.283531,5.179386
526.000014,5.177325,5.295708,5.190659
527.000014,5.189863,5.309210,5.203373
528.000014,5.202377,5.322283,5.215494
529.000014,5.213570,5.334749,5.227092
530.000014,5.222726,5.345005,5.236475
531.000014,5.230768,5.354145,5.245051
532.000014,5.238263,5.361888,5.252416
533.000014,5.244013,5.368340,5.258331
534.000014,5.248859,5.374034,5.263429
535.000014,5.252345,5.378552,5.267451
536.000014,5.257263,5.384037,5.272555
537.000014,5.264297,5.391466,5.279581
538.000014,5.273289,5.401255,5.288738
539.000014,5.284650,5.413934,5.300486
540.000014,5.296725,5.427422,5.313033
541.000014,5.307810,5.439625,5.324371
542.000014,5.318209,5.451130,5.334930
543.000014,5.326792,5.460932,5.343971
544.000014,5.334638,5.469774,5.352093
545.000014,5.342087,5.477788,5.359666
546.000014,5.349864,5.485807,5.367038
547.000014,5.357730,5.494898,5.375403
548.000014,5.365952,5.504313,5.384036
549.000014,5.374459,5.514105,5.393280
550.000014,5.390430,5.530282,5.409273
551.000014,5.405020,5.545104,5.424256
552.000014,5.417709,5.557835,5.437083
553.000014,5.423026,5.563369,5.442489
554.000014,5.428889,5.569722,5.448199
555.000014,5.436262,5.578180,5.455785
556.000014,5.445206,5.588906,5.465382
557.000014,5.455814,5.601437,5.476664
558.000014,5.467415,5.615212,5.489023
559.000014,5.478286,5.627981,5.500587
560.000014,5.488409,5.639622,5.511013
561.000014,5.496897,5.649888,5.520156
562.000014,5.504024,5.658543,5.527663
563.000014,5.510590,5.666433,5.534858
564.000014,5.515715,5.672191,5.540140
565.000014,5.522023,5.678632,5.546186
566.000014,5.527753,5.685442,5.552292
567.000014,5.533050,5.691681,5.557848
568.000014,5.538048,5.698301,5.563685
569.000014,5.544337,5.705094,5.569902
570.000014,5.554030,5.715954,5.579982
571.000014,5.566079,5.729664,5.592578
572.000014,5.577436,5.743349,5.604815
573.000014,5.587260,5.755175,5.615262
574.000014,5.595570,5.765168,5.624028
575.000014,5.602469,5.773789,5.631654
576.000014,5.608488,5.781441,5.638340
577.000014,5.613629,5.787430,5.643614
578.000014,5.618393,5.793127,5.648616
579.000014,5.626284,5.801816,5.656407
580.000014,5.634361,5.812048,5.665379
581.000014,5.645117,5.825001,5.676930
582.000014,5.654686,5.837348,5.687989
583.000014,5.664619,5.849596,5.698954
584.000014,5.672331,5.859571,5.707581
585.000014,5.679254,5.868427,5.715254
586.000014,5.685647,5.876676,5.722467
587.000014,5.690994,5.883573,5.728531
588.000014,5.695092,5.889134,5.733207
589.000014,5.698479,5.893684,5.737027
590.000014,5.702272,5.898895,5.741410
591.000014,5.708115,5.906019,5.747658
592.000014,5.714875,5.914715,5.755178
593.000014,5.725648,5.928172,5.767002
594.000014,5.737341,5.943533,5.780282
595.000014,5.749613,5.960320,5.794478
596.000014,5.760701,5.976028,5.807729
597.000014,5.769338,5.989638,5.818954
598.000014,5.777939,6.002529,5.829778
599.000014,5.783568,6.012149,5.837387
600.000014,5.788899,6.020832,5.844221
601.000014,5.793201,6.028020,5.849839
602.000014,5.797647,6.034705,5.855342
603.000014,5.800745,6.039606,5.859424
604.000014,5.802732,6.043253,5.862388
605.000014,5.805078,6.047564,5.865837
606.000014,5.808857,6.053299,5.870490
607.000014,5.814740,6.061681,5.877309
