?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
608.000014,5.822150,6.072184,5.885997
609.000014,5.830689,6.085324,5.896545
610.000014,5.839899,6.100435,5.908667
611.000014,5.851804,6.119295,5.923900
612.000014,5.859624,6.134227,5.935272
613.000014,5.864354,6.145597,5.943449
614.000014,5.867306,6.154342,5.949506
615.000014,5.871887,6.164077,5.956923
616.000014,5.875790,6.172594,5.963142
617.000014,5.878530,6.179863,5.968123
618.000014,5.881863,6.187307,5.973341
619.000014,5.885724,6.195645,5.979527
620.000014,5.889243,6.204062,5.985600
621.000014,5.893253,6.214892,5.993352
622.000014,5.895538,6.229897,6.003114
623.000014,5.895635,6.248128,6.014012
624.000014,5.892751,6.266779,6.023473
625.000014,5.890395,6.285246,6.032443
626.000014,5.888966,6.301920,6.040310
627.000014,5.888086,6.316312,6.047117
628.000014,5.888344,6.328401,6.052915
629.000014,5.888059,6.338105,6.057288
630.000014,5.888450,6.347231,6.061783
631.000014,5.888466,6.354638,6.065242
632.000014,5.888872,6.362157,6.068810
633.000014,5.890190,6.371104,6.073453
634.000014,5.892770,6.383141,6.079921
635.000014,5.895699,6.397213,6.087027
636.000014,5.898651,6.413529,6.095017
637.000014,5.900688,6.429933,6.102422
638.000014,5.901044,6.445378,6.108489
639.000014,5.901579,6.459869,6.113825
640.000014,5.900867,6.472081,6.117466
641.000014,5.900697,6.483826,6.121132
642.000014,5.900812,6.495676,6.124967
643.000014,5.900729,6.507419,6.128282
644.000014,5.901341,6.520824,6.132482
645.000014,5.901047,6.535956,6.136298
646.000014,5.899688,6.555108,6.140232
647.000014,5.896308,6.577747,6.143645
648.000014,5.890191,6.600404,6.145293
649.000014,5.882712,6.623697,6.147105
650.000014,5.875534,6.641764,6.147749
650.500026,5.868327,6.656259,6.148065
651.000026,5.862108,6.666761,6.147880
651.500026,5.847754,6.680971,6.147404
652.000026,4.470509,7.671577,4.743021
652.500026,3.081545,8.638935,3.321274
653.000026,1.702154,9.590761,1.900283
653.500026,1.688451,9.556195,1.883663
654.000026,1.688347,9.537294,1.884068
654.500026,1.687311,9.525022,1.882952
655.000026,1.684814,9.519059,1.880435
655.500026,1.683535,9.516590,1.875322
656.000026,,9.516854,1.868864
656.500026,1.665442,9.517265,1.863324
657.000026,1.664760,9.516481,1.860482
657.500026,1.663817,9.514343,1.859536
658.000026,1.662790,9.512143,1.858748
658.500026,1.662487,9.511760,1.858429
659.000026,,,
659.500026,,,
660.000026,,,
