?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],,? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],?2.dY [mm],?3.dY [mm],? 3-1.dY [mm],? 3-2.dY [mm],? 3-3.dY [mm],,deformation2-1,deformation2-3
468.000014,4.629577,4.786462,4.630611,,4.648169,4.663113,4.677656,4.693582,4.791489,4.648511,4.665197,4.677791,4.689836,,0.14332,0.142978
469.000014,4.635241,4.793638,4.635865,,4.659187,4.675822,4.689141,4.704092,4.80301,4.65946,4.676592,4.6892,4.70038,,0.143823,0.14355
470.000014,4.642767,4.801906,4.643421,,4.661418,4.677179,4.691377,4.705843,4.805797,4.661531,4.67927,4.691766,4.702904,,0.144379,0.144266
471.000014,4.647915,4.808077,4.648663,,4.671227,4.686694,4.701391,4.715332,4.816741,4.671761,4.688072,4.701892,4.713623,,0.145514,0.14498
472.000014,4.653825,4.81441,4.654373,,4.674842,4.690014,4.705197,4.718841,4.821376,4.675897,4.691484,4.705347,4.717796,,0.146534,0.145479
473.000014,4.657527,4.818707,4.658254,,4.678584,4.693152,4.709219,4.722726,4.825137,4.679454,4.694923,4.709292,4.721419,,0.146553,0.145683
474.000014,4.660473,4.822079,4.661166,,4.681687,4.696464,4.712566,4.726564,4.829118,4.68274,4.698374,4.713388,4.725367,,0.147431,0.146378
475.000014,4.664469,4.826734,4.66588,,4.683188,4.697582,4.714274,4.728477,4.831313,4.684586,4.700479,4.714334,4.727284,,0.148125,0.146727
476.000014,4.669112,4.832225,4.670324,,4.690766,4.707532,4.721941,4.738657,4.83988,4.692006,4.709065,4.721829,4.734688,,0.149114,0.147874
477.000014,4.678132,4.842385,4.679814,,4.696057,4.712568,4.727216,4.743005,4.845744,4.697527,4.714663,4.727533,4.739976,,0.149687,0.148217
478.000014,4.687927,4.853616,4.689813,,4.711329,4.726598,4.742467,4.756384,4.861823,4.71231,4.728526,4.743299,4.755421,,0.150494,0.149513
479.000014,4.700795,4.867998,4.703031,,4.720341,4.736983,4.752161,4.766223,4.873311,4.722103,4.73819,4.752351,4.765881,,0.15297,0.151208
480.000014,4.713682,4.882705,4.715991,,4.735333,4.75167,4.767224,4.78453,4.88984,4.736773,4.755491,4.768321,4.781196,,0.154507,0.153067
481.000014,4.726826,4.898131,4.729414,,4.750453,4.766944,4.78236,4.797738,4.906484,4.751848,4.769266,4.784231,4.796683,,0.156031,0.154636
482.000014,4.739634,4.913276,4.742461,,4.760506,4.774779,4.792996,4.807158,4.91959,4.76257,4.779302,4.794724,4.808179,,0.159084,0.15702
483.000014,4.749982,4.925608,4.75306,,4.774106,4.790977,4.807034,4.826342,4.933709,4.776266,4.795018,4.808683,4.822181,,0.159603,0.157443
484.000014,4.760777,4.93796,4.76359,,4.781378,4.798968,4.814241,4.831012,4.942746,4.783593,4.802606,4.816984,4.829162,,0.161368,0.159153
485.000014,4.769138,4.947769,4.77237,,4.793613,4.810215,4.826787,4.842033,4.956821,4.795532,4.813391,4.829111,4.84246,,0.163208,0.161289
486.000014,4.777493,4.957736,4.780619,,4.799464,4.815851,4.833143,4.848345,4.964421,4.801967,4.81922,4.835264,4.849131,,0.164957,0.162454
487.000014,4.783812,4.965435,4.787546,,4.806293,4.821932,4.840264,4.85665,4.972234,4.809199,4.827502,4.842537,4.856981,,0.165941,0.163035
488.000014,4.789948,4.972719,4.793648,,4.812095,4.828524,4.846277,4.864828,4.978546,4.815216,4.834045,4.848957,4.86311,,0.166451,0.16333
489.000014,4.794916,4.978572,4.799191,,4.817709,4.835795,4.851953,4.870175,4.985446,4.820942,4.840973,4.854922,4.868594,,0.167737,0.164504
490.000014,4.79934,4.983632,4.803444,,4.821943,4.83953,4.856228,4.873421,4.990158,4.825094,4.844975,4.859698,4.872441,,0.168215,0.165064
491.000014,4.802435,4.987485,4.806244,,4.826248,4.843702,4.860006,4.876445,4.99473,4.82917,4.848598,4.863631,4.876684,,0.168482,0.16556
492.000014,4.805524,4.991094,4.809272,,4.827741,4.845862,4.861623,4.878277,4.996575,4.830515,4.8498,4.865065,4.878567,,0.168834,0.16606
493.000014,4.809325,4.996053,4.813018,,4.831513,4.848768,4.865457,4.881554,5.001626,4.834463,4.852858,4.86913,4.883032,,0.170113,0.167163
494.000014,4.814013,5.001725,4.817575,,4.837544,4.854784,4.87189,4.888224,5.008942,4.841081,4.858934,4.875291,4.889667,,0.171398,0.167861
495.000014,4.822125,5.011337,4.82614,,4.841858,4.858229,4.876793,4.892102,5.01401,4.845817,4.864042,4.879841,4.894522,,0.172152,0.168193
496.000014,4.831566,5.022144,4.835908,,4.85539,4.873665,4.890109,4.909869,5.030199,4.859486,4.878931,4.894956,4.908771,,0.174809,0.170713
497.000014,4.844565,5.037288,4.849988,,4.866162,4.884955,4.901131,4.918467,5.04186,4.870189,4.889863,4.905726,4.919532,,0.175698,0.171671
498.000014,4.856434,5.051524,4.862116,,4.881458,4.898031,4.917151,4.93324,5.059101,4.885462,4.903034,4.920839,4.935869,,0.177643,0.173639
499.000014,4.870223,5.068062,4.87625,,4.890955,4.908158,4.927571,4.947452,5.072419,4.89623,4.91603,4.932241,4.947491,,0.181464,0.176189
500.000014,4.882362,5.082945,4.887579,,4.908084,4.927707,4.943995,4.961407,5.091129,4.912663,4.933379,4.949678,4.964207,,0.183045,0.178466
501.000014,4.894522,5.097582,4.899658,,4.918372,4.936556,4.954804,4.971591,5.103309,4.92314,4.941972,4.960129,4.975655,,0.184937,0.180169
502.000014,4.904877,5.110199,4.910583,,4.928304,4.946351,4.965472,4.985118,5.116493,4.934056,4.953717,4.971441,4.98731,,0.188189,0.182437
503.000014,4.914018,5.121177,4.920802,,4.938665,4.958706,4.976099,4.996472,5.129526,4.945312,4.967261,4.98311,4.998108,,0.190861,0.184214
504.000014,4.922327,5.131033,4.929658,,4.945534,4.964363,4.983047,5.00184,5.137319,4.951762,4.972967,4.989824,5.005115,,0.191785,0.185557
505.000014,4.928043,5.137983,4.935407,,4.954055,4.974454,4.99132,5.009125,5.146781,4.959751,4.980571,4.99818,5.01406,,0.192726,0.18703
506.000014,4.933814,5.145253,4.94066,,4.956641,4.97645,4.994264,5.011338,5.151011,4.962519,4.982861,5.001191,5.017306,,0.19437,0.188492
507.000014,4.938477,5.151538,4.9452,,4.963249,4.981052,5.000973,5.019265,5.159027,4.969634,4.98967,5.007757,5.024675,,0.195778,0.189393
508.000014,4.942931,5.157404,4.949775,,4.967806,4.986258,5.005976,5.026832,5.165417,4.975022,4.995265,5.01293,5.029785,,0.197611,0.190395
509.000014,4.94578,5.161343,4.953726,,4.969948,4.988761,5.008248,5.029013,5.16864,4.976945,4.997837,5.015769,5.032324,,0.198692,0.191695
510.000014,4.949384,5.165899,4.957793,,4.971513,4.990444,5.010274,5.031158,5.171265,4.978636,5.000784,5.017983,5.034108,,0.199752,0.192629
511.000014,4.952571,5.169985,4.96133,,4.978237,4.998587,5.017157,5.037432,5.178405,4.986433,5.009357,5.025854,5.041278,,0.200168,0.191972
512.000014,4.958582,5.176959,4.967288,,4.979193,4.999637,5.018477,5.03835,5.18072,4.987146,5.009903,5.027157,5.042741,,0.201527,0.193574
513.000014,4.965391,5.185541,4.974395,,4.990026,5.01096,5.028505,5.046942,5.191909,4.997384,5.019204,5.036973,5.053694,,0.201883,0.194525
514.000014,4.975898,5.198709,4.98497,,4.999913,5.019553,5.038887,5.05726,5.204872,5.007222,5.028139,5.047081,5.064306,,0.204959,0.19765
515.000014,4.987877,5.213663,4.997591,,5.011174,5.030596,5.050715,5.073477,5.2189,5.019409,5.041822,5.059946,5.076831,,0.207726,0.199491
516.000014,5.000485,5.229352,5.009431,,5.026028,5.04732,5.065963,5.085058,5.236238,5.03493,5.058072,5.076005,5.09312,,0.21021,0.201308
517.000014,5.012705,5.24442,5.02207,,5.037888,5.059054,5.078107,5.096485,5.251386,5.046442,5.068054,5.08783,5.10584,,0.213498,0.204944
518.000014,5.021976,5.256595,5.031455,,5.048851,5.069071,5.089029,5.111379,5.265156,5.058191,5.081515,5.099562,5.11758,,0.216305,0.206965
519.000014,5.03065,5.267907,5.041691,,5.053956,5.074758,5.095103,5.11751,5.273714,5.064207,5.089251,5.107002,5.124382,,0.219758,0.209507
520.000014,5.037091,5.276768,5.048687,,5.063197,5.084301,5.104923,5.126085,5.285477,5.074587,5.099028,5.117027,5.134812,,0.22228,0.21089
521.000014,5.043591,5.285583,5.055385,,5.06766,5.090122,5.109188,5.12955,5.291771,5.078732,5.103025,5.1212,5.139939,,0.224111,0.213039
522.000014,5.048628,5.29246,5.060001,,5.074226,5.096142,5.115407,5.134912,5.299192,5.084955,5.108702,5.127429,5.146384,,0.224966,0.214237
523.000014,5.052908,5.298474,5.063893,,5.079464,5.10098,5.121156,5.140616,5.306443,5.090455,5.113468,5.132889,5.152473,,0.226979,0.215988
524.000014,5.056866,5.303716,5.06814,,5.08134,5.102052,5.123509,5.144304,5.309043,5.092492,5.116218,5.13511,5.154562,,0.227703,0.216551
525.000014,5.060326,5.308723,5.072181,,5.086006,5.106006,5.128334,5.150897,5.316126,5.098001,5.122045,5.140831,5.160004,,0.23012,0.218125
526.000014,5.065308,5.315346,5.077644,,5.089721,5.10854,5.131622,5.155901,5.321296,5.101475,5.12659,5.145661,5.163969,,0.231575,0.219821
527.000014,5.071894,5.324286,5.08472,,5.095708,5.115778,5.138294,5.161784,5.329061,5.10819,5.134568,5.152702,5.171173,,0.233353,0.220871
528.000014,5.0808,5.335622,5.092836,,5.105665,5.128086,5.148935,5.169868,5.34158,5.119012,5.143679,5.163009,5.182105,,0.235915,0.222568
529.000014,5.091112,5.349075,5.103522,,5.116822,5.139129,5.15965,5.180195,5.355041,5.129538,5.15369,5.173776,5.193937,,0.238219,0.225503
530.000014,5.100114,5.361062,5.112787,,5.12732,5.14815,5.170835,5.195182,5.370048,5.140734,5.165834,5.185709,5.205135,,0.242728,0.229314
530.500025,5.106799,5.370341,5.121435,,5.133192,5.154158,5.176646,5.201384,5.377816,5.147103,5.173759,5.19327,5.212371,,0.244624,0.230713
531.000025,5.111528,5.377093,5.126934,,5.136836,5.158499,5.180622,5.20426,5.383224,5.151274,5.177526,5.197068,5.217005,,0.246388,0.23195
531.500025,5.116129,5.383653,5.131714,,5.141114,5.164019,5.185236,5.207793,5.389883,5.156177,5.183096,5.20234,5.222227,,0.248769,0.233706
532.000025,5.120916,5.39061,5.136249,,5.146953,5.170455,5.191597,5.2129,5.398203,5.161979,5.187754,5.208327,5.228647,,0.25125,0.236224
532.500025,5.125036,5.396618,5.140189,,5.151216,5.174718,5.195781,5.21686,5.403863,5.166533,5.191696,5.212769,5.233349,,0.252647,0.23733
533.000025,5.128255,5.4014,5.142234,,5.154264,5.178416,5.198914,5.219163,5.408245,5.169208,5.19425,5.215827,5.236952,,0.253981,0.239037
533.500025,5.131427,5.406662,5.145022,,5.157004,5.180211,5.20127,5.222492,5.412794,5.171847,5.198102,5.218911,5.239798,,0.25579,0.240947
534.000025,5.134306,5.411388,5.147247,,5.161259,5.184369,5.206107,5.228629,5.418437,5.175873,5.202178,5.22337,5.244252,,0.257178,0.242564
534.500025,5.137316,5.416177,5.151229,,5.163004,5.185296,5.207928,5.231992,5.422194,5.177772,5.20407,5.225642,5.246418,,0.25919,0.244422
535.000025,5.140251,5.420115,5.154333,,5.166182,5.188428,5.211163,5.235848,5.426957,5.181029,5.208345,5.22945,5.249762,,0.260775,0.245928
535.500025,5.143711,5.424916,5.158258,,5.169795,5.192107,5.215242,5.239935,5.432178,5.184744,5.212905,5.233861,5.254586,,0.262383,0.247434
536.000025,5.146915,5.429874,5.161716,,5.173404,5.195351,5.218857,5.243469,5.4377,5.188463,5.21828,5.238144,5.258466,,0.264296,0.249237
536.500025,5.149678,5.434574,5.165176,,5.175688,5.197639,5.221058,5.24578,5.441603,5.191043,5.219951,5.240895,5.261798,,0.265915,0.25056
537.000025,5.152893,5.439864,5.168967,,5.178335,5.201228,5.223706,5.248298,5.445996,5.194489,5.22293,5.243611,5.264966,,0.267661,0.251507
537.500025,5.156686,5.445429,5.173169,,5.182438,5.204779,5.228471,5.251465,5.452155,5.199092,5.226606,5.248747,5.270015,,0.269717,0.253063
538.000025,5.160708,5.450938,5.177005,,5.186631,5.212066,5.23274,5.25498,5.457198,5.203044,5.230635,5.252776,5.274832,,0.270567,0.254154
