?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
581.000015,5.592600,5.720011,5.560424
582.000015,5.600805,5.729766,5.568194
583.000015,5.607529,5.737687,5.574509
584.000015,5.612391,5.743084,5.578849
585.000015,5.616556,5.747970,5.582540
586.000015,5.621171,5.753365,5.586782
587.000015,5.627834,5.761108,5.593220
588.000015,5.636812,5.771832,5.602441
589.000015,5.648104,5.784623,5.613617
590.000015,5.658636,5.796405,5.623956
590.500027,5.667478,5.805924,5.632421
591.000027,5.672838,5.812110,5.637401
591.500027,5.677458,5.817959,5.642038
592.000027,5.681427,5.823350,5.646202
592.500027,5.685747,5.829022,5.650435
593.000027,5.689528,5.833931,5.654016
593.500027,5.693452,5.838627,5.657279
594.000027,5.696766,5.842246,5.660123
594.500027,5.699435,5.845328,5.662459
595.000027,5.701810,5.848152,5.664507
595.500027,5.704179,5.850984,5.666475
596.000027,5.707251,5.854580,5.669116
596.500027,5.710496,5.858445,5.672171
597.000027,5.713954,5.862766,5.675543
597.500027,5.717386,5.866936,5.678708
598.000027,5.720356,5.871328,5.681912
598.500027,5.723983,5.876059,5.685581
599.000027,5.728620,5.881828,5.690460
599.500027,5.734819,5.888191,5.695956
600.000027,5.741115,5.894987,5.701668
600.500027,5.747210,5.901861,5.707317
601.000027,5.752732,5.908787,5.712865
601.500027,5.758441,5.916097,5.718602
602.000027,5.764566,5.923332,5.724182
602.500027,5.771064,5.930661,5.729936
603.000027,5.777280,5.938047,5.735728
603.500027,5.782499,5.944779,5.740568
604.000027,5.786590,5.950388,5.744229
604.500027,5.789934,5.954892,5.746966
605.000027,5.793370,5.959657,5.750013
605.500027,5.796653,5.964527,5.753266
606.000027,5.799731,5.968922,5.756340
606.500027,5.802813,5.972783,5.758922
607.000027,5.805467,5.976098,5.761218
607.500027,5.808420,5.979384,5.763390
608.000027,5.810145,5.981916,5.765108
608.500027,5.811812,5.984240,5.766267
609.000027,5.813061,5.986145,5.767360
609.500027,5.814842,5.988508,5.768724
610.000027,5.817052,5.991236,5.770748
610.500027,5.819106,5.993892,5.772605
611.000027,5.821367,5.996786,5.774619
611.500027,5.824297,6.000296,5.777202
612.000027,5.827794,6.004830,5.780692
612.500027,5.832566,6.010351,5.785066
613.000027,5.838778,6.017796,5.791196
613.500027,5.846946,6.027120,5.798732
614.000027,5.855526,6.037222,5.806965
614.500027,5.863172,6.046125,5.813938
615.000027,5.869486,6.053881,5.819831
615.500027,5.875328,6.061364,5.825100
616.000027,5.881081,6.069198,5.830512
616.500027,5.886776,6.077123,5.835857
617.000027,5.892150,6.084281,5.840690
617.500027,5.896511,6.090222,5.844314
618.000027,5.900477,6.095500,5.847438
618.500027,5.903746,6.100331,5.850323
619.000027,5.906926,6.105008,5.853001
619.500027,5.909891,6.109209,5.855244
620.000027,5.912337,6.113142,5.857340
620.500027,5.914250,6.116482,5.859060
621.000027,5.915623,6.119078,5.860358
621.500027,5.917193,6.121432,5.861266
622.000027,5.919608,6.124322,5.862968
622.500027,5.922435,6.128054,5.865439
623.000027,5.925294,6.131902,5.868218
623.500027,5.928597,6.136328,5.871335
624.000027,5.932784,6.141804,5.875242
624.500027,5.939458,6.149572,5.880971
625.000027,5.947072,6.159020,5.888244
625.500027,5.954938,6.168479,5.895571
626.000027,5.960432,6.175918,5.901063
626.500027,5.964474,6.181529,5.904571
627.000027,5.967536,6.186392,5.907396
627.500027,5.971137,6.191801,5.910415
628.000027,5.975544,6.197677,5.913978
628.500027,5.979614,6.203111,5.917036
629.000027,5.982742,6.207377,5.919474
629.500027,5.984146,6.210131,5.920465
630.000027,5.984933,6.212167,5.920772
630.500027,5.986179,6.214737,5.921619
631.000027,5.988942,6.218531,5.923896
631.500027,5.992344,6.223353,5.927073
632.000027,5.995931,6.228193,5.930347
632.500027,5.999232,6.232975,5.933195
633.000027,6.003486,6.238663,5.936843
633.500027,6.009591,6.246323,5.942194
634.000027,6.016791,6.255582,5.948998
634.500027,6.024442,6.264973,5.955689
635.000027,6.030109,6.273177,5.960920
635.500027,6.034201,6.278964,5.964052
636.000027,6.037288,6.283911,5.966638
636.500027,6.040663,6.289218,5.969233
637.000027,6.044936,6.295856,5.972878
637.500027,6.048541,6.302023,5.975935
638.000027,6.051602,6.306590,5.977830
638.500027,6.052853,6.309716,5.978668
639.000027,6.054279,6.312064,5.979164
639.500027,6.055556,6.315009,5.980078
640.000027,6.057938,6.318593,5.981631
640.500027,6.060279,6.322758,5.983488
641.000027,6.062994,6.326664,5.985577
641.500027,6.066371,6.331200,5.988042
642.000027,6.071005,6.337494,5.991750
642.500027,6.077082,6.346103,5.996844
643.000027,6.084126,6.355946,6.002935
643.500027,6.091115,6.365586,6.008370
644.000027,6.096859,6.373446,6.012495
644.500027,6.101415,6.380500,6.015359
645.000027,6.105674,6.386724,6.017814
645.500027,6.109988,6.393506,6.020071
646.000027,6.113711,6.399615,6.021788
646.500027,6.116077,6.405182,6.022846
647.000027,6.118155,6.409469,6.022701
647.500027,6.119297,6.413035,6.021920
648.000027,6.121576,6.417308,6.021728
648.500027,6.123482,6.421808,6.022293
649.000027,6.125780,6.426158,6.022802
649.500027,6.127724,6.430165,6.022814
650.000027,6.129155,6.434025,6.022336
650.500027,6.132120,6.439070,6.022381
651.000027,6.136462,6.445890,6.022732
651.500027,6.142895,6.455882,6.022003
652.000027,6.146316,6.461416,6.021614
652.500027,,,
653.000027,2.102000,8.928182,2.027631
653.500027,2.103109,8.926817,2.029025
654.000027,2.105114,8.929843,2.031477
654.500027,2.102028,8.938148,2.028536
655.000027,2.094458,8.949517,2.021291
655.500027,2.080823,8.955826,2.008382
656.000027,2.064180,8.959391,1.992133
656.500027,2.052605,8.964294,1.980693
657.000027,2.048100,8.968123,1.976066
