?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.015065,0.014965,0.014942
20.000000,0.051031,0.050829,0.050511
30.000000,0.100484,0.100560,0.100431
40.000000,0.175579,0.175853,0.175818
50.000000,0.273270,0.273510,0.273527
60.000000,0.383594,0.383737,0.383471
70.000000,0.485800,0.486035,0.485259
80.000000,0.581843,0.582235,0.581103
90.000000,0.685930,0.686275,0.684741
100.000000,0.809212,0.809490,0.807691
110.000000,0.949650,0.949990,0.947865
120.000000,1.102518,1.102870,1.100536
130.000000,1.261230,1.261620,1.259132
140.000000,1.425376,1.425633,1.423148
150.000000,1.600709,1.601351,1.599153
160.000000,1.754532,1.755325,1.753379
170.000000,1.884181,1.885359,1.883260
180.000000,1.997179,1.998268,1.995984
190.000000,2.106588,2.108076,2.105456
200.000000,2.211835,2.213900,2.210960
210.000000,2.303527,2.306338,2.302781
220.000000,2.399921,2.403405,2.399065
230.000000,2.498339,2.502399,2.497175
240.000000,2.595015,2.599575,2.593173
250.000000,2.686757,2.691577,2.683953
260.000000,2.779804,2.785408,2.776243
270.000000,2.873376,2.879909,2.869243
280.000000,2.965102,2.972725,2.960380
290.000000,3.049878,3.058213,3.044485
300.000000,3.131606,3.141020,3.125629
310.000000,3.217658,3.228643,3.211375
320.000000,3.309543,3.322204,3.302733
330.000000,3.402285,3.416598,3.395004
340.000000,3.489376,3.504999,3.481433
350.000000,3.570225,3.587332,3.561718
360.000000,3.652644,3.671240,3.643513
370.000000,3.742335,3.762927,3.732667
380.000000,3.834238,3.856839,3.824169
390.000000,3.926191,3.950890,3.915595
400.000000,4.014062,4.040824,4.002993
410.000000,4.102503,4.131413,4.090990
420.000000,4.183211,4.214178,4.171181
430.000000,4.264803,4.297838,4.252423
440.000000,4.350787,4.386151,4.337796
450.000000,4.445836,4.483728,4.432338
460.000000,4.538531,4.578891,4.524287
470.000000,4.600300,4.642429,4.585677
471.000014,4.633203,4.676445,4.618497
472.000014,4.639226,4.682862,4.624611
473.000014,4.645440,4.689184,4.630772
474.000014,4.650477,4.694203,4.635584
475.000014,4.654567,4.698265,4.639575
476.000014,4.658140,4.701989,4.643075
477.000014,4.664090,4.708231,4.649036
478.000014,4.674595,4.719095,4.659479
479.000014,4.688438,4.733317,4.673268
480.000014,4.703438,4.748695,4.688220
481.000014,4.716762,4.762563,4.701585
482.000014,4.729339,4.775469,4.714084
483.000014,4.739860,4.786246,4.724525
484.000014,4.748007,4.794560,4.732553
485.000014,4.753827,4.800619,4.738401
486.000014,4.759137,4.806284,4.743709
487.000014,4.764482,4.811830,4.749053
488.000014,4.769721,4.817272,4.754189
489.000014,4.776227,4.823760,4.760476
490.000014,4.785871,4.833696,4.769965
491.000014,4.797364,4.845624,4.781433
492.000014,4.809702,4.858408,4.793889
493.000014,4.821682,4.870716,4.805729
494.000014,4.830725,4.880118,4.814860
495.000014,4.838128,4.888072,4.822145
496.000014,4.844980,4.894965,4.828991
497.000014,4.850929,4.900861,4.834606
498.000014,4.856230,4.905956,4.839779
499.000014,4.860204,4.910363,4.843679
500.000014,4.865292,4.915715,4.848685
501.000014,4.872097,4.922775,4.855549
502.000014,4.882413,4.933259,4.865821
503.000014,4.896926,4.948111,4.880370
504.000014,4.913513,4.965287,4.896958
505.000014,4.927892,4.980173,4.911194
506.000014,4.941121,4.993959,4.924287
507.000014,4.951777,5.004996,4.934894
508.000014,4.960002,5.013298,4.943121
509.000014,4.967412,5.020793,4.950505
510.000014,4.972887,5.026380,4.955725
511.000014,4.978571,5.032377,4.961254
512.000014,4.982814,5.036697,4.965352
513.000014,4.985553,5.039509,4.968049
514.000014,4.988459,5.042494,4.970944
515.000014,4.991662,5.045905,4.974144
516.000014,4.997750,5.052213,4.980188
517.000014,5.007735,5.062529,4.990140
518.000014,5.021185,5.076463,5.003618
519.000014,5.036780,5.092616,5.019138
520.000014,5.052283,5.108556,5.034575
521.000014,5.065098,5.121728,5.047210
522.000014,5.076824,5.133992,5.058985
523.000014,5.085937,5.143458,5.068013
524.000014,5.093532,5.151314,5.075484
525.000014,5.099831,5.157753,5.081614
526.000014,5.104555,5.162738,5.086273
527.000014,5.109392,5.167862,5.091124
528.000014,5.112619,5.171050,5.094160
529.000014,5.115664,5.174201,5.097201
530.000014,5.118899,5.177596,5.100479
531.000014,5.123807,5.182755,5.105470
532.000014,5.131223,5.190411,5.112720
533.000014,5.142671,5.202107,5.124043
534.000014,5.157398,5.217368,5.138809
535.000014,5.173428,5.233935,5.154759
536.000014,5.188527,5.249564,5.169782
537.000014,5.202371,5.263943,5.183580
538.000014,5.213703,5.275679,5.194831
539.000014,5.222926,5.285186,5.203802
540.000014,5.230164,5.292461,5.210696
541.000014,5.236151,5.298616,5.216540
542.000014,5.240715,5.303404,5.221182
543.000014,5.244666,5.307389,5.224944
544.000014,5.247587,5.310513,5.227969
545.000014,5.250937,5.314136,5.231308
546.000014,5.254258,5.317946,5.234896
547.000014,5.262557,5.326570,5.243082
548.000014,5.274077,5.338531,5.254515
549.000014,5.288699,5.353599,5.268862
550.000014,5.302615,5.367979,5.282496
551.000014,5.315338,5.381099,5.295072
552.000014,5.325878,5.391984,5.305571
553.000014,5.334281,5.400766,5.314042
554.000014,5.340415,5.406950,5.319996
555.000014,5.345058,5.411580,5.324347
556.000014,5.348842,5.415347,5.327986
557.000014,5.352335,5.419026,5.331411
558.000014,5.357523,5.424557,5.336654
559.000014,5.366865,5.434271,5.345987
560.000014,5.379190,5.447018,5.358179
561.000014,5.393555,5.461822,5.372454
562.000014,5.406606,5.475440,5.385454
563.000014,5.418175,5.487415,5.396886
564.000014,5.427894,5.497516,5.406401
565.000014,5.435448,5.505335,5.413738
566.000014,5.442116,5.512320,5.420340
567.000014,5.447172,5.517766,5.425440
568.000014,5.450965,5.521737,5.429140
569.000014,5.454788,5.525885,5.433007
570.000014,5.459967,5.531159,5.437802
571.000014,5.469031,5.540587,5.446740
572.000014,5.480928,5.552827,5.458455
573.000014,5.494804,5.567110,5.472343
574.000014,5.507865,5.580655,5.485366
575.000014,5.519971,5.593099,5.497204
576.000014,5.529817,5.603469,5.507025
577.000014,5.537309,5.611210,5.514195
578.000014,5.543502,5.617769,5.520361
579.000014,5.548831,5.623272,5.525529
580.000014,5.553099,5.627683,5.529752
581.000014,5.556631,5.631396,5.533097
582.000014,5.560289,5.635336,5.536661
583.000014,5.567852,5.643416,5.544315
584.000014,5.578998,5.654966,5.555325
585.000014,5.592123,5.668593,5.568389
586.000014,5.605464,5.682535,5.581505
587.000014,5.617743,5.695270,5.593612
588.000014,5.628110,5.706036,5.603664
589.000014,5.636897,5.715065,5.612243
590.000014,5.642929,5.721570,5.618290
590.500026,5.647831,5.726714,5.623130
591.000026,5.649594,5.728688,5.624871
591.500026,5.650858,5.729889,5.625997
592.000026,5.652586,5.731749,5.627660
592.500026,5.655397,5.734495,5.630412
593.000026,5.657886,5.737298,5.632935
593.500026,5.660147,5.739751,5.635261
594.000026,5.662758,5.742588,5.637690
594.500026,5.666117,5.746012,5.640996
595.000026,5.670391,5.750348,5.645131
595.500026,5.675027,5.755240,5.649820
596.000026,5.680927,5.761364,5.655623
596.500026,5.687784,5.768575,5.662493
597.000026,5.695107,5.776124,5.669691
597.500026,5.701589,5.782991,5.676103
598.000026,5.707752,5.789320,5.682017
598.500026,5.713627,5.795479,5.687844
599.000026,5.720415,5.802242,5.694309
599.500026,5.725982,5.808197,5.699890
600.000026,5.730706,5.813202,5.704515
600.500026,5.734085,5.817017,5.708052
601.000026,5.737611,5.820690,5.711497
601.500026,5.740952,5.824165,5.714724
602.000026,5.744312,5.827704,5.717912
602.500026,5.747656,5.831283,5.721232
603.000026,5.750554,5.834257,5.724082
603.500026,5.752275,5.835962,5.725740
604.000026,5.753433,5.836815,5.726525
604.500026,5.754669,5.838106,5.727669
605.000026,5.756768,5.840320,5.729682
605.500026,5.758795,5.842694,5.731816
606.000026,5.761099,5.845134,5.734044
606.500026,5.763264,5.847535,5.736243
607.000026,5.765779,5.850344,5.738805
607.500026,5.769302,5.854172,5.742271
608.000026,5.774442,5.859584,5.747262
608.500026,5.781661,5.867054,5.754420
609.000026,5.789531,5.875031,5.762180
609.500026,5.797487,5.883227,5.770043
610.000026,5.804803,5.890900,5.777246
610.500026,5.811818,5.898228,5.784113
611.000026,5.799594,5.885269,5.772063
611.500026,5.786863,5.872058,5.759760
612.000026,5.774407,5.859042,5.747843
612.500026,5.780297,5.865378,5.754026
613.000026,5.785887,5.870930,5.759558
613.500026,5.789724,5.875081,5.763408
614.000026,5.792762,5.878309,5.766426
614.500026,5.795719,5.881336,5.769198
615.000026,5.798859,5.884532,5.772204
615.500026,5.802379,5.888050,5.775507
616.000026,5.805049,5.890639,5.777894
616.500026,5.806919,5.892398,5.779662
617.000026,5.807780,5.893293,5.780631
617.500026,5.808703,5.894494,5.781828
618.000026,5.810084,5.896328,5.783477
618.500026,5.812367,5.898664,5.785650
619.000026,5.814593,5.901012,5.787913
619.500026,5.816107,5.902435,5.789334
620.000026,5.816718,5.903468,5.790358
620.500026,5.817254,5.904353,5.791076
621.000026,5.818747,5.906207,5.792652
621.500026,5.821049,5.908494,5.794749
622.000026,5.823559,5.911190,5.797387
622.500026,5.826556,5.914238,5.800404
623.000026,5.830536,5.918423,5.804430
623.500026,5.836054,5.923989,5.809771
624.000026,5.841998,5.929814,5.815388
624.500026,5.847811,5.935779,5.820986
625.000026,5.853674,5.941901,5.826912
625.500026,5.860140,5.949017,5.833660
626.000026,5.867120,5.956334,5.840677
626.500026,5.874166,5.963614,5.847466
627.000026,5.881142,5.970555,5.853863
627.500026,5.887732,5.977287,5.860066
628.000026,5.893971,5.983892,5.866273
628.500026,5.900288,5.990782,5.872927
629.000026,5.906698,5.997746,5.879382
629.500026,5.912505,6.003993,5.885020
630.000026,5.917090,6.008836,5.889345
630.500026,5.920983,6.012803,5.893061
631.000026,5.925198,6.016872,5.896722
631.500026,5.929760,6.021766,5.901101
632.000026,5.934316,6.026796,5.905611
632.500026,5.937730,6.030750,5.909305
633.000026,5.939851,6.033046,5.911307
633.500026,5.940984,6.034195,5.912373
634.000026,5.942592,6.036015,5.913846
634.500026,5.944574,6.038155,5.915828
635.000026,5.947062,6.040745,5.918174
635.500026,5.949154,6.042953,5.920207
636.000026,5.951184,6.045189,5.922110
636.500026,5.953907,6.048416,5.924871
637.000026,5.957990,6.052580,5.928843
637.500026,5.964030,6.058528,5.934442
638.000026,5.970204,6.064858,5.940459
638.500026,5.976454,6.071681,5.946644
639.000026,5.983104,6.078885,5.953401
639.500026,5.991175,6.087168,5.961198
640.000026,5.999758,6.095959,5.969415
640.500026,6.007580,6.104310,5.977056
641.000026,6.013911,6.111267,5.983163
641.500026,6.019300,6.117027,5.988371
642.000026,6.024082,6.122026,5.992937
642.500026,6.028819,6.126997,5.997493
643.000026,6.033548,6.132100,6.002084
643.500026,6.038208,6.137041,6.006633
644.000026,6.042154,6.141286,6.010446
644.500026,6.045133,6.144440,6.013214
645.000026,6.047730,6.147341,6.015545
645.500026,6.050369,6.150079,6.017986
646.000026,6.052748,6.152717,6.020307
646.500026,6.054378,6.154641,6.021891
647.000026,6.056030,6.156485,6.023453
647.500026,6.058093,6.158617,6.025423
648.000026,6.060817,6.161391,6.028043
648.500026,6.063782,6.164527,6.030970
649.000026,6.066820,6.167690,6.033861
649.500026,6.069671,6.170617,6.036533
650.000026,6.071976,6.173170,6.038748
650.500026,6.074238,6.175710,6.040926
651.000026,6.076522,6.178415,6.043324
651.500026,6.080079,6.182058,6.046683
652.000026,6.084818,6.187076,6.051308
652.500026,6.091729,6.194326,6.058105
653.000026,6.099209,6.202338,6.065455
653.500026,6.107046,6.210666,6.073148
654.000026,6.113721,6.217715,6.079527
654.500026,6.120267,6.224576,6.085785
655.000026,6.126726,6.231511,6.092055
655.500026,6.133601,6.238855,6.098684
656.000026,6.140534,6.246271,6.105338
656.500026,6.147059,6.253322,6.111594
657.000026,6.152807,6.259595,6.117026
657.500026,6.157792,6.265182,6.121827
658.000026,6.162112,6.269985,6.125992
658.500026,6.166273,6.274434,6.129904
659.000026,6.169297,6.277838,6.132767
659.500026,6.171833,6.280475,6.134887
660.000026,6.173793,6.282770,6.136676
660.500026,6.176014,6.285289,6.138756
661.000026,6.178461,6.288177,6.141122
661.500026,6.181034,6.290886,6.143563
662.000026,6.183857,6.293783,6.146232
662.500026,6.186003,6.295979,6.148244
663.000026,6.187878,6.298139,6.149940
663.500026,6.189481,6.299871,6.151319
664.000026,6.191181,6.301851,6.152869
664.500026,6.193608,6.304553,6.155230
665.000026,6.196530,6.307878,6.158058
665.500026,6.200252,6.311824,6.161640
666.000026,6.204374,6.316006,6.165431
