?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.004559,0.004799,0.004502
20.000000,0.071683,0.072333,0.071468
30.000000,0.220431,0.222448,0.221528
40.000000,0.408559,0.412083,0.411628
50.000000,0.554457,0.559671,0.560255
60.000000,0.658107,0.664594,0.665591
70.000000,0.752772,0.760369,0.761773
80.000000,0.871510,0.879964,0.881446
90.000000,1.005217,1.013996,1.015585
100.000000,1.162628,1.171396,1.172872
110.000000,1.325689,1.334457,1.335785
120.000000,1.485722,1.494344,1.495569
130.000000,1.636975,1.645634,1.646737
140.000000,1.768229,1.777330,1.778226
150.000000,1.875207,1.884831,1.885757
160.000000,1.934819,1.944710,1.945777
170.000000,2.012682,2.022902,2.023815
180.000000,2.090141,2.101133,2.101296
190.000000,2.199535,2.211802,2.210796
200.000000,2.288098,2.301347,2.299213
210.000000,2.378395,2.392455,2.389105
220.000000,2.470515,2.485533,2.480744
230.000000,2.559650,2.575792,2.569596
240.000000,2.654198,2.671638,2.663875
250.000000,2.744979,2.763771,2.754200
260.000000,2.837776,2.857890,2.846299
270.000000,2.929794,2.951362,2.937769
280.000000,3.025397,3.048644,3.032814
290.000000,3.119504,3.144546,3.126344
300.000000,3.210144,3.237027,3.216081
310.000000,3.296007,3.324563,3.301125
320.000000,3.392309,3.422809,3.396447
330.000000,3.487499,3.520241,3.490746
340.000000,3.581228,3.616427,3.583475
350.000000,3.667542,3.705199,3.669134
360.000000,3.755401,3.795657,3.756421
370.000000,3.845335,3.888469,3.845601
380.000000,3.934969,3.981078,3.934129
390.000000,4.025027,4.074072,4.023057
400.000000,4.108767,4.160648,4.105852
410.000000,4.195298,4.250384,4.191548
420.000000,4.283756,4.342388,4.278999
430.000000,4.376380,4.438668,4.370536
440.000000,4.466695,4.532587,4.459693
450.000000,4.554134,4.623626,4.546004
460.000000,4.643041,4.716619,4.633816
470.000000,4.706778,4.783323,4.696787
471.000014,4.743926,4.822176,4.733383
472.000014,4.752870,4.831569,4.742205
473.000014,4.761035,4.840164,4.750394
474.000014,4.769541,4.849261,4.759031
475.000014,4.777904,4.857958,4.767320
476.000014,4.786143,4.866725,4.775353
477.000014,4.794688,4.875583,4.783612
478.000014,4.802873,4.884346,4.791858
479.000014,4.811118,4.892925,4.800113
480.000014,4.819191,4.901542,4.808182
481.000014,4.827801,4.910502,4.816550
482.000014,4.836448,4.919561,4.824913
483.000014,4.844448,4.927927,4.832696
484.000014,4.853233,4.937143,4.841396
485.000014,4.863978,4.948545,4.852039
486.000014,4.877044,4.962434,4.865031
487.000014,4.889354,4.975407,4.877202
488.000014,4.901189,4.987646,4.888782
489.000014,4.909987,4.996752,4.897369
490.000014,4.917584,5.004773,4.904617
491.000014,4.924142,5.011914,4.911238
492.000014,4.929738,5.017942,4.916974
493.000014,4.935753,5.024338,4.923079
494.000014,4.942136,5.030939,4.929282
495.000014,4.948743,5.037858,4.935534
496.000014,4.956224,5.045681,4.942932
497.000014,4.966090,5.056115,4.952691
498.000014,4.979398,5.070055,4.965847
499.000014,4.992824,5.084175,4.979078
500.000014,5.003988,5.096125,4.990153
501.000014,5.013707,5.106473,4.999923
502.000014,5.022017,5.115319,5.008198
503.000014,5.029350,5.122871,5.015458
504.000014,5.035949,5.129964,5.021884
505.000014,5.042170,5.136723,5.028055
506.000014,5.049132,5.144112,5.034866
507.000014,5.055473,5.150767,5.041208
508.000014,5.062733,5.158289,5.048346
509.000014,5.071162,5.167415,5.056588
510.000014,5.083089,5.180059,5.068308
511.000014,5.096686,5.194403,5.081657
512.000014,5.109400,5.207808,5.094180
513.000014,5.119281,5.218383,5.103821
514.000014,5.126842,5.226703,5.111296
515.000014,5.133425,5.233663,5.117766
516.000014,5.138509,5.239061,5.122805
517.000014,5.144006,5.244704,5.128126
518.000014,5.151238,5.252644,5.135404
519.000014,5.161504,5.263623,5.145582
520.000014,5.174100,5.277100,5.158115
521.000014,5.186002,5.289599,5.169727
522.000014,5.197436,5.301856,5.181068
523.000014,5.206445,5.311619,5.189860
524.000014,5.214673,5.320549,5.198086
525.000014,5.221465,5.327809,5.204736
526.000014,5.228092,5.334864,5.211200
527.000014,5.233085,5.340254,5.216092
528.000014,5.237128,5.344627,5.219957
529.000014,5.241051,5.348955,5.223830
530.000014,5.245583,5.353828,5.228251
530.500026,5.250244,5.358788,5.232779
531.000026,5.254833,5.363680,5.237457
531.500026,5.260179,5.369464,5.242757
532.000026,5.266951,5.376732,5.249570
532.500026,5.274643,5.384911,5.257194
533.000026,5.282351,5.393004,5.264866
533.500026,5.289730,5.400747,5.272128
534.000026,5.296731,5.408226,5.278847
534.500026,5.304092,5.416184,5.286179
535.000026,5.311422,5.424140,5.293490
535.500026,5.317945,5.431216,5.299922
536.000026,5.322956,5.436736,5.304802
536.500026,5.327403,5.441640,5.308967
537.000026,5.332151,5.446777,5.313569
537.500026,5.337144,5.452105,5.318413
538.000026,5.341636,5.456980,5.322919
538.500026,5.344998,5.460658,5.326367
539.000026,5.347846,5.463739,5.329003
539.500026,5.350607,5.466834,5.331781
540.000026,5.353871,5.470488,5.335021
540.500026,5.357477,5.474434,5.338573
541.000026,5.360496,5.477642,5.341473
541.500026,5.362957,5.480137,5.343691
542.000026,5.364439,5.481885,5.345292
542.500026,5.365726,5.483300,5.346492
543.000026,5.366810,5.484752,5.347799
543.500026,5.368669,5.486686,5.349422
544.000026,5.371397,5.489739,5.352103
544.500026,5.374867,5.493177,5.355212
545.000026,5.378333,5.496990,5.358686
545.500026,5.382455,5.501382,5.362765
546.000026,5.387954,5.507431,5.368480
546.500026,5.394808,5.514679,5.375255
547.000026,5.401938,5.522243,5.382294
547.500026,5.408671,5.529504,5.388767
548.000026,5.414864,5.536287,5.394848
548.500026,5.420699,5.542758,5.400632
549.000026,5.426905,5.549629,5.406805
549.500026,5.433168,5.556482,5.413094
550.000026,5.439533,5.563247,5.419181
550.500026,5.444542,5.568599,5.423893
551.000026,5.448902,5.573355,5.427931
551.500026,5.452691,5.577536,5.431626
552.000026,5.456790,5.582127,5.435719
552.500026,5.460982,5.586792,5.439827
553.000026,5.464661,5.590956,5.443345
553.500026,5.467989,5.594552,5.446636
554.000026,5.470389,5.597238,5.449012
554.500026,5.472433,5.599578,5.451155
555.000026,5.473714,5.601147,5.452349
555.500026,5.475428,5.603040,5.454074
556.000026,5.478490,5.606234,5.456992
556.500026,5.482654,5.610703,5.460926
557.000026,5.487040,5.615471,5.465251
557.500026,5.491367,5.620317,5.469452
558.000026,5.496445,5.625834,5.474409
558.500026,5.502760,5.632652,5.480453
559.000026,5.509718,5.640058,5.487407
559.500026,5.516220,5.647176,5.493874
560.000026,5.522166,5.653720,5.499737
560.500026,5.527907,5.660192,5.505186
561.000026,5.533721,5.666534,5.510728
561.500026,5.539923,5.673300,5.516698
562.000026,5.545459,5.679248,5.522071
562.500026,5.550447,5.684778,5.527062
563.000026,5.553986,5.688742,5.530460
563.500026,5.557520,5.692884,5.534153
564.000026,5.561267,5.697106,5.537727
564.500026,5.565539,5.701839,5.541849
565.000026,5.569166,5.705875,5.545173
565.500026,5.571396,5.708499,5.547288
566.000026,5.572650,5.710253,5.548613
566.500026,5.573903,5.711713,5.549562
567.000026,5.576276,5.714270,5.551689
567.500026,5.579187,5.717349,5.554392
568.000026,5.582144,5.720635,5.557422
568.500026,5.584842,5.723769,5.560254
569.000026,5.588053,5.727446,5.563495
569.500026,5.592453,5.732214,5.567750
570.000026,5.598112,5.738338,5.573194
570.500026,5.604844,5.745410,5.579578
571.000026,5.611791,5.752989,5.586366
571.500026,5.618126,5.759966,5.592593
572.000026,5.623849,5.766454,5.598200
572.500026,5.629530,5.773035,5.603869
573.000026,5.635699,5.780023,5.609960
573.500026,5.642424,5.787431,5.616571
574.000026,5.648181,5.793652,5.621912
574.500026,5.652449,5.798532,5.625860
575.000026,5.655287,5.801964,5.628455
575.500026,5.657981,5.805251,5.630975
576.000026,5.661712,5.809413,5.634483
576.500026,5.666474,5.814621,5.639157
577.000026,5.671204,5.820131,5.644024
577.500026,5.674381,5.823796,5.647165
578.000026,5.675929,5.825820,5.648559
578.500026,5.677085,5.827050,5.649433
579.000026,5.678928,5.829193,5.651064
579.500026,5.680904,5.831414,5.652910
580.000026,5.682732,5.833627,5.654742
580.500026,5.684734,5.835976,5.656843
581.000026,5.687315,5.839016,5.659372
581.500026,5.690439,5.842489,5.662159
582.000026,5.693872,5.846344,5.665184
582.500026,5.698820,5.852002,5.670162
583.000026,5.705449,5.859303,5.676717
583.500026,5.713064,5.867669,5.684330
584.000026,5.720355,5.875600,5.691228
584.500026,5.727008,5.883014,5.697567
585.000026,5.734164,5.891078,5.704397
585.500026,5.741751,5.899663,5.711581
586.000026,5.749071,5.908161,5.718559
586.500026,5.755102,5.915394,5.724378
587.000026,5.760089,5.921437,5.729210
587.500026,5.765073,5.927275,5.733933
588.000026,5.770505,5.933374,5.738837
588.500026,5.775606,5.939186,5.743521
589.000026,5.779994,5.944326,5.747729
589.500026,5.783575,5.948603,5.751041
590.000026,5.786426,5.952077,5.753717
590.500026,5.788773,5.955068,5.755720
591.000026,5.791122,5.958101,5.758000
591.500026,5.794111,5.961577,5.760734
592.000026,5.797494,5.965589,5.764116
592.500026,5.800117,5.968705,5.766581
593.000026,5.802073,5.971244,5.768382
593.500026,5.803128,5.972676,5.769310
594.000026,5.803942,5.973802,5.770190
594.500026,5.805309,5.975356,5.771526
595.000026,5.807483,5.977870,5.773516
595.500026,5.810542,5.981401,5.776333
596.000026,5.813395,5.984998,5.779092
596.500026,5.816237,5.988355,5.781878
597.000026,5.819692,5.992288,5.785135
597.500026,5.825520,5.998642,5.790678
598.000026,5.833765,6.007760,5.798701
598.500026,5.843096,6.018208,5.807721
599.000026,5.852223,6.028630,5.816471
599.500026,5.860500,6.038287,5.824211
600.000026,5.868201,6.047482,5.831392
600.500026,5.875760,6.056722,5.838535
601.000026,5.883339,6.065722,5.845532
601.500026,5.890183,6.074183,5.851895
602.000026,5.895571,6.080776,5.856598
602.500026,5.899716,6.086258,5.860053
603.000026,5.903586,6.091270,5.863313
603.500026,5.907559,6.096428,5.866972
604.000026,5.911883,6.101816,5.870965
604.500026,5.915702,6.106752,5.874522
605.000026,5.918970,6.110916,5.877393
605.500026,5.921943,6.114705,5.880173
606.000026,5.924861,6.118171,5.882763
606.500026,5.927219,6.121373,5.884996
607.000026,5.928707,6.123644,5.886281
607.500026,5.930266,6.125874,5.887647
608.000026,5.931898,6.128011,5.888942
608.500026,5.933757,6.130341,5.890629
609.000026,5.935138,6.132259,5.891994
609.500026,5.936408,6.133875,5.893233
610.000026,5.937470,6.135277,5.894177
610.500026,5.938984,6.137203,5.895479
611.000026,5.940973,6.139888,5.897301
611.500026,5.943377,6.142853,5.899474
