?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
470.000014,4.203256,4.295060,4.190955,4.217414,4.216406,4.225526,4.242670,4.232781,4.291856,4.217440
471.000014,4.213604,4.305941,4.200601,4.227432,4.225560,4.239942,4.254956,4.243657,4.303118,4.220109
472.000014,4.222456,4.315988,4.209901,4.237906,4.236134,4.249831,4.264658,4.253726,4.314157,4.229074
473.000014,4.231216,4.324925,4.218755,4.245390,4.241911,4.252023,4.271377,4.260888,4.322305,4.235126
474.000014,4.237962,4.332401,4.226006,4.253168,4.250120,4.261141,4.278771,4.268686,4.330406,4.251013
475.000014,4.245291,4.339637,4.232336,4.259356,4.257682,4.265601,4.286044,4.275446,4.337265,4.258622
476.000014,4.252778,4.348234,4.240004,4.265529,4.261105,4.269972,4.292656,4.282103,4.343889,4.258807
477.000014,4.259671,4.356403,4.247186,4.277594,4.274888,4.290777,4.305310,4.293912,4.356700,4.269452
478.000014,4.267247,4.364830,4.255067,4.281088,4.280154,4.291697,4.308087,4.297048,4.360731,4.272327
479.000014,4.276345,4.374242,4.263487,4.288492,4.288420,4.299043,4.315822,4.304814,4.368926,4.278157
480.000014,4.286574,4.384855,4.273125,4.303021,4.299513,4.312241,4.330475,4.320013,4.383908,4.296834
481.000014,4.298284,4.397779,4.284961,4.310998,4.308540,4.320829,4.340190,4.328314,4.393485,4.304406
482.000014,4.308608,4.409285,4.295648,4.324694,4.323068,4.334956,4.351951,4.341218,4.407570,4.315535
483.000014,4.319689,4.421916,4.307311,4.335027,4.328705,4.342763,4.363859,4.351738,4.419415,4.332945
484.000014,4.329284,4.432397,4.316631,4.346282,4.345619,4.358184,4.375574,4.363825,4.431198,4.346902
485.000014,4.338922,4.442723,4.325731,4.354079,4.348939,4.362653,4.383922,4.371749,4.439597,4.346481
486.000014,4.347600,4.451641,4.334118,4.363259,4.347816,4.373667,4.393157,4.380561,4.449575,4.354265
487.000014,4.354217,4.459623,4.341627,4.371055,4.367699,4.380184,4.400511,4.388134,4.458180,4.362472
488.000014,4.359723,4.466125,4.347735,4.375143,4.371708,4.387807,4.404513,4.392269,4.462837,4.365085
489.000014,4.364881,4.472160,4.352991,4.380736,4.377526,4.386321,4.410739,4.398230,4.468557,4.379690
490.000014,4.369920,4.477680,4.357753,4.387464,4.382647,4.393413,4.417318,4.405601,4.475433,4.387489
491.000014,4.376742,4.484457,4.363540,4.390506,4.386922,4.400408,4.421674,4.408864,4.479652,4.390713
492.000014,4.384328,4.492893,4.371164,4.399695,4.396384,4.410630,4.430300,4.417967,4.489515,4.392221
493.000014,4.395371,4.504335,4.381566,4.410059,4.399380,4.419491,4.440839,4.427673,4.500620,4.400483
494.000014,4.404523,4.515308,4.391624,4.421533,4.418542,4.430753,4.452866,4.439759,4.512919,4.420583
495.000014,4.414905,4.526790,4.401146,4.429640,4.423784,4.434567,4.460992,4.448492,4.522063,4.430400
496.000014,4.422826,4.536262,4.409508,4.440608,4.437981,4.453852,4.473223,4.459665,4.534077,4.433098
497.000014,4.431604,4.545875,4.418253,4.448333,4.445069,4.459978,4.479858,4.467047,4.542702,4.439651
498.000014,4.438259,4.553109,4.425354,4.455550,4.451569,4.464377,4.486978,4.473908,4.550187,4.446637
