?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.013203,0.011984,0.010723
20.000000,0.035535,0.032493,0.029457
30.000000,0.073453,0.068531,0.063397
40.000000,0.128704,0.122605,0.116106
50.000000,0.210639,0.203470,0.195488
60.000000,0.305465,0.297685,0.288732
70.000000,0.397309,0.389315,0.379434
80.000000,0.487070,0.479042,0.468361
90.000000,0.578106,0.570111,0.558417
100.000000,0.697841,0.689588,0.676929
110.000000,0.832991,0.824171,0.810671
120.000000,0.986031,0.976600,0.962494
130.000000,1.143517,1.133669,1.119395
140.000000,1.309472,1.299707,1.285325
150.000000,1.474476,1.464876,1.450553
160.000000,1.622422,1.612806,1.598195
170.000000,1.756872,1.747161,1.732437
180.000000,1.872256,1.862999,1.847543
190.000000,1.982920,1.974338,1.958273
200.000000,2.086207,2.078507,2.061315
210.000000,2.195169,2.188212,2.170194
220.000000,2.295878,2.289621,2.270535
230.000000,2.394678,2.389408,2.369515
240.000000,2.487956,2.483682,2.462944
250.000000,2.584077,2.581126,2.559576
260.000000,2.681659,2.679860,2.657145
270.000000,2.775964,2.775403,2.751437
280.000000,2.867249,2.867819,2.842466
290.000000,2.952522,2.954230,2.927790
300.000000,3.039902,3.043071,3.015449
310.000000,3.132607,3.137553,3.108313
320.000000,3.225432,3.232124,3.201074
330.000000,3.317008,3.325183,3.292301
340.000000,3.402368,3.411962,3.377641
350.000000,3.489223,3.500613,3.464863
360.000000,3.579077,3.592463,3.554944
370.000000,3.670672,3.686072,3.646573
380.000000,3.758020,3.775199,3.733580
390.000000,3.798410,3.816040,3.773857
400.000000,3.844461,3.863300,3.820340
410.000000,3.888083,3.908155,3.864383
420.000000,3.988366,4.011515,3.965422
430.000000,4.070492,4.095968,4.047880
440.000000,4.164245,4.192426,4.142036
450.000000,4.251392,4.282186,4.229306
460.000000,4.340401,4.373815,4.318348
470.000000,4.427318,4.463547,4.405522
480.000000,4.512515,4.551542,4.490982
490.000000,4.601226,4.643270,4.580005
500.000000,4.691710,4.737062,4.670859
510.000000,4.770440,4.818651,4.749669
520.000000,4.862260,4.914178,4.841905
530.000000,4.947588,5.003125,4.927502
540.000000,5.034507,5.093945,5.015001
550.000000,5.114722,5.177700,5.095716
560.000000,5.197256,5.263921,5.178484
570.000000,5.290293,5.361191,5.271738
580.000000,5.391575,5.467620,5.373500
590.000000,5.464866,5.544658,5.447656
591.000013,5.506512,5.588660,5.490008
592.000013,5.512854,5.595205,5.496387
593.000013,5.519774,5.602365,5.503133
594.000013,5.525110,5.607948,5.508387
595.000013,5.529807,5.613094,5.513331
596.000013,5.533228,5.616826,5.516873
597.000013,5.537135,5.621092,5.520892
598.000013,5.542143,5.626398,5.526020
599.000013,5.550151,5.634953,5.534105
600.000013,5.562451,5.647919,5.546494
601.000013,5.577774,5.664075,5.561920
602.000013,5.593535,5.680642,5.577782
603.000013,5.607320,5.695293,5.591794
604.000013,5.619373,5.708023,5.603868
605.000013,5.628934,5.718246,5.613580
606.000013,5.637526,5.727190,5.622029
607.000013,5.644727,5.734840,5.629184
608.000013,5.651197,5.741716,5.635633
609.000013,5.656338,5.747403,5.640975
610.000013,5.660098,5.751345,5.644765
611.000013,5.663244,5.754656,5.648185
612.000013,5.667386,5.759013,5.652474
613.000013,5.672700,5.764643,5.657896
614.000013,5.678946,5.771332,5.664000
615.000013,5.691380,5.784394,5.676526
616.000013,5.705481,5.799252,5.690513
617.000013,5.722327,5.817080,5.707565
618.000013,5.735390,5.830969,5.720703
619.000013,5.748707,5.845262,5.734377
620.000013,5.758869,5.856139,5.744546
621.000013,5.767576,5.865285,5.753234
622.000013,5.774660,5.872902,5.760485
623.000013,5.782006,5.880547,5.767984
624.000013,5.787459,5.886512,5.773536
625.000013,5.792061,5.891220,5.777991
626.000013,5.794981,5.894333,5.780704
627.000013,5.798264,5.897820,5.783872
628.000013,5.802411,5.902222,5.787935
629.000013,5.809723,5.909922,5.795365
630.000013,5.819688,5.920493,5.805529
631.000013,5.832361,5.934138,5.818383
632.000013,5.846362,5.949198,5.832606
633.000013,5.860637,5.964335,5.846904
634.000013,5.874128,5.978608,5.860456
635.000013,5.885434,5.990713,5.871786
636.000013,5.894732,6.000684,5.881068
637.000013,5.902105,6.008634,5.888648
638.000013,5.908076,6.015058,5.894916
639.000013,5.913621,6.021091,5.900562
640.000013,5.919078,6.026664,5.905776
641.000013,5.922651,6.030519,5.909136
642.000013,5.925944,6.033908,5.912210
643.000013,5.929533,6.037882,5.915927
644.000013,5.935844,6.044604,5.922390
645.000013,5.945657,6.055105,5.932412
646.000013,5.957280,6.067508,5.943943
647.000013,5.971071,6.082183,5.957824
648.000013,5.983359,6.095435,5.970359
649.000013,5.995241,6.108121,5.982390
650.000013,6.005244,6.118853,5.992291
651.000013,6.014414,6.128443,6.001292
652.000013,6.020759,6.135425,6.007957
653.000013,6.026100,6.141288,6.013469
654.000013,6.030863,6.146682,6.018359
655.000013,6.036136,6.152416,6.023555
656.000013,6.044267,6.160916,6.031461
657.000013,6.055238,6.172668,6.042696
658.000013,6.068370,6.186718,6.055795
659.000013,6.081355,6.200764,6.068975
660.000013,6.093446,6.213754,6.080981
661.000013,6.103930,6.225314,6.091904
662.000013,6.113215,6.235409,6.101405
663.000013,6.120154,6.242945,6.108368
664.000013,6.126413,6.249422,6.114373
665.000013,6.131318,6.254922,6.119315
666.000013,6.135978,6.260260,6.124110
