?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.000704,0.000750,0.000725
20.000000,0.028193,0.028216,0.027445
30.000000,0.138754,0.137569,0.135275
40.000000,0.314454,0.312692,0.309216
50.000000,0.486402,0.484481,0.480371
60.000000,0.615482,0.615035,0.610679
70.000000,0.721851,0.721929,0.716442
80.000000,0.849225,0.849275,0.842702
90.000000,0.997554,0.997397,0.989820
100.000000,1.160781,1.160348,1.152534
110.000000,1.333860,1.333392,1.325545
120.000000,1.498218,1.497609,1.489895
130.000000,1.651803,1.650959,1.643352
140.000000,1.805814,1.805562,1.798337
150.000000,1.937987,1.938279,1.930596
160.000000,2.050817,2.052580,2.043601
170.000000,2.139877,2.142707,2.131544
180.000000,2.232253,2.236973,2.223742
190.000000,2.330655,2.337175,2.321741
200.000000,2.429019,2.437994,2.420114
210.000000,2.524403,2.535857,2.515454
220.000000,2.613598,2.628016,2.605148
230.000000,2.702321,2.719769,2.694149
240.000000,2.792547,2.813393,2.784734
250.000000,2.885308,2.910143,2.877908
260.000000,2.977900,3.006851,2.970542
270.000000,3.065017,3.098190,3.057861
280.000000,3.150342,3.187816,3.143180
290.000000,3.235603,3.277325,3.228442
300.000000,3.323373,3.369805,3.315946
310.000000,3.412873,3.464297,3.405066
320.000000,3.502704,3.560002,3.494874
330.000000,3.591857,3.655199,3.584041
340.000000,3.675294,3.744307,3.667454
350.000000,3.757099,3.831980,3.749238
360.000000,3.842507,3.924280,3.834882
370.000000,3.930885,4.020861,3.923860
380.000000,4.019836,4.118628,4.013144
390.000000,4.105318,4.213739,4.099320
400.000000,4.190895,4.309912,4.185866
410.000000,4.251113,4.378141,4.246962
411.000014,4.286063,4.417769,4.282484
412.000014,4.295573,4.428901,4.292356
413.000014,4.304358,4.439235,4.301612
414.000014,4.310776,4.446926,4.308235
415.000014,4.316405,4.453249,4.313740
416.000014,4.321304,4.458853,4.318630
417.000014,4.325961,4.464417,4.323456
418.000014,4.331342,4.470924,4.329089
419.000014,4.339059,4.480059,4.337184
420.000014,4.349297,4.492041,4.347849
421.000014,4.359534,4.503914,4.358271
422.000014,4.367579,4.513268,4.366396
423.000014,4.373981,4.520780,4.372841
424.000014,4.380976,4.528980,4.380283
