?? [s],A.dY [mm],B.dY [mm],C.dY [mm]
807.000026,6.947201,7.196917,7.010127
807.500026,6.950177,7.201124,7.013692
808.000026,6.954981,7.207072,7.018997
808.500026,6.960174,7.213783,7.024978
809.000026,6.965559,7.220711,7.030978
809.500026,6.970672,7.227845,7.036899
810.000026,6.975792,7.235187,7.042823
810.500026,6.980657,7.242667,7.048889
811.000026,6.985394,7.249996,7.054929
811.500026,6.989746,7.256840,7.060623
812.000026,6.993557,7.263032,7.065513
812.500026,6.996815,7.268598,7.069825
813.000026,6.999707,7.273589,7.073555
813.500026,7.002741,7.278405,7.077373
814.000026,7.005487,7.282608,7.080563
814.500026,7.008079,7.286586,7.083627
815.000026,7.010283,7.290163,7.086478
815.500026,7.012739,7.294047,7.089572
816.000026,7.014885,7.297563,7.092407
816.500026,7.016075,7.300025,7.094171
817.000026,7.016597,7.301668,7.095299
817.500026,7.017130,7.303067,7.096180
818.000026,7.017835,7.304634,7.097159
818.500026,7.018182,7.305776,7.097805
819.000026,7.018993,7.307469,7.099058
819.500026,7.020457,7.309830,7.100985
820.000026,7.022729,7.313181,7.103754
820.500026,7.025391,7.316900,7.106920
821.000026,7.027243,7.319781,7.109230
821.500026,7.029417,7.323075,7.111893
822.000026,7.032880,7.327907,7.116002
822.500026,7.039009,7.335751,7.122869
823.000026,7.045827,7.344652,7.130549
823.500026,7.050633,7.351978,7.136426
824.000026,7.054375,7.358743,7.141564
824.500026,7.058418,7.366259,7.147369
825.000026,7.064052,7.376149,7.155122
825.500026,7.070365,7.387228,7.163678
826.000026,7.076121,7.397930,7.171735
826.500026,7.081149,7.407519,7.178756
827.000026,7.085513,7.416149,7.184968
827.500026,7.089718,7.424378,7.190739
828.000026,7.093856,7.432510,7.196429
828.500026,7.097850,7.440135,7.201814
829.000026,7.101797,7.447663,7.207253
829.500026,7.105027,7.454062,7.211717
830.000026,7.107639,7.459970,7.215747
830.500026,7.109732,7.464953,7.219032
831.000026,7.111612,7.469614,7.222108
831.500026,7.112886,7.473235,7.224302
832.000026,7.114825,7.477502,7.227210
832.500026,7.117482,7.482371,7.230887
833.000026,7.119831,7.486819,7.234144
833.500026,7.120202,7.489079,7.235285
834.000026,7.119216,7.489848,7.234962
834.500026,7.119753,7.491975,7.236149
835.000026,7.121756,7.495409,7.238739
835.500026,7.124251,7.499174,7.241681
836.000026,7.125217,7.501397,7.243260
836.500026,7.125338,7.502709,7.243905
837.000026,7.125552,7.504050,7.244606
837.500026,7.126006,7.505686,7.245492
838.000026,7.127269,7.508105,7.247210
838.500026,7.129434,7.511598,7.249811
839.000026,7.132414,7.515968,7.253209
839.500026,7.135627,7.520943,7.256984
840.000026,7.138601,7.526233,7.261121
840.500026,7.141380,7.532087,7.265463
841.000026,7.143729,7.538584,7.270156
841.500026,7.146195,7.546725,7.275757
842.000026,7.148501,7.556537,7.282258
842.500026,7.150797,7.567515,7.289021
843.000026,7.152464,7.578464,7.295236
843.500026,7.154089,7.589239,7.300940
844.000026,7.155370,7.599618,7.306366
844.500026,7.156228,7.609239,7.311125
845.000026,7.156054,7.617574,7.314747
845.500026,7.154987,7.625014,7.317548
846.000026,7.153731,7.631941,7.319941
846.500026,7.152885,7.638923,7.322703
847.000026,7.152387,7.645692,7.325392
847.500026,7.151913,7.652338,7.328224
848.000026,7.150830,7.658739,7.330694
848.500026,7.148438,7.664573,7.332509
849.000026,7.144993,7.670567,7.334118
849.500026,7.140075,7.677092,7.335832
850.000026,7.134237,7.684638,7.338082
850.500026,7.126517,7.691856,7.339485
851.000026,7.116566,7.699093,7.340154
851.500026,7.097915,7.710698,7.341157
852.000026,5.309573,9.315643,5.507708
852.500026,3.552224,10.981873,3.698796
853.000026,1.801012,12.673779,1.883932
853.500026,1.820556,12.802520,1.901909
854.000026,1.809402,12.894570,1.890423
854.500026,1.804650,12.978811,1.885752
855.000026,1.803785,13.044260,1.884436
855.500026,1.807771,13.093302,1.888538
856.000026,1.810566,13.126181,1.891196
856.500026,1.810457,13.153143,1.890925
857.000026,1.807989,13.176036,1.888533
857.500026,1.805598,13.198590,1.886114
858.000026,1.804148,13.209502,1.884739
858.500026,,,
