?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
581.000014,5.498307,5.553425,5.470672
582.000014,5.508496,5.563780,5.480705
583.000014,5.517727,5.573447,5.490149
584.000014,5.524806,5.581027,5.497418
585.000014,5.530234,5.586770,5.502756
586.000014,5.534426,5.591124,5.506762
587.000014,5.538721,5.595410,5.510953
588.000014,5.543718,5.600465,5.515849
589.000014,5.550125,5.607224,5.522435
590.000014,5.557369,5.614947,5.529829
590.500026,5.566192,5.624193,5.538800
591.000026,5.573520,5.631658,5.545907
591.500026,5.580306,5.638696,5.552573
592.000026,5.587413,5.645968,5.559555
592.500026,5.594975,5.653825,5.567140
593.000026,5.602223,5.661368,5.574442
593.500026,5.607428,5.667290,5.579919
594.000026,5.611576,5.671859,5.584105
594.500026,5.615290,5.675794,5.587769
595.000026,5.620490,5.680860,5.592716
595.500026,5.625984,5.686375,5.598263
596.000026,5.631259,5.691584,5.603434
596.500026,5.634410,5.695048,5.606674
597.000026,5.635659,5.696598,5.607910
597.500026,5.636461,5.697812,5.608821
598.000026,5.638760,5.700131,5.611245
598.500026,5.642459,5.703757,5.614771
599.000026,5.646026,5.707342,5.618375
599.500026,5.648264,5.709760,5.620397
600.000026,5.649007,5.710753,5.621380
600.500026,5.650399,5.712240,5.622663
601.000026,5.654470,5.716309,5.626727
601.500026,5.660501,5.722559,5.632787
602.000026,5.666390,5.728789,5.638794
602.500026,5.671062,5.733869,5.643599
603.000026,5.676207,5.739169,5.648598
603.500026,5.682435,5.745607,5.654815
604.000026,5.689209,5.752560,5.661433
604.500026,5.695865,5.759377,5.668011
605.000026,5.701414,5.765099,5.673366
605.500026,5.706133,5.769930,5.678055
606.000026,5.710100,5.774137,5.682067
606.500026,5.714485,5.778541,5.686505
607.000026,5.718227,5.782654,5.690411
607.500026,5.721909,5.786558,5.694228
608.000026,5.724599,5.789708,5.697113
608.500026,5.727386,5.792584,5.699903
609.000026,5.730294,5.795468,5.702560
609.500026,5.733865,5.799122,5.705965
610.000026,5.737699,5.803061,5.709721
610.500026,5.741534,5.807236,5.713746
611.000026,5.745259,5.811067,5.717505
611.500026,5.748057,5.814095,5.720277
612.000026,5.750864,5.817114,5.723096
612.500026,5.754129,5.820627,5.726436
613.000026,5.759498,5.826169,5.731889
613.500026,5.765721,5.832592,5.738068
614.000026,5.772031,5.839041,5.744295
614.500026,5.778280,5.845633,5.750504
615.000026,5.784374,5.852037,5.756529
615.500026,5.790150,5.858315,5.762367
616.000026,5.794758,5.863181,5.767083
616.500026,5.798821,5.867393,5.771223
617.000026,5.802974,5.871691,5.775329
617.500026,5.807624,5.876393,5.779851
618.000026,5.811472,5.880413,5.783734
618.500026,5.814527,5.883392,5.786744
619.000026,5.816464,5.885486,5.788651
619.500026,5.818494,5.887588,5.790523
620.000026,5.820678,5.889988,5.792650
620.500026,5.823014,5.892433,5.795017
621.000026,5.825136,5.894757,5.797267
621.500026,5.827424,5.897303,5.799633
622.000026,5.830668,5.900786,5.802877
622.500026,5.835467,5.905950,5.807806
623.000026,5.841880,5.912565,5.814236
623.500026,5.848832,5.919779,5.821150
624.000026,5.855663,5.926894,5.827727
624.500026,5.862366,5.934056,5.834436
625.000026,5.869110,5.941191,5.841198
625.500026,5.875501,5.947905,5.847750
626.000026,5.881504,5.954058,5.853693
626.500026,5.886724,5.959598,5.859065
627.000026,5.892346,5.965363,5.864575
627.500026,5.897313,5.970636,5.869595
628.000026,5.902160,5.975684,5.874268
628.500026,5.906017,5.979853,5.878215
629.000026,5.909472,5.983590,5.881766
629.500026,5.912094,5.986479,5.884501
630.000026,5.914528,5.989040,5.886915
630.500026,5.917182,5.991793,5.889504
631.000026,5.920168,5.994815,5.892481
631.500026,5.922494,5.997275,5.894844
632.000026,5.924411,5.999324,5.896778
632.500026,5.926232,6.001293,5.898658
633.000026,5.929109,6.004327,5.901537
633.500026,5.932364,6.007683,5.904760
634.000026,5.935083,6.010487,5.907394
634.500026,5.936692,6.012265,5.909019
635.000026,5.938310,6.014081,5.910602
635.500026,5.941510,6.017557,5.913846
636.000026,5.946452,6.022778,5.918768
636.500026,5.951953,6.028619,5.924384
637.000026,5.956637,6.033535,5.929135
637.500026,5.961287,6.038507,5.933960
638.000026,5.966904,6.044298,5.939573
638.500026,5.974040,6.051811,5.946667
639.000026,5.981481,6.059561,5.953856
639.500026,5.987980,6.066523,5.960343
640.000026,5.993842,6.072815,5.966187
640.500026,5.999909,6.079226,5.972496
641.000026,6.006727,6.086368,5.979362
641.500026,6.012921,6.092813,5.985686
642.000026,5.997175,6.075867,5.969717
642.500026,5.979914,6.057329,5.952305
643.000026,5.962120,6.038277,5.934358
643.500026,5.964903,6.041244,5.937224
644.000026,5.968047,6.044657,5.940589
644.500026,5.971353,6.048253,5.944109
645.000026,5.973897,6.051006,5.946817
645.500026,5.975553,6.052721,5.948379
646.000026,5.976629,6.053786,5.949352
646.500026,5.977699,6.054859,5.950212
647.000026,5.978526,6.055751,5.951104
647.500026,5.979177,6.056469,5.951821
648.000026,5.979472,6.056725,5.952272
648.500026,5.979515,6.056870,5.952489
649.000026,5.979345,6.056712,5.952345
649.500026,5.979229,6.056775,5.952272
650.000026,5.979531,6.057017,5.952386
650.500026,5.980804,6.058193,5.953431
651.000026,5.983167,6.060709,5.955839
651.500026,5.985888,6.063684,5.958592
652.000026,5.988566,6.066502,5.961258
652.500026,5.990964,6.068937,5.963615
653.000026,5.993402,6.071475,5.966086
653.500026,5.996352,6.074906,5.969270
654.000026,6.000425,6.079409,5.973530
654.500026,6.006904,6.086183,5.980133
655.000026,6.014716,6.094419,5.988042
655.500026,6.023513,6.103546,5.996865
656.000026,6.032281,6.112840,6.005740
656.500026,6.042024,6.122839,6.015655
657.000026,6.052436,6.133560,6.025953
657.500026,6.063275,6.144914,6.036868
658.000026,6.073989,6.156437,6.047675
658.500026,6.084174,6.167274,6.058161
