?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
689.000014,6.337888,6.511784,6.296623
690.000014,6.346151,6.521944,6.304297
691.000014,6.353304,6.531147,6.311097
692.000014,6.358273,6.537931,6.315704
693.000014,6.363613,6.544976,6.320622
694.000014,6.369342,6.552233,6.325858
695.000014,6.374906,6.559087,6.330957
696.000014,6.381054,6.566922,6.336790
697.000014,6.389860,6.577754,6.345224
698.000014,6.401666,6.591997,6.356726
699.000014,6.413685,6.606606,6.368302
700.000014,6.423671,6.619132,6.377731
701.000014,6.431549,6.629646,6.384869
702.000014,6.437847,6.637963,6.390216
703.000014,6.442818,6.645058,6.394614
704.000014,6.447413,6.651370,6.398745
705.000014,6.451588,6.657506,6.402739
706.000014,6.457669,6.665378,6.408363
707.000014,6.467489,6.677675,6.417777
708.000014,6.480191,6.693427,6.430014
709.000014,6.494042,6.710628,6.443370
710.000014,6.505299,6.725613,6.454057
711.000014,6.514366,6.738587,6.462563
712.000014,6.522169,6.750197,6.469635
713.000014,6.527922,6.758952,6.474283
714.000014,6.532991,6.766395,6.478501
715.000014,6.536053,6.771603,6.480943
716.000014,6.539216,6.776715,6.483850
717.000014,6.542819,6.782110,6.487097
718.000014,6.547944,6.789077,6.491943
719.000014,6.554717,6.798239,6.498562
720.000014,6.565471,6.812068,6.508896
721.000014,6.577725,6.827753,6.520582
722.000014,6.590576,6.844416,6.532775
723.000014,6.600120,6.858091,6.541728
724.000014,6.608238,6.870366,6.549187
725.000014,6.614415,6.880529,6.554424
726.000014,6.619889,6.889248,6.558927
727.000014,6.623074,6.895429,6.561145
728.000014,6.626006,6.900997,6.563663
729.000014,6.629441,6.906984,6.566677
730.000014,6.633956,6.914239,6.571072
731.000014,6.641964,6.924831,6.578184
732.000014,6.652638,6.939192,6.588192
733.000014,6.664939,6.955749,6.599577
734.000014,6.677325,6.973542,6.611263
735.000014,6.685873,6.987289,6.618880
736.000014,6.694195,7.000593,6.625956
737.000014,6.699893,7.010614,6.630528
738.000014,6.705285,7.019925,6.634694
739.000014,6.709398,7.027276,6.637655
740.000014,6.711637,7.032572,6.638801
741.000014,6.715644,7.039122,6.641648
742.000014,6.720484,7.046933,6.645536
743.000014,6.728029,7.058043,6.651837
744.000014,6.738031,7.072238,6.660484
745.000014,6.749840,7.089226,6.670647
746.000014,6.761249,7.106060,6.680090
747.000014,6.770565,7.121185,6.686999
748.000014,6.777790,7.133826,6.691486
749.000014,6.783383,7.144787,6.694323
750.000014,6.788001,7.154366,6.696182
751.000014,6.791507,7.162601,6.697177
752.000014,6.794581,7.169430,6.697705
753.000014,6.797076,7.175602,6.697639
754.000014,6.801376,7.183341,6.698404
755.000014,6.808862,7.195721,6.701561
756.000014,6.818100,7.211331,6.703780
757.000014,6.829176,7.232093,6.701081
758.000014,5.260306,8.274875,5.102925
759.000014,3.697846,9.322639,3.515519
760.000014,2.127668,10.362363,1.928859
761.000014,2.125647,10.377056,1.928046
762.000014,2.113697,10.386142,1.916628
763.000014,2.105217,10.391606,1.908588
