?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.069749,0.069278,0.068612
20.000000,0.177797,0.176872,0.175162
30.000000,0.312410,0.311335,0.309123
40.000000,0.414334,0.413491,0.411290
50.000000,0.516692,0.516226,0.513755
60.000000,0.616162,0.615654,0.612755
70.000000,0.724890,0.724635,0.721142
80.000000,0.848723,0.848679,0.845313
90.000000,0.992117,0.992164,0.988524
100.000000,1.155325,1.155193,1.151568
110.000000,1.309278,1.308726,1.304736
120.000000,1.482706,1.481766,1.477626
130.000000,1.630170,1.628590,1.623973
140.000000,1.775343,1.773286,1.768052
150.000000,1.902576,1.900111,1.894627
160.000000,2.021330,2.019081,2.013183
170.000000,2.135204,2.133345,2.127086
180.000000,2.231826,2.230725,2.223784
190.000000,2.328770,2.328346,2.320837
200.000000,2.426059,2.426342,2.418170
210.000000,2.520691,2.521937,2.512806
220.000000,2.618470,2.620909,2.610897
230.000000,2.715105,2.718940,2.707928
240.000000,2.811647,2.816844,2.804839
250.000000,2.909091,2.915545,2.902257
260.000000,3.005805,3.013759,2.999161
270.000000,3.099939,3.109643,3.093364
280.000000,3.196296,3.208016,3.190150
290.000000,3.292674,3.306671,3.286842
300.000000,3.386660,3.402859,3.381227
310.000000,3.479960,3.498649,3.474919
320.000000,3.571384,3.592670,3.566543
330.000000,3.663278,3.687280,3.658734
340.000000,3.753205,3.779956,3.748715
350.000000,3.844918,3.874816,3.840853
360.000000,3.932867,3.965811,3.929053
370.000000,4.018010,4.054360,4.014616
380.000000,4.103712,4.143145,4.100431
390.000000,4.197295,4.240577,4.194165
400.000000,4.287502,4.334349,4.284373
410.000000,4.374889,4.425733,4.372159
420.000000,4.458739,4.513506,4.456374
430.000000,4.547639,4.606921,4.545602
440.000000,4.636911,4.700471,4.634846
450.000000,4.721406,4.789355,4.719699
460.000000,4.807761,4.880458,4.806381
470.000000,4.866525,4.942903,4.865536
471.000014,4.903232,4.982125,4.902530
472.000014,4.911652,4.991129,4.911225
473.000014,4.922073,5.002098,4.921605
474.000014,4.933211,5.013739,4.932732
475.000014,4.944544,5.025824,4.944103
476.000014,4.954703,5.036673,4.954368
477.000014,4.963541,5.046011,4.963128
478.000014,4.971018,5.053901,4.970504
479.000014,4.977298,5.060677,4.977035
480.000014,4.984233,5.068200,4.984174
481.000014,4.990175,5.074684,4.990153
482.000014,4.997413,5.082401,4.997257
483.000014,5.006335,5.091662,5.005807
484.000014,5.016572,5.102597,5.016183
485.000014,5.028427,5.115156,5.028163
486.000014,5.039398,5.127014,5.039479
487.000014,5.049326,5.137525,5.049192
488.000014,5.057618,5.146581,5.057642
489.000014,5.066113,5.155856,5.066298
490.000014,5.074477,5.164952,5.074942
491.000014,5.083033,5.174040,5.083430
492.000014,5.091229,5.182687,5.091574
493.000014,5.099503,5.191611,5.100053
494.000014,5.107874,5.200614,5.108475
495.000014,5.116146,5.209641,5.116930
496.000014,5.125261,5.219323,5.125821
497.000014,5.134001,5.228655,5.134558
498.000014,5.141842,5.237078,5.142544
499.000014,5.147865,5.243681,5.148922
