?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.024753,0.025032,0.024852
20.000000,0.127642,0.129599,0.130166
30.000000,0.269224,0.272783,0.274268
40.000000,0.423334,0.428296,0.430759
50.000000,0.527509,0.532368,0.534870
60.000000,0.627458,0.632519,0.634683
70.000000,0.743703,0.748621,0.750302
80.000000,0.882432,0.887473,0.888675
90.000000,1.042956,1.047701,1.048822
100.000000,1.208028,1.212743,1.213876
110.000000,1.374436,1.379081,1.380245
120.000000,1.539360,1.544027,1.544835
130.000000,1.686364,1.691249,1.692287
140.000000,1.822250,1.826975,1.827780
150.000000,1.935910,1.940876,1.941348
160.000000,2.045492,2.050583,2.050041
170.000000,2.140637,2.146242,2.145033
180.000000,2.236908,2.243168,2.241268
190.000000,2.333716,2.340696,2.337962
200.000000,2.427447,2.435156,2.431480
210.000000,2.521322,2.529887,2.525283
220.000000,2.609693,2.619258,2.613737
230.000000,2.702529,2.713433,2.706853
240.000000,2.786799,2.798873,2.791162
250.000000,2.871036,2.884551,2.875535
260.000000,2.957416,2.972534,2.962008
270.000000,3.045294,3.062189,3.050047
280.000000,3.130930,3.149535,3.135771
290.000000,3.213623,3.233910,3.218516
300.000000,3.303734,3.325762,3.308414
310.000000,3.390781,3.414590,3.395422
320.000000,3.476748,3.502371,3.481220
330.000000,3.562302,3.590084,3.566664
340.000000,3.648385,3.678391,3.652527
350.000000,3.735235,3.767533,3.739227
360.000000,3.820349,3.854804,3.824181
370.000000,3.909148,3.946316,3.913075
380.000000,3.997441,4.037442,4.001537
390.000000,4.037494,4.077944,4.041531
400.000000,4.071712,4.112728,4.075203
410.000000,4.115289,4.157251,4.118195
420.000000,4.205049,4.250627,4.207842
430.000000,4.300090,4.349341,4.303203
440.000000,4.385989,4.438675,4.389336
450.000000,4.471588,4.527748,4.474977
460.000000,4.559064,4.618569,4.562374
470.000000,4.623446,4.685502,4.626911
471.000014,4.659370,4.722873,4.662982
472.000014,4.666171,4.729890,4.669710
473.000014,4.671233,4.735257,4.674684
474.000014,4.675236,4.739460,4.678595
475.000014,4.678810,4.743195,4.682108
476.000014,4.683857,4.748251,4.687082
477.000014,4.692304,4.756972,4.695531
478.000014,4.702923,4.768177,4.706285
479.000014,4.714595,4.780412,4.717964
480.000014,4.725238,4.791587,4.728708
481.000014,4.735576,4.802385,4.739148
482.000014,4.746410,4.813651,4.749975
483.000014,4.756880,4.824509,4.760209
484.000014,4.765866,4.833841,4.769059
485.000014,4.773560,4.841868,4.776886
486.000014,4.779488,4.848270,4.783113
487.000014,4.785629,4.854819,4.789407
488.000014,4.791270,4.860843,4.794951
489.000014,4.797938,4.867531,4.801306
490.000014,4.805457,4.875280,4.808795
491.000014,4.813563,4.883779,4.817030
492.000014,4.824267,4.895129,4.827815
493.000014,4.835407,4.906673,4.838811
494.000014,4.845900,4.917727,4.849280
495.000014,4.854436,4.926791,4.858096
496.000014,4.862039,4.935033,4.865881
497.000014,4.869954,4.943380,4.873750
498.000014,4.877838,4.951610,4.881507
499.000014,4.886264,4.960232,4.889892
500.000014,4.894429,4.968668,4.898141
501.000014,4.902384,4.977096,4.906171
502.000014,4.910141,4.985346,4.913953
503.000014,4.918227,4.993827,4.921917
504.000014,4.926433,5.002309,4.930017
505.000014,4.934361,5.010673,4.937980
506.000014,4.943468,5.020323,4.947172
507.000014,4.952896,5.030364,4.956701
508.000014,4.962613,5.040602,4.966438
509.000014,4.972301,5.050687,4.976173
510.000014,4.982101,5.060979,4.986111
511.000014,4.992081,5.071288,4.995971
512.000014,5.001590,5.081183,5.005354
513.000014,5.011009,5.090943,5.014702
514.000014,5.020623,5.100836,5.024466
515.000014,5.027937,5.108876,5.032001
516.000014,5.033204,5.114475,5.037111
517.000014,5.037710,5.119433,5.041391
518.000014,5.043818,5.125366,5.047089
519.000014,5.052297,5.134328,5.055685
520.000014,5.062584,5.145128,5.066098
521.000014,5.074152,5.157520,5.077849
522.000014,5.085709,5.169469,5.089293
523.000014,5.096607,5.181141,5.100243
524.000014,5.105211,5.190305,5.108911
525.000014,5.112312,5.197868,5.115901
526.000014,5.119092,5.204812,5.122533
527.000014,5.125815,5.211611,5.129021
528.000014,5.133365,5.219545,5.136674
529.000014,5.140195,5.226731,5.143563
530.000014,5.147986,5.235049,5.151426
531.000014,5.157711,5.245257,5.161024
532.000014,5.169156,5.257311,5.172443
533.000014,5.180886,5.269772,5.184257
534.000014,5.190531,5.280018,5.193899
535.000014,5.198489,5.288300,5.201609
536.000014,5.205692,5.295637,5.208586
537.000014,5.211613,5.301754,5.214467
538.000014,5.215812,5.306267,5.218669
539.000014,5.220930,5.311959,5.223935
540.000014,5.228632,5.320284,5.231704
541.000014,5.239892,5.332362,5.243056
542.000014,5.253031,5.346334,5.256308
543.000014,5.266565,5.360631,5.269790
544.000014,5.278474,5.373344,5.281813
545.000014,5.288920,5.384265,5.291991
546.000014,5.297431,5.393232,5.300444
547.000014,5.305096,5.401306,5.308093
548.000014,5.310752,5.407467,5.313960
549.000014,5.315477,5.412542,5.318700
550.000014,5.320230,5.417488,5.323222
551.000014,5.324977,5.422403,5.327776
552.000014,5.331780,5.429709,5.334635
553.000014,5.340570,5.439222,5.343691
554.000014,5.351010,5.450471,5.354222
555.000014,5.362119,5.462263,5.365265
556.000014,5.372625,5.473171,5.375514
557.000014,5.382757,5.484026,5.385639
558.000014,5.392359,5.494416,5.395275
559.000014,5.401923,5.504796,5.404795
560.000014,5.410363,5.513713,5.413106
561.000014,5.417000,5.520818,5.419700
562.000014,5.422273,5.526648,5.425214
563.000014,5.428424,5.533378,5.431541
564.000014,5.436350,5.541925,5.439521
565.000014,5.446223,5.552525,5.449298
566.000014,5.458499,5.565690,5.461540
567.000014,5.470698,5.578737,5.473692
568.000014,5.481926,5.590718,5.484756
569.000014,5.491153,5.600495,5.493762
570.000014,5.499073,5.609025,5.501684
571.000014,5.505933,5.616457,5.508755
572.000014,5.511134,5.622185,5.514055
573.000014,5.515009,5.626601,5.518012
574.000014,5.518864,5.630821,5.521734
575.000014,5.523990,5.636372,5.526754
576.000014,5.532256,5.645018,5.534731
577.000014,5.543522,5.657138,5.546017
