?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
581.000014,5.605510,5.769418,5.614596
582.000014,5.611811,5.778013,5.619273
583.000014,5.622765,5.791952,5.627315
584.000014,5.635685,5.808271,5.637015
585.000014,5.649776,5.825747,5.649259
586.000014,5.661293,5.839724,5.659188
587.000014,5.670525,5.851056,5.666752
588.000014,5.678047,5.860020,5.673170
589.000014,5.684414,5.867818,5.678897
590.000014,5.689387,5.873930,5.683623
590.500026,5.692210,5.877411,5.686023
591.000026,5.693186,5.879010,5.686696
591.500026,5.694443,5.880579,5.687658
592.000026,5.696601,5.883103,5.689577
592.500026,5.698702,5.885156,5.691260
593.000026,5.700054,5.886813,5.692292
593.500026,5.701371,5.888463,5.693272
594.000026,5.703687,5.891414,5.695305
594.500026,5.707431,5.895650,5.698987
595.000026,5.712008,5.900969,5.703021
595.500026,5.716545,5.906213,5.707225
596.000026,5.720903,5.911477,5.711000
596.500026,5.725540,5.917286,5.715481
597.000026,5.730801,5.923782,5.720183
597.500026,5.736970,5.931409,5.725598
598.000026,5.744178,5.939860,5.731472
598.500026,5.751114,5.948443,5.736868
599.000026,5.758253,5.957521,5.739701
599.500026,5.763790,5.965927,5.739427
600.000026,5.768643,5.974144,5.738641
600.500026,5.772933,5.981341,5.739636
601.000026,5.777627,5.988024,5.742614
601.500026,5.781858,5.993776,5.745380
602.000026,5.784773,5.998041,5.747017
602.500026,5.786720,6.001213,5.748038
603.000026,5.789135,6.004555,5.749491
603.500026,5.791715,6.008063,5.751339
604.000026,5.794478,6.011626,5.753210
604.500026,5.796388,6.014358,5.754499
605.000026,5.798553,6.017333,5.755971
605.500026,5.800512,6.020137,5.757320
606.000026,5.803043,6.023594,5.759432
606.500026,5.806794,6.028420,5.762611
607.000026,5.811654,6.034607,5.766857
607.500026,5.817035,6.041173,5.770870
608.000026,5.821300,6.046889,5.774064
608.500026,5.825945,6.053090,5.777239
609.000026,5.831049,6.060043,5.780670
609.500026,5.836410,6.067266,5.784380
610.000026,5.841075,6.073954,5.787321
610.500026,5.845606,6.080741,5.790571
611.000026,5.849830,6.087145,5.793122
611.500026,5.853518,6.093120,5.795198
612.000026,5.856605,6.098342,5.796697
612.500026,5.859877,6.103435,5.798683
613.000026,5.863596,6.108527,5.801234
613.500026,5.867057,6.113353,5.803624
614.000026,5.869372,6.117142,5.804728
614.500026,5.871243,6.120424,5.805319
615.000026,5.874048,6.124763,5.806659
615.500026,5.878566,6.131305,5.809465
616.000026,5.883728,6.139178,5.812541
616.500026,5.888989,6.148041,5.814712
617.000026,5.893700,6.156948,5.815764
617.500026,5.897819,6.165391,5.816297
618.000026,5.901847,6.173131,5.817080
618.500026,5.905792,6.180640,5.817946
