?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.003182,0.003360,0.003330
20.000000,0.038349,0.038660,0.038312
30.000000,0.173866,0.174393,0.173162
40.000000,0.375353,0.376162,0.374088
50.000000,0.574777,0.575973,0.573468
60.000000,0.693876,0.695711,0.693052
70.000000,0.788670,0.790825,0.787968
80.000000,0.906277,0.908728,0.905494
90.000000,1.045462,1.048059,1.044534
100.000000,1.207096,1.209790,1.206052
110.000000,1.358344,1.361030,1.357195
120.000000,1.537887,1.540503,1.536651
130.000000,1.694126,1.696855,1.693040
140.000000,1.853331,1.855807,1.852108
150.000000,1.989259,1.991887,1.988139
160.000000,2.113559,2.116278,2.112055
170.000000,2.225444,2.228945,2.224015
180.000000,2.324521,2.328694,2.322702
190.000000,2.426300,2.431267,2.424183
200.000000,2.524168,2.530100,2.521585
210.000000,2.626467,2.633317,2.623113
220.000000,2.722607,2.730620,2.718706
230.000000,2.820551,2.829439,2.815603
240.000000,2.848539,2.855550,2.841909
250.000000,2.841952,2.846395,2.833623
260.000000,2.825970,2.829353,2.817133
270.000000,2.902780,2.909407,2.894562
280.000000,3.019983,3.030892,3.012240
290.000000,3.135149,3.149000,3.127106
300.000000,3.230101,3.246125,3.221658
310.000000,3.310500,3.328640,3.301868
320.000000,3.405714,3.426654,3.396916
330.000000,3.487325,3.510736,3.478210
340.000000,3.580650,3.607026,3.571362
350.000000,3.667858,3.697140,3.658378
360.000000,3.756780,3.789339,3.747397
370.000000,3.847745,3.883826,3.838331
380.000000,3.933993,3.973686,3.924740
390.000000,4.025297,4.068808,4.016162
400.000000,4.109991,4.157314,4.100868
410.000000,4.173416,4.223435,4.164145
411.000014,4.207845,4.259362,4.198370
412.000014,4.216337,4.268228,4.206829
413.000014,4.224305,4.276716,4.214833
414.000014,4.232876,4.285643,4.223437
415.000014,4.241359,4.294186,4.231742
416.000014,4.249626,4.302561,4.239862
417.000014,4.257206,4.310939,4.247662
418.000014,4.264934,4.319433,4.255622
419.000014,4.272992,4.328093,4.263827
420.000014,4.281518,4.336697,4.272066
421.000014,4.291849,4.347463,4.282303
422.000014,4.302487,4.358606,4.292969
423.000014,4.313932,4.370763,4.304577
424.000014,4.324244,4.381366,4.314733
425.000014,4.334917,4.392492,4.325246
426.000014,4.343365,4.401402,4.333572
427.000014,4.351308,4.409884,4.341629
428.000014,4.358894,4.417840,4.349162
429.000014,4.365820,4.424913,4.355972
430.000014,4.372268,4.431561,4.362287
431.000014,4.376929,4.436398,4.366881
432.000014,4.383224,4.443088,4.373317
433.000014,4.390299,4.450616,4.380428
434.000014,4.399300,4.460274,4.389566
435.000014,4.409432,4.470887,4.399615
436.000014,4.420850,4.482887,4.411047
437.000014,4.432751,4.495273,4.422729
438.000014,4.445318,4.508335,4.435091
439.000014,4.457005,4.520495,4.446613
440.000014,4.469048,4.533244,4.458804
441.000014,4.478319,4.543276,4.468266
442.000014,4.488115,4.553533,4.477997
443.000014,4.496349,4.561895,4.485979
444.000014,4.504737,4.570555,4.494177
445.000014,4.511596,4.578069,4.501182
446.000014,4.518233,4.585313,4.507859
447.000014,4.523938,4.591368,4.513418
448.000014,4.529151,4.596835,4.518551
449.000014,4.533828,4.601769,4.523251
450.000014,4.540289,4.608385,4.529634
451.000014,4.547685,4.616171,4.536914
452.000014,4.557182,4.626153,4.546302
453.000014,4.567439,4.637156,4.556667
454.000014,4.578809,4.648920,4.567991
455.000014,4.590348,4.661191,4.579528
456.000014,4.602480,4.674115,4.591715
457.000014,4.615119,4.687579,4.604397
458.000014,4.626738,4.699787,4.615975
459.000014,4.637705,4.711380,4.626898
460.000014,4.646590,4.720933,4.635670
461.000014,4.655873,4.730506,4.644661
462.000014,4.663664,4.738504,4.652157
463.000014,4.671706,4.746792,4.660120
464.000014,4.677453,4.753113,4.666036
465.000014,4.683159,4.759290,4.671820
466.000014,4.687453,4.764078,4.676141
467.000014,4.691281,4.768249,4.679804
468.000014,4.696562,4.773667,4.684818
469.000014,4.702813,4.780208,4.690905
470.000014,4.713007,4.791032,4.701288
471.000014,4.721543,4.800440,4.709987
472.000014,4.732876,4.812444,4.721351
473.000014,4.743543,4.823719,4.731859
474.000014,4.755631,4.836453,4.743853
475.000014,4.767668,4.849279,4.755886
476.000014,4.778307,4.860543,4.766344
477.000014,4.789282,4.872233,4.777324
478.000014,4.797943,4.881507,4.785847
479.000014,4.807315,4.891592,4.795328
480.000014,4.815547,4.900457,4.803545
481.000014,4.823058,4.908632,4.811099
482.000014,4.829807,4.915629,4.817523
483.000014,4.836126,4.922312,4.823741
484.000014,4.841491,4.928063,4.829074
485.000014,4.846405,4.933568,4.834144
486.000014,4.851671,4.939227,4.839320
487.000014,4.860199,4.948044,4.847596
488.000014,4.870023,4.958378,4.857356
489.000014,4.880226,4.969250,4.867529
490.000014,4.890460,4.980401,4.877825
491.000014,4.902480,4.993245,4.889702
492.000014,4.914879,5.006606,4.902064
493.000014,4.927934,5.020654,4.915045
494.000014,4.938203,5.031956,4.925329
495.000014,4.949801,5.044429,4.936813
496.000014,4.958976,5.054153,4.945870
497.000014,4.967577,5.063356,4.954340
498.000014,4.975118,5.071413,4.961719
499.000014,4.981911,5.078873,4.968399
500.000014,4.989649,5.086996,4.975944
501.000014,4.995460,5.093359,4.981784
502.000014,5.000278,5.098503,4.986510
503.000014,5.004627,5.103398,4.990928
504.000014,5.008920,5.108027,4.995103
505.000014,5.014789,5.114416,5.000970
506.000014,5.022206,5.122518,5.008441
507.000014,5.030777,5.131673,5.016872
508.000014,5.040879,5.142513,5.026936
509.000014,5.050594,5.152935,5.036490
510.000014,5.061663,5.164938,5.047580
511.000014,5.071924,5.176107,5.057622
512.000014,5.082607,5.187659,5.068182
513.000014,5.093957,5.200086,5.079478
514.000014,5.104701,5.211847,5.090164
515.000014,5.115578,5.223681,5.100892
516.000014,5.123753,5.232751,5.108939
517.000014,5.132646,5.242462,5.117812
518.000014,5.140125,5.250682,5.125178
519.000014,5.147236,5.258414,5.132253
520.000014,5.154228,5.265923,5.138900
521.000014,5.160102,5.272373,5.144600
522.000014,5.166646,5.279616,5.151034
523.000014,5.172781,5.286535,5.157380
524.000014,5.179295,5.293785,5.163976
525.000014,5.186507,5.301541,5.170984
526.000014,5.194530,5.310354,5.178820
527.000014,5.204656,5.321450,5.188826
528.000014,5.215297,5.333144,5.199387
529.000014,5.226377,5.345362,5.210412
530.000014,5.235121,5.355710,5.217321
530.500026,5.241712,5.364007,5.221623
531.000026,5.246377,5.369967,5.223749
531.500026,5.251412,5.375838,5.228189
532.000026,5.256570,5.381593,5.233190
532.500026,5.260544,5.386070,5.237030
533.000026,5.263138,5.389196,5.239570
533.500026,5.266818,5.393293,5.243080
534.000026,5.271357,5.398502,5.247646
534.500026,5.275808,5.403478,5.251903
535.000026,5.278786,5.406994,5.254779
535.500026,5.282412,5.410860,5.258051
536.000026,5.286979,5.415740,5.262358
536.500026,5.291745,5.420909,5.266900
537.000026,5.295434,5.425283,5.270656
537.500026,5.299111,5.429377,5.274171
538.000026,5.302456,5.433381,5.277528
538.500026,5.306137,5.437651,5.281107
539.000026,5.309969,5.442203,5.284894
539.500026,5.314412,5.447076,5.289111
540.000026,5.318561,5.451738,5.293089
540.500026,5.322449,5.456243,5.296923
541.000026,5.326116,5.460603,5.300545
541.500026,5.330185,5.465144,5.304420
542.000026,5.334191,5.469577,5.308213
542.500026,5.338134,5.473931,5.311963
543.000026,5.341792,5.478207,5.315560
543.500026,5.345467,5.482401,5.319146
544.000026,5.349552,5.487208,5.323173
544.500026,5.354074,5.492290,5.327475
545.000026,5.359424,5.498451,5.332618
545.500026,5.364816,5.504524,5.337682
546.000026,5.370254,5.510799,5.342873
546.500026,5.375475,5.516754,5.347807
547.000026,5.380904,5.523015,5.353027
547.500026,5.386038,5.528889,5.357841
548.000026,5.391457,5.534927,5.362829
548.500026,5.396181,5.540412,5.367212
549.000026,5.400847,5.545805,5.371664
549.500026,5.404823,5.550727,5.375602
550.000026,5.409039,5.555410,5.379392
550.500026,5.412698,5.559686,5.382764
551.000026,5.416778,5.564151,5.386397
551.500026,5.420381,5.568529,5.389975
552.000026,5.424252,5.573123,5.393768
552.500026,5.426574,5.576278,5.396131
553.000026,5.429054,5.579242,5.398480
553.500026,5.431615,5.582219,5.400811
554.000026,5.434753,5.585637,5.403646
554.500026,5.437640,5.589012,5.406339
555.000026,5.439780,5.591613,5.408307
555.500026,5.442306,5.594856,5.410805
556.000026,5.445888,5.599083,5.414243
556.500026,5.450772,5.604878,5.418969
557.000026,5.456380,5.611212,5.424163
557.500026,5.462115,5.617920,5.429540
558.000026,5.468147,5.624888,5.435233
558.500026,5.474221,5.631944,5.440918
559.000026,5.480543,5.639273,5.446844
559.500026,5.486436,5.646130,5.452277
560.000026,5.491755,5.652539,5.457189
560.500026,5.496938,5.658767,5.461914
561.000026,5.502027,5.665075,5.466739
561.500026,5.507318,5.671413,5.471742
562.000026,5.511602,5.676658,5.475712
562.500026,5.515235,5.681095,5.478770
563.000026,5.519208,5.686058,5.482384
563.500026,5.523423,5.691162,5.486203
564.000026,5.527293,5.695847,5.489795
564.500026,5.530125,5.699458,5.492376
565.000026,5.532641,5.702833,5.494661
565.500026,5.535794,5.706674,5.497513
566.000026,5.539036,5.710438,5.500291
566.500026,5.542594,5.714580,5.503502
567.000026,5.545876,5.718705,5.506656
567.500026,5.548731,5.722397,5.509246
568.000026,5.550155,5.724698,5.510448
568.500026,5.552360,5.727743,5.512328
569.000026,5.555769,5.731945,5.515404
569.500026,5.559969,5.736763,5.519169
570.000026,5.563102,5.749140,5.505210
570.500026,5.565304,5.761377,5.489830
571.000026,5.567583,5.774402,5.474356
571.500026,5.569304,5.778655,5.474622
572.000026,5.570346,5.781849,5.474621
572.500026,5.571140,5.784296,5.474298
573.000026,5.572737,5.787368,5.474694
573.500026,5.575228,5.791441,5.476019
574.000026,5.578054,5.796424,5.477598
574.500026,5.580367,5.801270,5.478671
575.000026,5.584730,5.821213,5.456242
575.500026,5.588861,5.843692,5.431486
576.000026,5.594593,5.869048,5.407323
576.500026,5.599033,5.881282,5.406492
577.000026,5.603650,5.891908,5.407074
577.500026,5.607799,5.901740,5.407196
578.000026,5.611167,5.911066,5.406500
578.500026,5.614719,5.920433,5.405710
579.000026,5.617881,5.929459,5.404978
579.500026,5.620876,5.937999,5.404303
580.000026,5.623714,5.946259,5.403937
580.500026,5.626032,5.953778,5.402954
581.000026,5.628925,5.961726,5.402363
581.500026,5.631690,5.969881,5.401879
582.000026,5.634184,5.978046,5.401727
582.500026,5.633405,5.982841,5.398532
583.000026,5.632067,5.986697,5.395204
583.500026,5.633017,5.992245,5.394002
584.000026,5.636998,6.000625,5.396150
584.500026,5.639697,6.007508,5.396881
585.000026,5.639445,6.011340,5.394474
585.500026,5.639032,6.014922,5.392110
586.000026,5.640836,6.020322,5.391946
586.500026,5.643130,6.025724,5.392522
587.000026,5.644182,6.029569,5.391979
587.500026,5.644321,6.032487,5.390572
588.000026,5.645766,6.036954,5.390458
588.500026,5.648098,6.042583,5.390914
589.000026,5.650189,6.048534,5.391065
589.500026,5.651072,6.053754,5.389800
590.000026,5.651977,6.059849,5.388534
590.500026,5.654028,6.068038,5.387774
591.000026,5.656412,6.078433,5.387165
591.500026,5.657514,6.090677,5.385693
592.000026,5.657781,6.103747,5.383775
592.500026,5.657581,6.117189,5.381045
593.000026,5.657536,6.130518,5.377798
593.500026,5.656698,6.144720,5.374008
594.000026,5.655409,6.159774,5.370405
594.500026,5.653872,6.174923,5.366973
595.000026,5.643642,6.195817,5.362427
595.500026,5.627859,6.220453,5.355045
596.000026,5.607695,6.247654,5.346154
596.500026,5.585852,6.276410,5.335574
