?? [s],a 1.dY [mm],B1.dY [mm],C1.dY [mm]
646.500026,6.170720,6.388901,6.162871
647.000026,6.175486,6.394924,6.167689
647.500026,6.181784,6.402583,6.174058
648.000026,6.188857,6.411002,6.181184
648.500026,6.196020,6.419714,6.188512
649.000026,6.203048,6.428437,6.195555
649.500026,6.209681,6.437052,6.202345
650.000026,6.215594,6.445002,6.208344
650.500026,6.220501,6.452085,6.213326
651.000026,6.225135,6.458849,6.217994
651.500026,6.229861,6.465686,6.222745
652.000026,6.234482,6.472207,6.227456
652.500026,6.238372,6.477928,6.231326
653.000026,6.242320,6.483537,6.235302
653.500026,6.245623,6.488544,6.238706
654.000026,6.248508,6.492943,6.241713
654.500026,6.249807,6.495704,6.243127
655.000026,6.251198,6.498274,6.244514
655.500026,6.253111,6.501378,6.246487
656.000026,6.255836,6.505277,6.249293
656.500026,6.258268,6.508844,6.251799
657.000026,6.260303,6.512035,6.253788
657.500026,6.262773,6.515608,6.256163
658.000026,6.265150,6.519092,6.258426
658.500026,6.267717,6.522804,6.261047
659.000026,6.269668,6.525797,6.263008
659.500026,6.272431,6.529620,6.265740
660.000026,6.276008,6.534253,6.269259
660.500026,6.280374,6.539846,6.273624
661.000026,6.285110,6.545825,6.278519
661.500026,6.290078,6.552114,6.283605
662.000026,6.295193,6.558678,6.288826
662.500026,6.300424,6.565537,6.294022
663.000026,6.306083,6.572966,6.299676
663.500026,6.311572,6.580243,6.305131
664.000026,6.317130,6.587858,6.310758
664.500026,6.322096,6.595066,6.315804
665.000026,6.326829,6.602132,6.320557
665.500026,6.331341,6.609083,6.325149
666.000026,6.334903,6.614923,6.328683
666.500026,6.338060,6.620322,6.331965
667.000026,6.340901,6.625094,6.334773
667.500026,6.343776,6.629840,6.337552
668.000026,6.347003,6.634797,6.340609
668.500026,6.349863,6.639392,6.343291
669.000026,6.352303,6.643423,6.345663
669.500026,6.354085,6.646653,6.347361
670.000026,6.355199,6.648988,6.348399
670.500026,6.356905,6.651833,6.350009
671.000026,6.358868,6.654868,6.351932
671.500026,6.360284,6.657384,6.353347
672.000026,6.361196,6.659244,6.354201
672.500026,6.361741,6.660783,6.354637
673.000026,6.364422,6.664442,6.357211
673.500026,6.367740,6.669038,6.360612
674.000026,6.372085,6.674863,6.365072
674.500026,6.376222,6.680679,6.369201
675.000026,6.381928,6.688312,6.374874
675.500026,6.389182,6.697553,6.381976
676.000026,6.396688,6.707260,6.389356
676.500026,6.403655,6.716399,6.396073
677.000026,6.409405,6.724685,6.401758
677.500026,6.414949,6.732842,6.407241
678.000026,6.419437,6.740246,6.411700
678.500026,6.423587,6.747183,6.415626
679.000026,6.427435,6.753944,6.419303
