?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.037732,0.038493,0.037866
20.000000,0.165637,0.167529,0.166097
30.000000,0.319994,0.323085,0.321122
40.000000,0.462318,0.466168,0.464229
50.000000,0.551267,0.555918,0.554143
60.000000,0.628734,0.633438,0.631885
70.000000,0.688401,0.693323,0.691900
80.000000,0.777741,0.782972,0.781239
90.000000,0.887324,0.893415,0.890939
100.000000,1.050296,1.056682,1.053549
110.000000,1.200646,1.206766,1.203459
120.000000,1.366303,1.372231,1.368935
130.000000,1.530075,1.536096,1.533004
140.000000,1.685505,1.692584,1.690067
150.000000,1.829808,1.838081,1.835869
160.000000,1.948923,1.958447,1.956092
170.000000,2.055095,2.065261,2.062025
180.000000,2.146705,2.157575,2.153421
190.000000,2.245240,2.256873,2.251450
200.000000,2.335704,2.347982,2.341338
210.000000,2.422972,2.436019,2.427569
220.000000,2.492213,2.505726,2.495949
230.000000,2.571865,2.586217,2.574872
240.000000,2.663388,2.678697,2.666026
250.000000,2.765850,2.782442,2.768170
260.000000,2.866863,2.884821,2.868818
270.000000,2.962373,2.981776,2.964186
280.000000,3.056517,3.077457,3.058162
290.000000,3.151100,3.173609,3.152523
300.000000,3.250242,3.274551,3.251140
310.000000,3.349126,3.375540,3.349616
320.000000,3.442208,3.470736,3.442157
330.000000,3.532956,3.563719,3.532680
340.000000,3.620701,3.653642,3.620096
350.000000,3.711467,3.746880,3.710686
360.000000,3.804993,3.843091,3.803742
370.000000,3.893553,3.934286,3.891705
380.000000,3.980402,4.023927,3.978009
390.000000,4.064883,4.111218,4.062095
400.000000,4.157480,4.207196,4.154413
410.000000,4.251478,4.304600,4.247957
420.000000,4.340909,4.397531,4.336937
430.000000,4.427877,4.488054,4.423551
440.000000,4.510978,4.574584,4.506070
450.000000,4.597181,4.664469,4.591753
460.000000,4.688427,4.759741,4.682432
470.000000,4.755453,4.829990,4.749292
471.000014,4.792747,4.869183,4.786540
472.000014,4.798423,4.875252,4.792113
473.000014,4.803381,4.880439,4.796950
474.000014,4.810605,4.887991,4.804006
475.000014,4.820514,4.898286,4.813830
476.000014,4.832853,4.911187,4.826097
477.000014,4.845431,4.924436,4.838772
478.000014,4.856835,4.936381,4.850039
479.000014,4.866404,4.946457,4.859624
480.000014,4.874278,4.954727,4.867281
481.000014,4.879973,4.960924,4.873011
482.000014,4.886442,4.967892,4.879390
483.000014,4.893177,4.974952,4.886042
484.000014,4.900521,4.982527,4.893283
485.000014,4.908536,4.990912,4.901301
486.000014,4.918060,5.001037,4.910939
487.000014,4.929253,5.012918,4.922106
488.000014,4.943102,5.027460,4.935908
489.000014,4.957617,5.042691,4.950214
490.000014,4.970852,5.056602,4.963382
491.000014,4.980502,5.066815,4.972835
492.000014,4.988823,5.075685,4.981073
493.000014,4.996161,5.083559,4.988480
494.000014,5.002085,5.089960,4.994464
495.000014,5.005401,5.093655,4.997893
496.000014,5.008897,5.097501,5.001345
497.000014,5.013095,5.101993,5.005442
498.000014,5.018852,5.108055,5.011018
499.000014,5.026002,5.115676,5.018077
500.000014,5.036475,5.126699,5.028577
501.000014,5.048528,5.139294,5.040536
502.000014,5.059556,5.150896,5.051466
503.000014,5.069239,5.161274,5.061016
504.000014,5.078898,5.171734,5.070707
505.000014,5.088596,5.182093,5.080348
506.000014,5.098184,5.192270,5.089834
507.000014,5.107742,5.202353,5.099252
508.000014,5.116971,5.212288,5.108455
509.000014,5.125421,5.221410,5.116928
510.000014,5.131549,5.227991,5.122993
511.000014,5.136784,5.233528,5.128100
512.000014,5.142132,5.239191,5.133188
513.000014,5.148871,5.246602,5.139893
514.000014,5.159189,5.257673,5.150271
515.000014,5.171286,5.270664,5.162486
516.000014,5.185057,5.285159,5.176020
517.000014,5.197438,5.298479,5.188341
518.000014,5.207953,5.309787,5.198814
519.000014,5.216157,5.318828,5.207126
520.000014,5.222875,5.326117,5.213615
521.000014,5.228209,5.332027,5.218754
522.000014,5.232686,5.336939,5.223058
523.000014,5.236552,5.341171,5.226871
524.000014,5.241688,5.346650,5.232091
525.000014,5.247849,5.353221,5.238256
526.000014,5.258425,5.364445,5.248784
527.000014,5.271686,5.378569,5.261978
528.000014,5.287147,5.395205,5.277470
529.000014,5.301397,5.410632,5.291594
530.000014,5.312129,5.422357,5.302183
530.500026,5.320118,5.431014,5.309948
531.000026,5.324879,5.436376,5.314787
531.500026,5.329259,5.441249,5.319060
532.000026,5.333528,5.446010,5.323317
532.500026,5.336953,5.449754,5.326626
533.000026,5.340209,5.453273,5.329957
533.500026,5.342741,5.456133,5.332530
534.000026,5.345587,5.459265,5.335402
534.500026,5.348048,5.462072,5.337768
535.000026,5.350376,5.464655,5.340045
535.500026,5.352162,5.466708,5.341710
536.000026,5.354739,5.469516,5.344123
536.500026,5.357877,5.472865,5.347165
537.000026,5.361367,5.476552,5.350618
537.500026,5.363857,5.479318,5.353126
538.000026,5.366053,5.481810,5.355385
538.500026,5.369061,5.485328,5.358495
