?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
669.500026,6.222855,6.468653,6.163654
670.000026,6.227930,6.477167,6.167978
670.500026,6.233118,6.485139,6.171635
671.000026,6.236971,6.492972,6.175201
671.500026,6.241600,6.500302,6.178165
672.000026,6.245061,6.507209,6.180732
672.500026,6.248833,6.513317,6.182455
673.000026,6.251467,6.518734,6.183690
673.500026,6.253806,6.523706,6.184815
674.000026,6.255826,6.528405,6.185813
674.500026,6.258409,6.533408,6.187145
675.000026,6.260676,6.538049,6.188092
675.500026,6.262936,6.542348,6.188619
676.000026,6.264813,6.546763,6.189157
676.500026,6.266464,6.550715,6.189272
677.000026,6.267634,6.554226,6.189246
677.500026,6.268078,6.556572,6.188324
678.000026,6.269044,6.559136,6.187763
678.500026,6.270257,6.561621,6.187097
679.000026,6.271218,6.564060,6.186612
679.500026,6.272481,6.567019,6.186469
680.000026,6.274080,6.570320,6.186629
680.500026,6.277050,6.574728,6.187440
681.000026,6.278595,6.578703,6.187295
681.500026,6.281265,6.583750,6.187089
682.000026,6.285191,6.591025,6.186193
682.500026,6.288412,7.610822,6.186018
683.000026,,8.629300,
683.500026,1.761531,9.650427,1.660425
684.000026,1.763887,9.654987,1.661718
684.500026,1.768231,9.654278,1.663587
685.000026,1.762877,9.645345,1.658642
685.500026,1.757002,9.639314,1.653092
686.000026,1.750874,9.637767,1.647078
686.500026,1.741799,9.637450,1.638306
687.000026,1.737210,9.637369,1.633633
