?? [s],A 1.dY [mm],A 2.dY [mm],B2.dY [mm],B 1.dY [mm],C2.dY [mm],C 1.dY [mm]
595.500026,5.596412,5.591017,5.407602,5.425877,5.378147,5.395082
596.000026,5.602229,5.596809,5.412425,5.431051,5.382521,5.399383
596.500026,5.609382,5.604019,5.418366,5.436885,5.388047,5.404872
597.000026,5.618193,5.612855,5.425978,5.444582,5.395214,5.412156
597.500026,5.626649,5.621192,5.433211,5.451461,5.402098,5.419147
598.000026,5.633634,5.628006,5.439121,5.457259,5.407519,5.424561
598.500026,5.638823,5.633105,5.443250,5.461666,5.411200,5.428212
599.000026,5.643693,5.638039,5.447028,5.465817,5.414600,5.431693
599.500026,5.648884,5.643280,5.451286,5.470097,5.418356,5.435588
600.000026,5.654359,5.648919,5.455925,5.474569,5.422559,5.439753
600.500026,5.659911,5.654640,5.460672,5.479002,5.426821,5.443965
601.000026,5.664916,5.659532,5.464867,5.483392,5.430658,5.447723
601.500026,5.668938,5.663483,5.468078,5.486588,5.433502,5.450606
602.000026,5.672087,5.666469,5.470357,5.488967,5.435545,5.452709
602.500026,5.674681,5.669142,5.472291,5.490652,5.437219,5.454451
603.000026,5.677908,5.672139,5.474854,5.493060,5.439543,5.456800
603.500026,5.681154,5.675410,5.477631,5.495786,5.442176,5.459379
604.000026,5.684186,5.678373,5.480278,5.498596,5.444443,5.461760
604.500026,5.686185,5.680388,5.481609,5.500105,5.445659,5.462989
605.000026,5.688056,5.682147,5.482775,5.501536,5.446613,5.464013
605.500026,5.690421,5.684593,5.484289,5.503056,5.448135,5.465593
606.000026,5.695031,5.689374,5.488303,5.507151,5.451936,5.469402
606.500026,5.701480,5.695904,5.494021,5.512863,5.457208,5.474876
607.000026,5.708633,5.703134,5.500213,5.519047,5.463138,5.480736
607.500026,5.715100,5.709550,5.505616,5.524239,5.468112,5.485777
608.000026,5.719977,5.714199,5.509476,5.528015,5.471708,5.489205
608.500026,5.724996,5.719207,5.513391,5.532059,5.475247,5.492725
609.000026,5.730743,5.724968,5.517978,5.536782,5.479405,5.496852
609.500026,5.737813,5.732081,5.523779,5.542738,5.484657,5.502099
610.000026,5.744964,5.739056,5.529742,5.548713,5.489921,5.507418
610.500026,5.750819,5.744852,5.534491,5.553491,5.493983,5.511511
611.000026,5.755076,5.749109,5.537557,5.556618,5.496521,5.514182
