?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.064181,0.064427,0.064134
20.000000,0.172857,0.173782,0.172964
30.000000,0.307525,0.308824,0.308057
40.000000,0.415258,0.417150,0.416389
50.000000,0.515263,0.517491,0.517061
60.000000,0.610615,0.613272,0.612747
70.000000,0.708596,0.711414,0.710871
80.000000,0.826019,0.828905,0.827848
90.000000,0.970376,0.972829,0.971728
100.000000,1.135861,1.138220,1.136611
110.000000,1.305337,1.307760,1.305947
120.000000,1.465318,1.468110,1.465890
130.000000,1.615026,1.617759,1.615511
140.000000,1.743382,1.746136,1.743748
150.000000,1.860225,1.863062,1.860025
160.000000,1.971790,1.974602,1.970539
170.000000,2.082317,2.085329,2.080025
180.000000,2.189593,2.192902,2.186388
190.000000,2.284866,2.288799,2.281518
200.000000,2.379907,2.383918,2.375643
210.000000,2.486042,2.490107,2.480808
220.000000,2.593905,2.598345,2.588014
230.000000,2.700893,2.706139,2.694974
240.000000,2.798595,2.805117,2.793281
250.000000,2.893305,2.900899,2.888052
260.000000,2.986115,2.994822,2.980689
270.000000,3.075370,3.085040,3.069363
280.000000,3.166554,3.177418,3.160283
290.000000,3.253501,3.265640,3.246919
300.000000,3.342227,3.356053,3.335869
310.000000,3.434437,3.449606,3.427704
320.000000,3.526197,3.543406,3.519789
330.000000,3.608464,3.626884,3.601652
340.000000,3.695789,3.715913,3.688739
350.000000,3.788004,3.809728,3.780183
360.000000,3.886100,3.909868,3.877883
370.000000,3.969735,3.995151,3.961222
380.000000,4.053206,4.080220,4.044423
390.000000,4.137897,4.166702,4.128688
400.000000,4.227901,4.259168,4.218336
410.000000,4.284671,4.316626,4.274278
420.000000,4.349377,4.382543,4.338384
430.000000,4.410957,4.445302,4.399504
440.000000,4.505379,4.542829,4.494085
450.000000,4.584038,4.624032,4.572876
460.000000,4.669441,4.712175,4.658254
470.000000,4.757017,4.802770,4.745867
480.000000,4.852920,4.902147,4.841744
490.000000,4.942518,4.995340,4.931504
500.000000,5.026656,5.082873,5.015768
510.000000,5.106263,5.166094,5.095566
520.000000,5.190818,5.254311,5.180335
530.000000,5.276484,5.343849,5.266218
540.000000,5.367045,5.438770,5.357129
550.000000,5.457928,5.534081,5.448082
560.000000,5.549520,5.630303,5.539683
570.000000,5.634581,5.719655,5.624830
580.000000,5.712838,5.802528,5.703595
590.000000,5.767383,5.860386,5.758549
591.000014,5.802254,5.897517,5.793656
592.000014,5.817286,5.913340,5.808615
593.000014,5.831974,5.929037,5.823449
594.000014,5.843728,5.941494,5.835413
595.000014,5.854508,5.952981,5.846364
596.000014,5.863590,5.962382,5.855278
597.000014,5.871571,5.970676,5.862977
598.000014,5.877231,5.976786,5.868661
599.000014,5.882501,5.982480,5.874183
600.000014,5.888020,5.988444,5.879968
601.000014,5.894536,5.995331,5.886601
