?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.041852,0.041307,0.040833
20.000000,0.147868,0.147878,0.146780
30.000000,0.273350,0.273491,0.271634
40.000000,0.403664,0.404487,0.402305
50.000000,0.509720,0.510309,0.507939
60.000000,0.628656,0.628088,0.625452
70.000000,0.748507,0.747329,0.744081
80.000000,0.879884,0.878034,0.874166
90.000000,1.031549,1.028694,1.024379
100.000000,1.199087,1.195902,1.191203
110.000000,1.368172,1.363902,1.359009
120.000000,1.536037,1.532907,1.527782
130.000000,1.698132,1.695093,1.690070
140.000000,1.836402,1.833389,1.828057
150.000000,1.952026,1.948532,1.942512
160.000000,2.050886,2.046137,2.039258
170.000000,2.153381,2.149194,2.141523
180.000000,2.255711,2.250596,2.242603
190.000000,2.359174,2.354129,2.345557
200.000000,2.464792,2.459605,2.450429
210.000000,2.570691,2.566733,2.556660
220.000000,2.667078,2.663334,2.652627
230.000000,2.762123,2.758140,2.746560
240.000000,2.859350,2.855189,2.842750
250.000000,2.955093,2.951800,2.938413
260.000000,3.045480,3.043210,3.028914
270.000000,3.130828,3.129198,3.113541
280.000000,3.216506,3.215532,3.198261
290.000000,3.308295,3.307917,3.288553
300.000000,3.401888,3.402720,3.381455
310.000000,3.490320,3.492386,3.469056
320.000000,3.572713,3.576416,3.551360
330.000000,3.610367,3.635206,3.608944
340.000000,,3.696635,3.668724
350.000000,3.750400,3.763990,3.734193
360.000000,,3.851508,3.819191
370.000000,3.966442,3.937420,3.903088
380.000000,4.008877,4.021266,3.984976
390.000000,4.095280,4.110808,4.072445
400.000000,4.187588,4.204901,4.164057
410.000000,4.273080,4.291875,4.248743
420.000000,4.360522,4.380869,4.335246
430.000000,4.450533,4.474218,4.426112
440.000000,4.533642,4.560342,4.509546
450.000000,4.621893,4.651473,4.597851
460.000000,4.703992,4.736524,4.679984
470.000000,4.772628,4.808119,4.749387
471.000015,4.806138,4.842133,4.782309
472.000015,4.813365,4.848799,4.788912
473.000015,4.818328,4.853203,4.793210
474.000015,4.821934,4.857411,4.797221
475.000015,4.827140,4.863347,4.802930
476.000015,4.837032,4.873228,4.812412
477.000015,4.848141,4.885146,4.823864
478.000015,4.861413,4.899039,4.837252
479.000015,4.874242,4.912666,4.850360
480.000015,4.886592,4.925528,4.862832
481.000015,4.897735,4.936292,4.873286
482.000015,4.906201,4.944899,4.881665
483.000015,4.913003,4.952846,4.889225
484.000015,4.917526,4.958649,4.894611
485.000015,4.921340,4.963746,4.899483
486.000015,4.926233,4.967574,4.903198
487.000015,4.932699,4.973299,4.908850
488.000015,4.941026,4.980845,4.916189
489.000015,4.950159,4.991602,4.926463
490.000015,4.963480,5.004650,4.938933
491.000015,4.977044,5.018832,4.952563
492.000015,4.990469,5.032774,4.966080
493.000015,5.001067,5.044692,4.977630
494.000015,5.008689,5.053773,4.986186
495.000015,5.016618,5.060934,4.993005
496.000015,5.021870,5.065745,4.997636
497.000015,5.027488,5.070310,5.002165
498.000015,5.030804,5.073862,5.005618
499.000015,5.034911,5.078744,5.010240
500.000015,5.040599,5.085628,5.016684
501.000015,5.050821,5.096429,5.026966
502.000015,5.064318,5.110544,5.040492
503.000015,5.078740,5.125781,5.055179
504.000015,5.092106,5.139970,5.068922
505.000015,5.104339,5.153062,5.081442
506.000015,5.115367,5.163769,5.091709
507.000015,5.123281,5.172665,5.100170
508.000015,5.128648,5.178907,5.106137
509.000015,5.132916,5.184258,5.111215
510.000015,5.137924,5.188639,5.115360
511.000015,5.144237,5.194495,5.121165
512.000015,5.152294,5.202112,5.128382
513.000015,5.159807,5.211053,5.136875
514.000015,5.171457,5.223312,5.148535
515.000015,5.182420,5.234691,5.159527
516.000015,5.195325,5.247994,5.172320
517.000015,5.203970,5.257725,5.181577
518.000015,5.211278,5.266228,5.189709
519.000015,5.217976,5.272540,5.195871
520.000015,5.225982,5.279344,5.202414
521.000015,5.233513,5.286673,5.209340
522.000015,5.239843,5.294099,5.216358
523.000015,5.245368,5.300737,5.222555
524.000015,5.254288,5.310360,5.231882
525.000015,5.266504,5.322459,5.243416
526.000015,5.279101,5.335592,5.255987
527.000015,5.290036,5.347464,5.267660
528.000015,5.299349,5.356508,5.276226
529.000015,5.306467,5.363251,5.282652
530.000015,5.312311,5.368665,5.287499
531.000015,5.316443,5.373643,5.292234
532.000015,5.320236,5.379326,5.297627
533.000015,5.327820,5.387697,5.305530
534.000015,5.338766,5.398463,5.315859
535.000015,5.353071,5.412462,5.329262
536.000015,5.365917,5.426289,5.342400
537.000015,5.378004,5.439244,5.354567
538.000015,5.389447,5.450683,5.365505
539.000015,5.397689,5.458715,5.373127
540.000015,5.404559,5.467369,5.381330
541.000015,5.409747,5.473450,5.386965
542.000015,5.413558,5.478107,5.391204
543.000015,5.417844,5.481615,5.394724
544.000015,5.421532,5.485653,5.398906
545.000015,5.427603,5.491180,5.404283
546.000015,5.434802,5.499839,5.412291
547.000015,5.445165,5.511584,5.423063
548.000015,5.459417,5.526202,5.437277
549.000015,5.473115,5.539920,5.450436
550.000015,5.485173,5.551878,5.461734
551.000015,5.493600,5.561973,5.471029
552.000015,5.500183,5.569460,5.477985
553.000015,5.508587,5.577625,5.485825
554.000015,5.517577,5.585673,5.493417
555.000015,5.526468,5.594638,5.501986
556.000015,5.532525,5.602404,5.509268
557.000015,5.540287,5.610807,5.517156
558.000015,5.548077,5.618135,5.524006
559.000015,5.556864,5.626510,5.532054
560.000015,5.562745,5.634458,5.539508
561.000015,5.570750,5.643487,5.548078
562.000015,5.579040,5.652687,5.556628
563.000015,5.589561,5.662834,5.566263
564.000015,5.599060,5.673190,5.575916
565.000015,5.609170,5.683612,5.585793
566.000015,5.618864,5.694343,5.595858
567.000015,5.627412,5.704262,5.605176
568.000015,5.636623,5.713673,5.613865
569.000015,5.644553,5.721781,5.621479
570.000015,5.651373,5.728250,5.627715
571.000015,5.655948,5.734330,5.633441
572.000015,5.661989,5.741412,5.640035
573.000015,5.673646,5.752726,5.650699
574.000015,5.685874,5.765331,5.662549
575.000015,5.700286,5.780282,5.676858
576.000015,5.707018,5.788196,5.683885
577.000015,5.717279,5.798603,5.693772
578.000015,5.722339,5.804174,5.698926
579.000015,5.729403,5.811857,5.706358
580.000015,5.732134,5.815003,5.709138
581.000015,5.739793,5.822579,5.716190
582.000015,5.751659,5.834490,5.727496
583.000015,5.764381,5.848075,5.740174
