?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.056035,0.000000,0.055678
20.000000,0.156021,,0.155309
30.000000,0.288730,0.348571,0.287474
40.000000,0.408886,0.408148,0.406891
50.000000,0.527886,0.527015,0.524737
60.000000,0.640205,0.639229,0.635856
70.000000,0.761652,0.760798,0.757082
80.000000,0.896866,0.896198,0.892273
90.000000,1.054156,1.053415,1.049737
100.000000,1.215237,1.214504,1.210526
110.000000,1.380123,1.379299,1.375340
120.000000,1.546853,1.546140,1.541962
130.000000,1.704633,1.703967,1.700075
140.000000,1.852921,1.852746,1.849105
150.000000,1.982914,1.983563,1.980292
160.000000,2.101190,2.103059,2.099616
170.000000,2.202411,2.205220,2.201448
180.000000,2.300919,2.304665,2.300725
190.000000,2.402378,2.407083,2.402735
200.000000,2.502849,2.508791,2.503848
210.000000,2.602646,2.609725,2.603840
220.000000,2.700761,2.709074,2.702257
230.000000,2.799380,2.808645,2.801029
240.000000,2.895021,2.905450,2.896799
250.000000,2.993029,3.004827,2.994948
260.000000,3.086434,3.099847,3.088625
270.000000,3.181221,3.195962,3.183564
280.000000,3.274566,3.290721,3.277148
290.000000,3.365546,3.383100,3.368228
300.000000,3.459366,3.478789,3.462192
310.000000,3.548283,3.569458,3.551010
320.000000,3.638650,3.661830,3.641400
330.000000,3.727321,3.752561,3.730304
340.000000,3.815643,3.842766,3.818536
350.000000,3.904517,3.933599,3.907478
360.000000,3.992672,4.023590,3.995506
370.000000,4.081812,4.115068,4.084853
380.000000,4.170743,4.206233,4.173675
390.000000,4.258969,4.296541,4.261692
400.000000,4.346154,4.385805,4.348549
410.000000,4.436483,4.478422,4.438655
420.000000,4.527681,4.572647,4.530212
430.000000,4.616728,4.664360,4.619636
440.000000,4.702363,4.752817,4.705730
450.000000,4.787681,4.840528,4.790734
460.000000,4.876027,4.931714,4.878907
470.000000,4.965613,5.024197,4.968298
480.000000,5.049292,5.111163,5.052189
490.000000,5.134859,5.200176,5.137647
500.000000,5.223784,5.292685,5.226516
510.000000,5.312921,5.385473,5.315594
520.000000,5.395036,5.471395,5.397621
530.000000,5.476395,5.556809,5.478955
540.000000,5.514785,5.596733,5.516774
550.000000,5.543721,5.627027,5.545624
560.000000,5.584756,5.670073,5.586252
570.000000,5.672466,5.763043,5.674054
