?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.071614,0.071763,0.071054
20.000000,0.185649,0.186044,0.184439
30.000000,0.308077,0.308675,0.306145
40.000000,0.409395,0.410181,0.407338
50.000000,0.495312,0.496417,0.493165
60.000000,0.604277,0.605981,0.602058
70.000000,0.708191,0.710546,0.706181
80.000000,0.846381,0.849065,0.844506
90.000000,0.998099,1.000663,0.996128
100.000000,1.161763,1.163902,1.159062
110.000000,1.328939,1.330770,1.325676
120.000000,1.484525,1.485986,1.480127
130.000000,1.630454,1.631992,1.625790
140.000000,1.768430,1.769872,1.762682
150.000000,1.887399,1.889119,1.881266
160.000000,2.003747,2.005823,1.996712
170.000000,2.093253,2.096404,2.086392
180.000000,2.192682,2.196968,2.185949
190.000000,2.287922,2.293449,2.281111
200.000000,2.393379,2.400214,2.386257
210.000000,2.491799,2.500079,2.484294
220.000000,2.591178,2.601100,2.583497
230.000000,2.683921,2.695693,2.676024
240.000000,2.783306,2.797186,2.775016
250.000000,2.879446,2.895609,2.870949
260.000000,2.973960,2.992414,2.965077
270.000000,3.065423,3.086210,3.056278
280.000000,3.155338,3.178502,3.145729
290.000000,3.248809,3.274695,3.238867
300.000000,3.346942,3.376037,3.336607
310.000000,3.436547,3.468852,3.425986
320.000000,3.525337,3.561046,3.514578
330.000000,3.608609,3.647637,3.597835
340.000000,3.699343,3.742441,3.688498
350.000000,3.788132,3.835246,3.777275
360.000000,3.877393,3.928845,3.866430
370.000000,3.963424,4.018918,3.952284
380.000000,4.047590,4.107144,4.036162
390.000000,4.135425,4.199620,4.124202
400.000000,4.226684,4.296055,4.215521
410.000000,4.316119,4.390823,4.305368
420.000000,4.399716,4.479657,4.388977
430.000000,4.486549,4.572442,4.476418
440.000000,4.574993,4.667339,4.565295
450.000000,4.658150,4.756918,4.648968
460.000000,4.740206,4.845836,4.731621
470.000000,4.799320,4.910194,4.791301
471.000014,4.837044,4.951392,4.829517
472.000014,4.843879,4.958982,4.836423
473.000014,4.850960,4.966739,4.843556
474.000014,4.859111,4.975620,4.851878
475.000014,4.869539,4.987025,4.862267
476.000014,4.881941,5.000590,4.874882
477.000014,4.894816,5.015008,4.887948
478.000014,4.906987,5.028420,4.900370
479.000014,4.917716,5.040531,4.911209
480.000014,4.927526,5.051312,4.921113
481.000014,4.935549,5.060468,4.929489
482.000014,4.942505,5.068018,4.936597
483.000014,4.947672,5.073862,4.941908
484.000014,4.952431,5.079192,4.946538
485.000014,4.956037,5.083510,4.950132
486.000014,4.960606,5.088654,4.954602
487.000014,4.967179,5.095852,4.961308
488.000014,4.977098,5.106585,4.971401
489.000014,4.988591,5.119269,4.983151
490.000014,4.999022,5.131111,4.993806
491.000014,5.008946,5.142306,5.003998
492.000014,5.018912,5.153612,5.014261
493.000014,5.029168,5.164983,5.024588
494.000014,5.038439,5.175526,5.033924
495.000014,5.046540,5.184564,5.042046
496.000014,5.053576,5.192742,5.049509
497.000014,5.059130,5.199325,5.055398
498.000014,5.064854,5.206115,5.061430
499.000014,5.073498,5.215734,5.070125
500.000014,5.083685,5.227109,5.080540
501.000014,5.096065,5.241034,5.093234
502.000014,5.108036,5.254663,5.105408
503.000014,5.118641,5.267041,5.116341
504.000014,5.127936,5.277962,5.126025
505.000014,5.134801,5.286182,5.133257
506.000014,5.141540,5.294133,5.140137
507.000014,5.146603,5.300047,5.145234
508.000014,5.150949,5.305168,5.149686
509.000014,5.155832,5.310716,5.154645
510.000014,5.161063,5.316952,5.159965
511.000014,5.170156,5.327356,5.169352
512.000014,5.180583,5.339252,5.180007
513.000014,5.194442,5.354898,5.194074
514.000014,5.207281,5.369931,5.207410
515.000014,5.219614,5.384593,5.220178
516.000014,5.230421,5.397822,5.231588
517.000014,5.239480,5.408957,5.240922
518.000014,5.247268,5.418558,5.249131
519.000014,5.252799,5.425446,5.255053
520.000014,5.257138,5.431028,5.259651
521.000014,5.262015,5.437309,5.264717
522.000014,5.267185,5.443770,5.270021
523.000014,5.272529,5.450395,5.275627
524.000014,5.278089,5.457082,5.281579
525.000014,5.285154,5.465299,5.288986
526.000014,5.294364,5.476077,5.298583
527.000014,5.305950,5.489609,5.310435
528.000014,5.318316,5.504709,5.323421
529.000014,5.331153,5.520591,5.336892
530.000014,5.340870,5.533106,5.347361
530.500027,5.347697,5.541980,5.354508
531.000027,5.351599,5.547254,5.358695
531.500027,5.355404,5.552231,5.362698
532.000027,5.359458,5.557719,5.367128
532.500027,5.364060,5.563522,5.372025
533.000027,5.367713,5.568394,5.375888
533.500027,5.370486,5.572011,5.378846
534.000027,5.372458,5.574866,5.381029
534.500027,5.374349,5.577688,5.383090
535.000027,5.376208,5.580427,5.385162
535.500027,5.378060,5.583102,5.387056
536.000027,5.380295,5.585960,5.389453
536.500027,5.382788,5.589081,5.391921
537.000027,5.384778,5.591723,5.394082
537.500027,5.386315,5.593984,5.395674
538.000027,5.388214,5.596633,5.397743
538.500027,5.391349,5.600546,5.401050
539.000027,5.395554,5.605461,5.405422
539.500027,5.399428,5.610185,5.409556
540.000027,5.402555,5.614260,5.412836
540.500027,5.405255,5.618005,5.415845
541.000027,5.409143,5.622841,5.419831
541.500027,5.414910,5.629550,5.425633
542.000027,5.421496,5.637597,5.432325
542.500027,5.427869,5.645735,5.438908
543.000027,5.433703,5.653659,5.445238
543.500027,5.439931,5.661721,5.451972
544.000027,5.446238,5.670080,5.458809
544.500027,5.452095,5.677952,5.465033
545.000027,5.456809,5.684753,5.470020
545.500027,5.460237,5.690321,5.473874
546.000027,5.464038,5.696112,5.477948
546.500027,5.468360,5.702214,5.482716
547.000027,5.472731,5.708228,5.487412
547.500027,5.476143,5.713136,5.491201
548.000027,5.478458,5.716885,5.493742
548.500027,5.481361,5.720971,5.496699
549.000027,5.484677,5.725503,5.500079
549.500027,5.487644,5.729682,5.503137
550.000027,5.489323,5.732427,5.504950
550.500027,5.489638,5.733688,5.505463
551.000027,5.490243,5.735224,5.506193
551.500027,5.492230,5.737998,5.508272
552.000027,5.495576,5.742168,5.511614
552.500027,5.498916,5.746290,5.514995
553.000027,5.501061,5.749337,5.517228
553.500027,5.502187,5.751427,5.518553
554.000027,5.503829,5.754064,5.520354
554.500027,5.507328,5.758735,5.524057
555.000027,5.511733,5.764249,5.528722
555.500027,5.515810,5.769587,5.533051
556.000027,5.519689,5.774805,5.537312
556.500027,5.524379,5.781139,5.542224
557.000027,5.530655,5.789273,5.548771
557.500027,5.536996,5.797580,5.555096
558.000027,5.542623,5.805497,5.560986
558.500027,5.548243,5.813524,5.566926
559.000027,5.553851,5.821730,5.573101
559.500027,5.559538,5.829901,5.578997
560.000027,5.564190,5.837187,5.583818
560.500027,5.568165,5.843714,5.587794
561.000027,5.571914,5.849905,5.591827
561.500027,5.575621,5.855933,5.595694
562.000027,5.579245,5.861611,5.599476
562.500027,5.582564,5.866806,5.602984
563.000027,5.585084,5.870845,5.605635
563.500027,5.587143,5.874656,5.607983
564.000027,5.589013,5.878122,5.610027
564.500027,5.590836,5.881559,5.612068
565.000027,5.592879,5.884829,5.614236
565.500027,5.594678,5.887776,5.615990
566.000027,5.597045,5.891141,5.618336
566.500027,5.599009,5.894169,5.620270
567.000027,5.600804,5.896977,5.622110
567.500027,5.602136,5.899435,5.623430
568.000027,5.604322,5.902829,5.625634
568.500027,5.607875,5.907780,5.629302
569.000027,5.612774,5.914207,5.634393
569.500027,5.618141,5.921262,5.639926
570.000027,5.623102,5.928267,5.644969
570.500027,5.627752,5.935045,5.649703
571.000027,5.631865,5.941267,5.653881
571.500027,5.636073,5.947589,5.658207
572.000027,5.640139,5.954010,5.662347
572.500027,5.644410,5.960883,5.666667
573.000027,5.648400,5.967661,5.670647
573.500027,5.651769,5.973723,5.674063
574.000027,5.654238,5.978580,5.676601
574.500027,5.656321,5.982637,5.678606
575.000027,5.658131,5.986322,5.680411
575.500027,5.660704,5.990725,5.682865
576.000027,5.663854,5.995906,5.686170
576.500027,5.667460,6.001284,5.689817
577.000027,5.670375,6.006025,5.692809
577.500027,5.672329,6.009459,5.694440
578.000027,5.674001,6.012959,5.696049
578.500027,5.676769,6.017641,5.698760
579.000027,5.681064,6.024049,5.703189
579.500027,5.685972,6.031003,5.707912
580.000027,5.690188,6.037393,5.711946
580.500027,5.693668,6.043554,5.715357
581.000027,5.697833,6.050822,5.719405
581.500027,5.703015,6.059330,5.724345
582.000027,5.708768,6.068328,5.729634
582.500027,5.713010,6.075906,5.733596
583.000027,5.715961,6.082127,5.736219
583.500027,5.718363,6.087866,5.738316
584.000027,5.721368,6.093828,5.740803
584.500027,5.724913,6.100286,5.743858
585.000027,5.728071,6.106173,5.746537
585.500027,5.730152,6.110730,5.748209
586.000027,5.731310,6.114429,5.749145
586.500027,5.732380,6.117601,5.749947
587.000027,5.733747,6.121230,5.750963
587.500027,5.734845,6.124159,5.751727
588.000027,5.735995,6.127248,5.752424
588.500027,5.738345,6.131581,5.754466
589.000027,5.741310,6.136706,5.756867
589.500027,5.744407,6.142347,5.759418
590.000027,5.747204,6.148319,5.761676
590.500027,5.751245,6.156204,5.764824
591.000027,5.756511,6.166133,5.769103
591.500027,5.762511,6.177103,5.773498
592.000027,5.767658,6.188010,5.776825
592.500027,5.770901,6.197839,5.777684
593.000027,5.773308,6.208112,5.776746
593.500027,5.775268,6.219041,5.773711
594.000027,5.778197,6.232568,5.767896
594.500027,5.779437,6.995426,5.764349
