?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
617.500026,5.848010,5.946322,5.839512
618.000026,5.850702,5.949324,5.842301
618.500026,5.853466,5.952391,5.845015
619.000026,5.857026,5.956296,5.848704
619.500026,5.861856,5.961374,5.853441
620.000026,5.866510,5.966190,5.858101
620.500026,5.870151,5.970037,5.861723
621.000026,5.872629,5.972868,5.864240
621.500026,5.875354,5.975950,5.866947
622.000026,5.879311,5.980140,5.870752
622.500026,5.884087,5.985080,5.875478
623.000026,5.888328,5.989534,5.879625
623.500026,5.891491,5.992915,5.882700
624.000026,5.894854,5.996588,5.886030
624.500026,5.899240,6.001224,5.890420
625.000026,5.904032,6.006306,5.895118
625.500026,5.908368,6.010930,5.899338
626.000026,5.912525,6.015544,5.903449
626.500026,5.917208,6.020706,5.908249
627.000026,5.922234,6.026086,5.913178
627.500026,5.927320,6.031503,5.918303
628.000026,5.932305,6.036681,5.923173
628.500026,5.937334,6.041937,5.928278
629.000026,5.942336,6.047197,5.933102
629.500026,5.946947,6.052225,5.937683
630.000026,5.951135,6.056802,5.941716
630.500026,5.955399,6.061495,5.945957
631.000026,5.960380,6.066751,5.950839
631.500026,5.945660,6.051246,5.936981
632.000026,5.929442,6.034075,5.921437
632.500026,5.911449,6.015247,5.904056
633.000026,5.912415,6.016317,5.904718
633.500026,5.913438,6.017515,5.905720
634.000026,5.914256,6.018355,5.906718
634.500026,5.914678,6.018265,5.906816
635.000026,5.913319,6.016535,5.905479
635.500026,5.910854,6.013572,5.902665
636.000026,5.906539,6.009413,5.898826
636.500026,5.903160,6.006009,5.895536
637.000026,5.900801,6.003341,5.893193
637.500026,5.899270,6.001859,5.891772
638.000026,5.898353,6.000898,5.890873
638.500026,5.898264,6.000934,5.890826
639.000026,5.899064,6.001686,5.891529
639.500026,5.899195,6.001855,5.891541
640.000026,5.898110,6.001035,5.890736
640.500026,5.897904,6.000871,5.890564
641.000026,5.899849,6.002827,5.892420
641.500026,5.903562,6.006597,5.896038
642.000026,5.907210,6.010458,5.899664
642.500026,5.910473,6.013569,5.902701
643.000026,5.913816,6.016924,5.905629
643.500026,5.918051,6.021505,5.909775
644.000026,5.924037,6.028303,5.916130
644.500026,5.931376,6.036369,5.923880
645.000026,5.939925,6.044990,5.932134
645.500026,5.947478,6.052966,5.939499
646.000026,5.954381,6.060352,5.946286
646.500026,5.961634,6.068428,5.953841
647.000026,5.971730,6.078900,5.963806
647.500026,5.983879,6.091702,5.975898
648.000026,5.996670,6.104986,5.988471
648.500026,6.008249,6.117196,5.999983
649.000026,6.019143,6.128723,6.010716
649.500026,6.030038,6.140494,6.021421
650.000026,6.041219,6.152670,6.032453
650.500026,6.052328,6.164571,6.043274
651.000026,6.062936,6.176158,6.053690
651.500026,6.072704,6.186883,6.063225
652.000026,6.082296,6.197377,6.072562
652.500026,6.091009,6.206737,6.080914
653.000026,6.099688,6.216053,6.089241
653.500026,6.107364,6.224464,6.096720
654.000026,6.113688,6.231561,6.102916
654.500026,6.118699,6.237255,6.107983
655.000026,6.123691,6.242895,6.112981
655.500026,6.129835,6.249549,6.118997
656.000026,6.135907,6.256001,6.124789
656.500026,6.140322,6.260608,6.128912
657.000026,6.142926,6.263571,6.131442
657.500026,6.145305,6.266523,6.133775
658.000026,6.148397,6.270056,6.136804
658.500026,6.152238,6.274180,6.140485
659.000026,6.155420,6.277574,6.143575
659.500026,6.157501,6.280167,6.145744
660.000026,6.158685,6.281770,6.146952
660.500026,6.159683,6.282969,6.147832
661.000026,6.161105,6.284539,6.149031
661.500026,6.162269,6.285788,6.150113
662.000026,6.163006,6.286712,6.150820
662.500026,6.163203,6.287044,6.151092
663.000026,6.164066,6.288025,6.151958
663.500026,6.165917,6.289860,6.153707
664.000026,6.167768,6.291740,6.155373
664.500026,6.168718,6.292790,6.156195
665.000026,6.168463,6.292696,6.155863
665.500026,6.168708,6.293057,6.156118
666.000026,6.170306,6.294821,6.157612
666.500026,6.173580,6.298152,6.160891
667.000026,6.177286,6.302093,6.164504
667.500026,6.181144,6.306252,6.168349
668.000026,6.185813,6.311530,6.172866
668.500026,6.192614,6.319048,6.179573
669.000026,6.200848,6.327988,6.187719
669.500026,6.209192,6.337100,6.195837
670.000026,6.217103,6.345466,6.203198
670.500026,6.224867,6.353979,6.210557
671.000026,6.232808,6.362747,6.218241
671.500026,6.240336,6.371329,6.225787
672.000026,6.246831,6.378611,6.231955
672.500026,6.252006,6.384498,6.236745
673.000026,6.256350,6.389474,6.240548
673.500026,6.260462,6.394138,6.244238
674.000026,6.264984,6.399188,6.248503
674.500026,6.269264,6.403985,6.252618
675.000026,6.272623,6.407936,6.255941
675.500026,6.274735,6.410485,6.257893
