?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.057703,0.057912,0.057552
20.000000,0.180347,0.182697,0.181940
30.000000,0.323681,0.325115,0.323659
40.000000,0.448178,0.449102,0.447119
50.000000,0.562044,0.560248,0.557955
60.000000,0.675462,0.674473,0.671903
70.000000,0.816431,0.813930,0.810893
80.000000,0.931078,0.928400,0.924595
90.000000,1.073743,1.069613,1.065210
100.000000,1.181978,1.178780,1.174427
110.000000,1.309506,1.305671,1.301680
120.000000,1.416078,1.413181,1.409080
130.000000,1.531823,1.528655,1.524357
140.000000,1.645573,1.642489,1.637335
150.000000,1.770054,1.767024,1.761345
160.000000,1.905923,1.902187,1.895597
170.000000,2.054056,2.051924,2.044803
180.000000,2.216449,2.213565,2.205938
190.000000,2.385682,2.382918,2.375096
200.000000,2.553953,2.549828,2.541844
210.000000,2.723506,2.719140,2.711343
220.000000,2.873690,2.869564,2.861852
230.000000,3.013478,3.009014,3.000911
240.000000,3.127121,3.122522,3.113540
250.000000,3.251795,3.248351,3.238500
260.000000,3.371559,3.368447,3.358036
270.000000,3.492096,3.492120,3.480776
280.000000,3.599042,3.599990,3.587555
290.000000,3.701712,3.703090,3.689542
300.000000,3.805379,3.804912,3.790520
310.000000,3.902364,3.906258,3.890776
320.000000,4.002646,4.007533,3.990941
330.000000,4.099261,4.107292,4.089245
340.000000,4.199286,4.203950,4.184417
350.000000,4.292163,4.298394,4.277272
360.000000,4.367141,4.373858,4.351179
370.000000,4.438128,4.445460,4.421250
380.000000,4.509117,4.516410,4.490471
390.000000,4.592371,4.599569,4.571772
400.000000,4.680971,4.689959,4.660242
410.000000,4.771770,4.783653,4.751897
420.000000,4.867133,4.880979,4.846787
430.000000,4.955327,4.971210,4.934410
440.000000,5.046970,5.065264,5.025754
450.000000,5.134450,5.154825,5.112869
460.000000,5.224975,5.247421,5.202831
470.000000,5.283153,5.307675,5.261130
471.000014,5.319327,5.344890,5.297310
472.000014,5.329594,5.356354,5.308385
473.000014,5.341141,5.367294,5.318877
474.000014,5.350887,5.378082,5.329265
475.000014,5.361935,5.389379,5.340277
476.000014,5.372354,5.399891,5.350736
477.000014,5.379189,5.409518,5.359884
478.000014,5.382754,5.417751,5.367812
479.000014,,5.425037,5.374580
480.000014,5.401372,5.431864,5.381386
481.000014,5.406271,5.439150,5.388463
482.000014,5.414755,5.446104,5.395275
483.000014,5.421133,5.454181,5.403012
484.000014,5.429528,5.463211,5.411681
485.000014,5.441072,5.474598,5.422624
486.000014,5.454050,5.486565,5.434003
487.000014,5.464075,5.498885,5.445768
488.000014,5.475575,5.511482,5.457995
489.000014,5.486343,5.522333,5.468524
490.000014,5.497564,5.531683,5.477574
491.000014,5.503992,5.539966,5.485487
492.000014,5.508152,5.547150,5.492539
493.000014,5.513800,5.553246,5.498243
494.000014,5.518475,5.558034,5.502837
495.000014,5.524984,5.563724,5.508242
496.000014,5.532418,5.570813,5.515188
497.000014,5.541852,5.580598,5.524561
498.000014,5.555841,5.593337,5.536788
499.000014,5.567849,5.607275,5.550223
500.000014,5.583323,5.620782,5.563143
501.000014,5.593374,5.632998,5.574848
502.000014,5.604919,5.643726,5.585034
503.000014,5.614537,5.654058,5.595002
504.000014,5.623681,5.662175,5.602740
505.000014,5.630383,5.669303,5.609548
506.000014,5.633453,5.674636,5.614700
507.000014,5.638574,5.680252,5.620143
508.000014,5.646413,5.687952,5.627519
509.000014,5.657065,5.697403,5.636471
510.000014,5.668542,5.708431,5.646910
511.000014,5.679115,5.719656,5.657997
512.000014,5.688014,5.730893,5.668680
513.000014,5.697697,5.741422,5.678892
514.000014,5.706484,5.750834,5.687806
515.000014,5.715429,5.758815,5.695630
516.000014,5.721616,5.765681,5.701918
517.000014,5.728345,5.772700,5.708549
518.000014,5.737299,5.780066,5.715688
519.000014,5.745050,5.787743,5.723296
520.000014,5.753480,5.796750,5.731711
521.000014,5.763361,5.807904,5.742074
522.000014,5.774581,5.820793,5.754277
523.000014,5.786079,5.834505,5.767245
524.000014,5.798146,5.847420,5.779630
525.000014,5.810238,5.858520,5.790332
526.000014,5.820879,5.867840,5.799562
527.000014,5.828485,5.875990,5.807540
528.000014,5.835724,5.883478,5.814478
529.000014,5.841957,5.889822,5.820488
530.000014,5.847040,5.894793,5.825273
531.000014,5.850556,5.899825,5.830459
532.000014,5.856670,5.904958,5.835267
533.000014,5.863780,5.912708,5.842590
534.000014,5.874784,5.923037,5.852263
535.000014,5.884533,5.935729,5.864436
536.000014,5.896660,5.949810,5.877793
537.000014,5.908747,5.964512,5.891759
538.000014,5.923600,5.978522,5.905186
539.000014,5.934554,5.990104,5.916314
540.000014,5.945852,6.000488,5.926439
541.000014,5.954310,6.009648,5.934932
542.000014,5.961589,6.017579,5.942470
543.000014,5.967824,6.023990,5.948254
544.000014,5.973087,6.028610,5.953015
545.000014,5.977954,6.032802,5.956972
546.000014,5.982467,6.036920,5.960865
547.000014,5.986246,6.041923,5.965491
548.000014,5.992297,6.048927,5.971995
549.000014,6.001408,6.058435,5.981287
550.000014,6.011605,6.070219,5.992297
551.000014,6.024505,6.084105,6.005596
552.000014,6.036565,6.098508,6.019253
553.000014,6.051305,6.112259,6.032299
554.000014,6.063209,6.124362,6.043678
555.000014,6.072466,6.134498,6.053089
556.000014,6.080537,6.143361,6.061551
557.000014,6.088215,6.150810,6.068806
558.000014,6.096655,6.157949,6.075512
559.000014,6.102080,6.163689,6.080993
560.000014,6.108182,6.168473,6.085218
561.000014,6.111903,6.172738,6.089309
562.000014,6.115370,6.177652,6.093580
563.000014,6.120660,6.184232,6.099970
564.000014,6.130620,6.193908,6.109295
565.000014,6.140905,6.206327,6.121282
566.000014,6.155613,6.221260,6.135385
567.000014,6.169291,6.235633,6.148815
568.000014,6.185375,6.250235,6.162717
569.000014,6.196209,6.263068,6.174866
570.000014,6.205624,6.273327,6.184461
571.000014,6.215251,6.282623,6.193346
572.000014,6.224943,6.290711,6.201031
573.000014,6.230163,6.298026,6.207924
574.000014,6.235535,6.304365,6.213920
575.000014,6.238676,6.308485,6.217880
576.000014,6.245253,6.313053,6.222331
577.000014,6.250072,6.317464,6.226400
578.000014,6.256982,6.326254,6.234395
579.000014,6.267097,6.337539,6.244996
580.000014,6.278638,6.349986,6.256489
581.000014,6.292993,6.363538,6.269460
582.000014,6.305154,6.376517,6.281652
583.000014,6.315518,6.389334,6.293945
584.000014,6.325682,6.400284,6.304194
585.000014,6.335528,6.410044,6.313229
586.000014,6.344898,6.418042,6.320568
587.000014,6.351693,6.424496,6.326606
588.000014,6.356652,6.430668,6.332443
589.000014,6.360847,6.436418,6.338000
590.000014,6.367258,6.443261,6.344434
591.000014,6.374460,6.449684,6.350438
592.000014,6.382751,6.457268,6.357352
593.000014,6.390490,6.465993,6.365497
594.000014,6.401176,6.477147,6.376102
595.000014,6.413944,6.490513,6.388511
596.000014,6.425934,6.503339,6.400598
597.000014,6.436114,6.515568,6.411963
598.000014,6.446354,6.527032,6.422864
599.000014,6.455483,6.536648,6.431734
600.000014,6.464229,6.544355,6.438752
601.000014,6.471967,6.551355,6.445184
602.000014,6.477224,6.557019,6.450323
603.000014,6.481260,6.562593,6.455681
604.000014,6.485868,6.568244,6.461050
605.000014,6.494441,6.576825,6.469287
606.000014,6.506516,6.589592,6.481130
607.000014,6.520292,6.603816,6.494228
608.000014,6.534564,6.619334,6.508509
609.000014,6.547560,6.632877,6.521117
610.000014,6.558451,6.645096,6.532631
611.000014,6.567581,6.654822,6.541631
612.000014,6.575780,6.663227,6.549384
613.000014,6.583444,6.670872,6.556544
614.000014,6.589083,6.676813,6.562202
615.000014,6.594557,6.682607,6.567624
616.000014,6.599262,6.687314,6.571853
617.000014,6.603248,6.691216,6.575207
618.000014,6.607434,6.695384,6.579175
619.000014,6.612213,6.700479,6.584013
620.000014,6.617966,6.707291,6.590424
621.000014,6.624187,6.716896,6.599038
622.000014,6.634969,6.728503,6.609513
623.000014,6.649844,6.743544,6.623555
624.000014,6.666757,6.759042,6.638082
625.000014,6.679227,6.773789,6.651694
626.000014,6.691143,6.787516,6.664459
627.000014,6.700107,6.797879,6.673733
628.000014,6.709327,6.807034,6.682213
629.000014,6.717781,6.815198,6.689480
630.000014,6.724793,6.822475,6.696518
631.000014,6.729732,6.829040,6.702507
632.000014,6.734345,6.834115,6.707061
633.000014,6.738631,6.837705,6.709948
634.000014,6.744235,6.842731,6.714671
635.000014,6.749045,6.849242,6.720649
636.000014,6.756219,6.859944,6.730638
637.000014,6.768516,6.872456,6.742043
638.000014,6.782368,6.885961,6.754416
639.000014,6.794712,6.900199,6.767420
640.000014,6.805446,6.912418,6.778466
641.000014,6.812608,6.923323,6.788374
642.000014,6.821626,6.932696,6.796830
643.000014,6.828831,6.940933,6.804306
644.000014,6.837232,6.947859,6.810400
645.000014,6.844074,6.953575,6.815359
646.000014,6.847351,6.959090,6.820244
647.000014,6.855738,6.967340,6.827742
648.000014,6.862692,6.977723,6.837169
649.000014,6.878489,6.991560,6.849709
650.000014,6.890997,7.005573,6.862155
651.000014,6.906690,7.018483,6.873667
652.000014,6.916753,7.029690,6.883472
653.000014,6.924666,7.039538,6.892305
654.000014,6.932127,7.047687,6.899401
655.000014,6.939011,7.055297,6.906056
656.000014,6.946003,7.061392,6.911344
657.000014,6.950858,7.067023,6.916358
658.000014,6.954544,7.071955,6.921019
659.000014,6.960591,7.078286,6.926842
660.000014,6.968595,7.086893,6.934493
661.000014,6.979333,7.097863,6.944081
662.000014,6.988892,7.109297,6.954179
663.000014,6.997981,7.121034,6.964671
664.000014,7.007587,7.132650,6.974756
665.000014,7.018411,7.144055,6.984625
666.000014,7.029142,7.154793,6.993859
667.000014,7.037939,7.164221,7.002071
668.000014,7.045960,7.173105,7.009570
669.000014,7.052988,7.180474,7.015862
670.000014,7.059555,7.187557,7.021902
671.000014,7.063330,7.194644,7.028023
672.000014,7.069098,7.202170,7.034531
673.000014,7.075465,7.209525,7.041011
674.000014,7.084936,7.218034,7.048414
675.000014,7.095391,7.228517,7.057451
676.000014,7.107947,7.241825,7.068931
677.000014,7.119721,7.255034,7.080101
678.000014,7.131772,7.268534,7.091684
679.000014,7.139809,7.280772,7.101798
680.000014,7.148800,7.291176,7.110424
681.000014,7.156254,7.300672,7.118282
682.000014,7.164681,7.308006,7.124370
683.000014,7.169836,7.314523,7.129661
684.000014,7.175557,7.319921,7.134177
685.000014,7.181131,7.325399,7.138615
686.000014,7.186690,7.332335,7.144435
687.000014,7.193603,7.341666,7.151874
688.000014,7.204409,7.353995,7.162215
689.000014,7.217861,7.367373,7.173233
690.000014,7.229717,7.380623,7.183701
691.000014,7.239918,7.392941,7.193417
692.000014,7.248354,7.404019,7.202137
693.000014,7.255088,7.413992,7.210158
694.000014,7.261791,7.421609,7.216028
695.000014,7.269032,7.428821,7.221709
696.000014,7.274629,7.433335,7.225137
697.000014,7.278362,7.438474,7.229062
698.000014,7.282367,7.443882,7.233407
699.000014,7.290534,7.452305,7.240048
700.000014,7.301264,7.463594,7.249267
701.000014,7.310452,7.476561,7.259239
702.000014,7.321396,7.490152,7.269624
703.000014,7.332300,7.503744,7.279603
704.000014,7.344386,7.515473,7.287901
705.000014,7.352152,7.525880,7.295478
706.000014,7.358646,7.534686,7.301716
707.000014,7.365976,7.544201,7.308859
708.000014,7.374391,7.553360,7.315429
709.000014,7.382391,7.562377,7.321946
710.000014,7.389914,7.571345,7.328353
711.000014,7.396475,7.580921,7.335239
712.000014,7.402289,7.589699,7.340915
713.000014,7.407317,7.599338,7.347554
714.000014,7.412658,7.608785,7.353866
715.000014,7.420948,7.618439,7.360474
716.000014,7.430094,7.627634,7.366348
717.000014,7.439324,7.637341,7.372789
718.000014,7.446609,7.647056,7.379046
719.000014,7.454725,7.656985,7.385213
720.000014,7.464218,7.667660,7.391756
721.000014,7.471790,7.678590,7.398507
722.000014,7.478866,7.689060,7.404648
723.000014,7.485684,7.699579,7.410780
724.000014,7.494496,7.710098,7.416564
725.000014,7.503379,7.721763,7.423524
726.000014,7.511062,7.732407,7.429160
727.000014,7.517425,7.743484,7.435261
728.000014,7.523508,7.753758,7.440398
729.000014,7.530260,7.764264,7.445733
730.000014,7.538492,7.775300,7.451231
