?? [s],A 1.dY [mm],B1.dY [mm],B2.dY [mm],C1.dY [mm]
551.000014,5.317858,5.629230,5.658469,5.373423
552.000014,5.323607,5.641530,5.670605,5.381774
553.000014,5.328048,5.651993,5.681038,5.388519
554.000014,5.332281,5.661506,5.690455,5.394655
555.000014,5.335237,5.669246,5.698306,5.399424
556.000014,5.337723,5.675669,5.704752,5.403275
557.000014,5.340658,5.682834,5.711987,5.407881
558.000014,5.344314,5.691312,5.720309,5.413482
559.000014,5.349967,5.703475,5.732455,5.422017
560.000014,5.356180,5.718175,5.747155,5.432062
561.000014,5.361877,5.735006,5.764298,5.442995
562.000014,5.365287,5.752398,5.781748,5.453048
563.000014,5.365119,5.769608,5.798773,5.461403
564.000014,5.358682,5.788618,5.817232,5.468612
565.000014,4.203134,6.455771,6.475812,4.339618
566.000014,3.045131,7.115558,7.126992,3.204403
567.000014,1.885068,7.763833,7.767125,2.059610
568.000014,1.869068,7.755623,7.758821,2.043631
569.000014,1.851680,7.748380,7.751764,2.026233
570.000014,1.836103,7.746188,7.749428,2.010831
571.000014,1.827931,7.745794,7.748969,2.002520
572.000014,,,,
