?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,-0.002032,-0.003080,-0.002881,-0.003341,-0.002717
33.480555,-0.002115,-0.002992,-0.002275,-0.003261,-0.003075
43.480555,-0.000105,-0.000790,-0.000556,-0.001167,-0.000869
53.480555,0.004149,0.003609,0.004049,0.003715,0.003617
60.939417,0.000690,0.000103,0.000571,-0.000065,0.000073
65.939417,0.003045,0.002600,0.002960,0.002480,0.002340
67.482770,0.003383,0.002612,0.003015,0.002446,0.002788
67.982770,0.002286,0.001825,0.001916,0.001745,0.001779
68.482770,0.002102,0.001862,0.002217,0.002084,0.001805
68.982770,0.000965,0.000521,0.001061,0.000591,0.000853
69.482770,0.001677,0.001146,0.001356,0.001188,0.001142
69.982770,0.000966,0.000402,0.000671,0.000301,0.000020
70.482770,0.002370,0.002070,0.002305,0.002033,0.001905
70.982770,0.002213,0.001323,0.002040,0.001590,0.001832
71.482770,0.001255,0.000425,0.000557,0.000099,0.000342
71.982770,0.002328,0.001200,0.001451,0.001522,0.001201
72.482770,0.002610,0.001521,0.002386,0.001614,0.001610
72.982770,0.002358,0.001470,0.001755,0.001439,0.001507
166.099737,0.083722,0.082537,0.083333,0.082517,0.082422
176.099737,0.025691,0.024301,0.025291,0.024939,0.024018
186.099737,0.022636,0.021306,0.022436,0.021939,0.020636
197.296896,0.024837,0.023566,0.024780,0.024293,0.024083
202.296896,0.024966,0.023564,0.024560,0.023754,0.023131
207.296896,0.023338,0.021891,0.023435,0.022438,0.021994
257.292142,0.025501,0.024131,0.025595,0.024730,0.024779
267.292142,0.038083,0.037467,0.038447,0.038163,0.038175
277.292142,0.152835,0.152948,0.153811,0.152720,0.152348
287.292142,0.235456,0.235579,0.236854,0.235801,0.235484
297.292142,0.274341,0.274578,0.277613,0.275201,0.275385
307.292142,0.285492,0.287027,0.289779,0.287266,0.287513
317.292142,0.314142,0.314919,0.319335,0.316141,0.316437
327.292142,0.409929,0.411455,0.415590,0.412330,0.412354
337.292142,0.442421,0.444057,0.447794,0.445057,0.444546
347.292142,0.474732,0.476514,0.480444,0.476797,0.477101
357.292142,0.520900,0.522727,0.527283,0.522856,0.523355
367.292142,0.568214,0.570183,0.574884,0.570508,0.571401
377.292142,0.613471,0.615360,0.620227,0.616255,0.616820
387.292142,0.657039,0.659108,0.663898,0.659871,0.660136
397.292142,0.697900,0.699916,0.705047,0.701134,0.701363
407.292142,0.767008,0.769694,0.775715,0.771229,0.771516
417.292142,0.804786,0.807929,0.814169,0.808448,0.809309
427.292142,0.854820,0.857363,0.863969,0.858435,0.859790
437.292142,0.925097,0.927418,0.934685,0.929454,0.930150
447.292142,0.970331,0.972451,0.979950,0.974741,0.974733
457.292142,1.062449,1.064549,1.071743,1.066500,1.067415
467.292142,1.147037,1.149806,1.156697,1.151481,1.152032
477.292142,1.188474,1.190572,1.195845,1.192098,1.193237
487.292142,1.282032,1.284237,1.289830,1.285397,1.286532
497.292142,1.366589,1.368749,1.374685,1.370187,1.370532
507.292142,1.420212,1.422350,1.428225,1.423548,1.424184
517.292142,1.572236,1.574529,1.580879,1.576052,1.576404
527.292142,1.630570,1.632931,1.639524,1.634699,1.634502
537.292142,1.665750,1.668259,1.673694,1.669510,1.670026
547.292142,1.782582,1.784662,1.790867,1.786142,1.786610
557.292142,1.843486,1.846049,1.850895,1.846697,1.847177
567.292142,1.952670,1.955045,1.961234,1.956972,1.956873
577.292142,2.026308,2.028940,2.034195,2.029969,2.030535
587.292142,2.061261,2.063067,2.069360,2.065290,2.065958
597.292142,2.155408,2.158207,2.164852,2.160430,2.160488
607.292142,2.198785,2.201416,2.208313,2.204213,2.204203
617.292142,2.226246,2.228999,2.233645,2.230223,2.230988
627.292142,2.257293,2.259592,2.265974,2.261988,2.262534
637.292142,2.336280,2.339010,2.344344,2.340782,2.342141
647.292142,2.375250,2.378309,2.383537,2.379727,2.380973
657.292142,2.395456,2.398713,2.405190,2.400522,2.401525
667.292142,2.458951,2.463120,2.468301,2.464222,2.465922
677.292142,2.509768,2.514147,2.519000,2.515131,2.516785
687.292142,2.537891,2.543020,2.549118,2.544726,2.545912
697.292142,2.583281,2.588507,2.594127,2.590657,2.591650
707.292142,2.626338,2.631391,2.637237,2.633290,2.634618
717.292142,2.666747,2.672222,2.676904,2.674551,2.676068
727.292142,2.711854,2.717892,2.721532,2.720106,2.721133
737.292142,2.761864,2.768352,2.772179,2.770917,2.772219
747.292142,2.795261,2.802097,2.804860,2.804769,2.806496
757.292142,2.854546,2.861574,2.864154,2.864020,2.866385
767.292142,2.892814,2.900580,2.901908,2.902725,2.905468
777.292142,2.947958,2.955420,2.956883,2.958812,2.961101
787.292142,3.000630,3.008615,3.010164,3.012677,3.015017
797.292142,3.052842,3.061204,3.061522,3.064633,3.067648
807.292142,3.073829,3.083219,3.081970,3.085935,3.088945
817.292142,3.128295,3.138675,3.135499,3.141512,3.144940
827.292142,3.156721,3.167196,3.164658,3.170317,3.173703
837.292142,3.210182,3.221765,3.217606,3.224892,3.228664
847.292142,3.249627,3.262325,3.257376,3.265564,3.269029
