?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.006467,0.007114,0.007967,0.007250,0.007166
20.000000,0.031958,0.032993,0.034959,0.033356,0.033487
30.000000,0.058679,0.060834,0.063085,0.060957,0.060737
40.000000,0.073708,0.075471,0.077733,0.075368,0.075173
50.000000,0.154816,0.158939,0.162847,0.158798,0.158513
60.000000,0.201830,0.206595,0.211334,0.207137,0.207200
70.000000,0.231274,0.235752,0.240624,0.236390,0.236431
80.000000,0.253629,0.259070,0.264169,0.259465,0.258860
90.000000,0.352046,0.357021,0.362178,0.357627,0.357473
100.000000,0.401027,0.406120,0.410739,0.406233,0.406571
110.000000,0.451769,0.456727,0.461046,0.457055,0.457372
120.000000,0.500758,0.506072,0.510596,0.506180,0.506267
130.000000,0.529733,0.535423,0.540306,0.535698,0.535252
140.000000,0.609668,0.614764,0.620009,0.615696,0.615611
150.000000,0.640822,0.646327,0.650858,0.646955,0.646846
160.000000,0.662450,0.668212,0.672957,0.668696,0.668666
170.000000,0.726342,0.733100,0.737392,0.733224,0.733028
180.000000,0.763358,0.770219,0.774892,0.770309,0.770002
190.000000,0.778210,0.784907,0.789301,0.785255,0.785068
200.000000,0.886624,0.893152,0.898215,0.893860,0.894347
210.000000,0.959894,0.966871,0.969957,0.966996,0.966761
220.000000,0.995427,1.001171,1.004232,1.001427,1.001580
230.000000,1.032298,1.039021,1.043583,1.039442,1.039705
240.000000,1.164425,1.169834,1.171578,1.170112,1.170300
250.000000,1.238473,1.243253,1.244356,1.243283,1.242868
260.000000,1.281641,1.285752,1.287315,1.285609,1.285559
270.000000,1.369186,1.373233,1.374193,1.373378,1.373323
280.000000,1.465668,1.470146,1.470690,1.469768,1.470249
290.000000,1.512362,1.516324,1.516848,1.516286,1.516293
300.000000,1.617886,1.622139,1.622379,1.621706,1.621499
310.000000,1.688917,1.693290,1.693668,1.693143,1.693253
320.000000,1.778796,1.783013,1.783358,1.782943,1.783484
330.000000,1.912163,1.916857,1.917105,1.916166,1.916766
340.000000,1.970088,1.974648,1.976281,1.975468,1.975371
350.000000,1.984367,1.989654,1.991189,1.989518,1.989589
360.000000,2.102395,2.110113,2.114162,2.110450,2.110583
370.000000,2.162313,2.170626,2.175423,2.170796,2.170669
380.000000,2.172908,2.181252,2.186136,2.181163,2.181259
390.000000,2.240390,2.249556,2.254278,2.249777,2.249860
400.000000,2.284167,2.294003,2.298539,2.294551,2.294748
410.000000,2.311861,2.321020,2.324831,2.321028,2.321062
420.000000,2.355021,2.364510,2.368301,2.364751,2.364764
430.000000,2.403193,2.412909,2.416636,2.413005,2.413424
440.000000,2.434189,2.444743,2.448324,2.444840,2.445412
450.000000,2.477226,2.488399,2.491513,2.488435,2.488921
460.000000,2.512691,2.524141,2.526741,2.524138,2.524175
470.000000,2.556244,2.568172,2.570052,2.568104,2.568604
480.000000,2.606197,2.618591,2.620187,2.618586,2.619014
490.000000,2.649048,2.661807,2.662498,2.661503,2.661976
500.000000,2.685913,2.699087,2.699375,2.698644,2.699363
510.000000,2.741143,2.754755,2.754016,2.754400,2.755105
520.000000,2.786935,2.800744,2.799479,2.800369,2.801277
530.000000,2.811702,2.826724,2.825246,2.826959,2.827891
540.000000,2.894967,2.910969,2.907853,2.911277,2.912182
550.000000,2.920671,2.936792,2.932899,2.936326,2.937401
560.000000,2.937666,2.953817,2.949903,2.953953,2.955035
570.000000,3.019055,3.036433,3.030701,3.035722,3.037275
580.000000,3.048066,3.066924,3.060470,3.066592,3.067771
590.000000,3.077756,3.096555,3.089658,3.096551,3.098444
600.000000,3.129866,3.150395,3.141768,3.150105,3.151917
610.000000,3.161510,3.182122,3.172712,3.181574,3.183174
