?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.083691,0.083898,0.083932,0.084601,0.083853
20.000000,0.135016,0.135180,0.135015,0.136189,0.135153
30.000000,0.146679,0.147732,0.147535,0.147957,0.147394
40.000000,0.233213,0.234080,0.233522,0.234003,0.234035
50.000000,0.288403,0.289157,0.289085,0.289853,0.289170
60.000000,0.322724,0.323865,0.323601,0.323826,0.324400
70.000000,0.352313,0.353412,0.352636,0.354482,0.353838
80.000000,0.440265,0.441586,0.440842,0.436800,0.441700
90.000000,0.479884,0.481875,0.481078,0.482968,0.481159
100.000000,0.513371,0.515514,0.514707,0.516059,0.514969
110.000000,0.606994,0.609147,0.609283,0.609448,0.609605
120.000000,0.658931,0.660852,0.661779,0.661732,0.660902
130.000000,0.745488,0.748219,0.748793,0.748789,0.748151
140.000000,0.780182,0.782841,0.782664,0.784443,0.783233
150.000000,0.854526,0.856878,0.856149,0.858139,0.857094
160.000000,0.910090,0.911861,0.910769,0.913792,0.912084
170.000000,0.990863,0.992190,0.990564,0.993414,0.992753
180.000000,1.057564,1.058405,1.056846,1.053599,1.058452
190.000000,1.155034,1.156154,1.154745,1.151971,1.156635
200.000000,1.219960,1.221608,1.219666,1.221649,1.222110
210.000000,1.316373,1.318360,1.316515,1.318841,1.317973
220.000000,1.389330,1.390618,1.388704,1.391106,1.391097
230.000000,1.479823,1.481830,1.479590,1.481651,1.481802
240.000000,1.561041,1.562519,1.560241,1.562966,1.562394
250.000000,1.636725,1.638475,1.636460,1.638379,1.638933
260.000000,1.735448,1.737040,1.734457,1.736484,1.737187
270.000000,1.798162,1.800319,1.797549,1.800466,1.800135
280.000000,1.871971,1.874334,1.872158,1.874384,1.874411
290.000000,1.919441,1.921448,1.919455,1.921290,1.921356
300.000000,1.966269,1.968975,1.966254,1.968986,1.969037
310.000000,2.003715,2.006458,2.003303,2.006380,2.006471
320.000000,2.070104,2.073332,2.069731,2.074170,2.073515
330.000000,2.098617,2.101865,2.097953,2.101744,2.101708
340.000000,2.162193,2.165612,2.161384,2.160331,2.166354
350.000000,2.192645,2.196296,2.191861,2.196804,2.196786
360.000000,2.263909,2.268339,2.263344,2.263261,2.269197
370.000000,2.305755,2.310754,2.304705,2.311120,2.311465
380.000000,2.333890,2.339039,2.332825,2.338853,2.339325
390.000000,2.400716,2.406881,2.399660,2.408132,2.408498
400.000000,2.441876,2.448434,2.440574,2.449228,2.449490
410.000000,2.489877,2.496756,2.487793,2.497730,2.498184
420.000000,2.528523,2.535983,2.526363,2.535726,2.537513
430.000000,2.579391,2.587425,2.577298,2.589243,2.589783
440.000000,2.615468,2.623384,2.612842,2.624329,2.626001
450.000000,2.697422,2.706739,2.695531,2.708566,2.709666
460.000000,2.751320,2.761101,2.749344,2.756175,2.763876
470.000000,2.784392,2.794262,2.782159,2.796312,2.797630
480.000000,2.802819,2.814126,2.800559,2.815843,2.817372
490.000000,2.879629,2.891555,2.876801,2.894011,2.895364
500.000000,2.916933,2.929187,2.914475,2.925237,2.933357
510.000000,2.951010,2.964852,2.948396,2.966660,2.968630
520.000000,2.995876,3.010414,2.992917,3.005916,3.014396
530.000000,3.041919,3.057734,3.039125,3.060127,3.061944
540.000000,3.085920,3.101952,3.082339,3.098267,3.106297
550.000000,3.133281,3.150878,3.129609,3.147145,3.156097
560.000000,3.177171,3.195399,3.173311,3.198188,3.201124
570.000000,3.236897,3.256717,3.233213,3.259868,3.262909
580.000000,3.283715,3.304744,3.280148,3.301554,3.311812
590.000000,3.303100,3.325309,3.299852,3.327723,3.332378
600.000000,3.366182,3.389579,3.362072,3.393049,3.397028
610.000000,3.401267,3.425501,3.397891,3.428694,3.433549
620.000000,3.484118,3.510921,3.480604,3.514718,3.520719
630.000000,3.523698,3.551861,3.519971,3.556196,3.561881
640.000000,3.524727,3.552182,3.520386,3.556782,3.561812
650.000000,3.622843,3.654091,3.618345,3.658600,3.664317
660.000000,3.643837,3.675373,3.639275,3.680660,3.686240
670.000000,3.669116,3.702063,3.664308,3.706832,3.713224
680.000000,3.753877,3.789168,3.749336,3.787649,3.801082
690.000000,3.773057,3.809480,3.768255,3.814856,3.821662
700.000000,3.815260,3.852455,3.810367,3.851112,3.864370
710.000000,3.854878,3.894604,3.850479,3.894431,3.908437
720.000000,3.916491,3.957467,3.911030,3.957708,3.971880
730.000000,3.952034,3.994573,3.946166,3.995361,4.009169
740.000000,3.989841,4.033603,3.983492,4.033631,4.048975
750.000000,4.060751,4.106835,4.054137,4.113905,4.123939
760.000000,4.083392,4.131438,4.076636,4.138956,4.148741
770.000000,4.136260,4.185507,4.129136,4.192823,4.203022
780.000000,4.174474,4.225797,4.167167,4.234205,4.243758
790.000000,4.218185,4.271013,4.211194,4.273166,4.290262
800.000000,4.258496,4.313227,4.251738,4.315311,4.333127
810.000000,4.315842,4.373070,4.309073,4.375080,4.392892
820.000000,4.342113,4.400370,4.335407,4.409944,4.421920
830.000000,4.406094,4.467657,4.399405,4.477800,4.490086
840.000000,4.458667,4.521664,4.452310,4.531411,4.544329
850.000000,4.474372,4.538505,4.468607,4.542831,4.562017
860.000000,4.530166,4.598432,4.523717,4.602695,4.622834
870.000000,4.572937,4.641724,4.566941,4.652551,4.666787
880.000000,4.609420,4.680272,4.603444,4.686790,4.706945
890.000000,4.668496,4.741785,4.662272,4.753063,4.768168
900.000000,4.697645,4.772935,4.691720,4.779693,4.801594
910.000000,4.753901,4.831922,4.748865,4.837710,4.859242
920.000000,4.792777,4.874124,4.786821,4.879723,4.903481
930.208028,4.847767,4.932138,4.841829,4.945277,4.963504
935.208028,4.875213,4.961010,4.868964,4.969150,4.993037
940.208028,4.914905,5.000809,4.908431,5.014113,5.031729
945.208028,4.926887,5.013900,4.921024,5.028358,5.046536
950.208028,4.923929,5.010656,4.917452,5.024682,5.043125
955.208028,4.931461,5.018970,4.925470,5.026924,5.051909
960.208028,4.971674,5.063235,4.965425,5.072103,5.097290
965.208028,5.017995,5.111415,5.012184,5.125665,5.145586
970.208028,5.036762,5.131576,5.031033,5.146035,5.165881
975.208028,5.047023,5.142196,5.041302,5.157681,5.177324
980.208028,5.053092,5.149444,5.047585,5.164507,5.184644
985.208028,5.056360,5.152518,5.050282,5.167306,5.187350
990.208028,5.109275,5.209651,5.103253,5.218131,5.246455
995.208028,5.152467,5.255214,5.145993,5.270620,5.292466
998.495773,5.163943,5.268188,5.157917,5.283700,5.304787
998.995773,5.164159,5.268641,5.157952,5.284998,5.305413
999.495773,5.165209,5.269867,5.158834,5.285827,5.306651
999.995773,5.167710,5.272195,5.161316,5.282583,5.309012
1000.495773,5.168924,5.273669,5.162735,5.289003,5.310332
1000.995773,5.170044,5.274490,5.163984,5.290618,5.312198
1001.495773,5.169948,5.274689,5.163724,5.291029,5.311964
1001.995773,5.171206,5.276393,5.165439,5.292410,5.313403
1002.495773,5.172280,5.277505,5.166444,5.293951,5.314952
1002.995773,5.174567,5.280075,5.168531,5.295813,5.317223
1003.495773,5.176207,5.281679,5.170163,5.297940,5.319527
1003.995773,5.178309,5.283602,5.172266,5.299595,5.321758
1004.495773,5.179299,5.285107,5.173724,5.301279,5.322729
1004.995773,5.179651,5.285712,5.173273,5.301547,5.322866
1005.495773,5.179265,5.285035,5.173323,5.301347,5.322888
1005.995773,5.177715,5.283983,5.172010,5.300034,5.321411
1006.495773,5.176317,5.282694,5.170603,5.298418,5.320181
1006.995773,5.177078,5.283160,5.171294,5.299099,5.320760
