?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.027783,0.027946,0.026794,0.028642,0.028425
20.000000,0.181307,0.183385,0.182560,0.183892,0.184347
30.000000,0.262470,0.267046,0.266072,0.267370,0.268167
40.000000,0.303306,0.309607,0.310087,0.310695,0.310973
50.000000,0.318690,0.324762,0.325980,0.325494,0.325901
60.000000,0.377109,0.384409,0.385711,0.385059,0.385461
70.000000,0.433006,0.440665,0.441325,0.441550,0.441821
80.000000,0.496944,0.504134,0.504635,0.504914,0.505596
90.000000,0.542611,0.550081,0.550426,0.550933,0.551797
100.000000,0.591536,0.598931,0.599026,0.599917,0.600858
110.000000,0.652020,0.659841,0.659931,0.660917,0.661631
120.000000,0.678424,0.686814,0.686632,0.687753,0.687988
130.000000,0.755065,0.764064,0.763678,0.765431,0.766126
140.000000,0.798918,0.808472,0.808069,0.809447,0.810222
150.000000,0.811114,0.820892,0.820352,0.822475,0.823295
160.000000,0.884784,0.894935,0.893766,0.895765,0.897116
170.000000,0.922371,0.932812,0.931748,0.934057,0.935526
180.000000,0.995505,1.005927,1.003674,1.007269,1.008617
190.000000,1.067044,1.076640,1.074163,1.077876,1.079621
200.000000,1.118857,1.128663,1.126349,1.129379,1.130806
210.000000,1.226273,1.236205,1.233593,1.237629,1.239043
220.000000,1.286705,1.296331,1.293299,1.298273,1.299795
230.000000,1.395436,1.404974,1.402428,1.406192,1.407930
240.000000,1.468575,1.478518,1.475359,1.479873,1.481229
250.000000,1.542908,1.552891,1.550223,1.553774,1.554870
260.000000,1.663554,1.673421,1.670429,1.674927,1.676566
270.000000,1.715715,1.725316,1.722183,1.727308,1.728422
280.000000,1.762299,1.772002,1.769007,1.774136,1.775934
290.000000,1.915323,1.925215,1.922563,1.926626,1.928535
300.000000,1.970879,1.980726,1.977768,1.981663,1.983491
310.000000,2.000092,2.010567,2.007235,2.011828,2.013656
320.000000,2.053876,2.064565,2.060874,2.066191,2.068686
330.000000,2.107666,2.118527,2.114473,2.119408,2.121586
340.000000,2.207343,2.218289,2.215320,2.219443,2.221254
350.000000,2.257366,2.269551,2.265110,2.271029,2.273196
360.000000,2.300817,2.313538,2.308643,2.315313,2.317569
370.000000,2.343698,2.356486,2.350864,2.357924,2.360747
380.000000,2.402141,2.415784,2.409700,2.417640,2.420049
390.000000,2.418438,2.431246,2.425387,2.433578,2.435833
400.000000,2.492839,2.507806,2.500600,2.509811,2.512889
410.000000,2.562498,2.577551,2.569670,2.580187,2.583701
420.000000,2.588708,2.604797,2.596791,2.607042,2.610287
430.000000,2.621449,2.637936,2.629442,2.640136,2.643794
440.000000,2.695508,2.712527,2.702946,2.715683,2.719084
450.000000,2.726752,2.744660,2.734960,2.747875,2.752036
