?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.032676,0.031313,0.032879,0.031463,0.030954
20.000000,0.085448,0.083359,0.085266,0.083905,0.083181
30.000000,0.173991,0.171960,0.174627,0.172296,0.171676
40.000000,0.208529,0.205955,0.208956,0.206026,0.206509
50.000000,0.263281,0.260787,0.263508,0.260769,0.260671
60.000000,0.316633,0.315510,0.317841,0.316057,0.315814
70.000000,0.341217,0.338669,0.341939,0.339196,0.339408
80.000000,0.403216,0.401182,0.404227,0.401148,0.401492
90.000000,0.452418,0.450179,0.453761,0.450045,0.450194
100.000000,0.498526,0.496170,0.498876,0.496298,0.496454
110.000000,0.615581,0.612957,0.615954,0.613660,0.613606
120.000000,0.652179,0.649824,0.653283,0.650378,0.649751
130.000000,0.702321,0.699711,0.702811,0.700059,0.700306
140.000000,0.749106,0.746791,0.749667,0.747255,0.747374
150.000000,0.801493,0.800688,0.802488,0.801800,0.801961
160.000000,0.883166,0.882977,0.884336,0.884185,0.883918
170.000000,0.953977,0.954518,0.954524,0.954410,0.955144
180.000000,1.044172,1.044973,1.045076,1.045548,1.046072
190.000000,1.105545,1.106110,1.106446,1.106655,1.106868
200.000000,1.246285,1.246724,1.246787,1.247164,1.247389
210.000000,1.323563,1.324341,1.324798,1.324801,1.325749
220.000000,1.370656,1.371518,1.371700,1.371706,1.372462
230.000000,1.467427,1.468044,1.468896,1.468496,1.469134
240.000000,1.533347,1.533663,1.533926,1.534024,1.534185
250.000000,1.668125,1.668634,1.669258,1.668933,1.669670
260.000000,1.784017,1.783474,1.785281,1.784680,1.784975
270.000000,1.834575,1.833472,1.835815,1.833949,1.834512
280.000000,1.860889,1.859995,1.862384,1.860266,1.861022
290.000000,1.897329,1.895895,1.898426,1.896004,1.897497
300.000000,1.934182,1.932444,1.935033,1.933181,1.934397
310.000000,1.963943,1.963036,1.965277,1.964060,1.964392
320.000000,2.027958,2.027381,2.029264,2.028129,2.029721
330.000000,2.062234,2.061893,2.064001,2.063153,2.064094
340.000000,2.102564,2.102684,2.104500,2.103388,2.104525
350.000000,2.144675,2.144924,2.146763,2.145087,2.146913
360.000000,2.191706,2.192158,2.193959,2.192271,2.193957
370.000000,2.220265,2.221181,2.222508,2.221495,2.224257
380.000000,2.291426,2.292986,2.293995,2.293786,2.295176
390.000000,2.323716,2.326345,2.327535,2.326851,2.328179
400.000000,2.351317,2.353370,2.353791,2.353352,2.354902
410.000000,2.418417,2.422898,2.422501,2.423421,2.425932
420.000000,2.458044,2.463777,2.462779,2.464515,2.467353
430.000000,2.476993,2.483134,2.481713,2.484726,2.487187
440.000000,2.532553,2.539658,2.537706,2.541283,2.544236
450.000000,2.567488,2.575727,2.572917,2.576900,2.580046
460.000000,2.613324,2.622502,2.618828,2.623811,2.626869
470.000000,2.650239,2.661840,2.656595,2.662759,2.666517
480.000000,2.690175,2.702759,2.696844,2.703856,2.708299
490.000000,2.744276,2.758488,2.751286,2.759373,2.763537
500.000000,2.775092,2.790525,2.782556,2.791671,2.796882
510.000000,2.814286,2.831331,2.822575,2.832827,2.838610
520.000000,2.853513,2.872563,2.862721,2.874349,2.879916
530.000000,2.891682,2.912548,2.901545,2.915009,2.920703
540.000000,2.951780,2.974273,2.961871,2.976049,2.982666
550.000000,2.990855,3.014974,3.001770,3.016956,3.023831
560.000000,3.000932,3.026264,3.011751,3.028108,3.035149
570.000000,3.092918,3.122690,3.105320,3.124990,3.132696
580.000000,3.112885,3.145569,3.125986,3.148221,3.155987
590.000000,3.133605,3.166028,3.146467,3.167883,3.176214
600.000000,3.202368,3.240048,3.216562,3.242699,3.250913
610.000000,3.233835,3.273836,3.248912,3.276616,3.285770
620.000000,3.259999,3.301679,3.274950,3.303987,3.313853
630.000000,3.308137,3.354503,3.324213,3.357496,3.367279
640.000000,3.350871,3.401175,3.368244,3.403934,3.414654
650.000000,3.384237,3.437584,3.402255,3.440556,3.450911
660.000000,3.439619,3.498910,3.459243,3.501971,3.513517
670.000000,3.485578,3.547447,3.505588,3.550682,3.563087
680.000000,3.498848,3.563359,3.518930,3.568200,3.580536
690.000000,3.561788,3.633566,3.584083,3.636944,3.649574
700.000000,3.582166,3.657966,3.604439,3.662152,3.675718
710.000000,3.620883,3.702364,3.644374,3.706306,3.720615
720.000000,3.668024,3.755942,3.692119,3.760687,3.775891
730.000000,3.701755,3.795635,3.728476,3.799944,3.815619
740.000000,3.754704,3.857954,3.781842,3.862816,3.879224
750.000000,3.794086,3.902912,3.822415,3.908826,3.924663
760.000000,3.819534,3.939013,3.848170,3.944655,3.962131
770.000000,3.857038,3.985522,3.886737,3.991593,4.009419
780.000000,3.906939,4.049369,3.936969,4.055638,4.074191
790.000000,3.950930,4.108039,3.982878,4.114070,4.133190
800.000000,3.998416,4.197029,4.033584,4.204911,4.225764
810.000000,4.018478,4.231335,4.054206,4.239144,4.260119
820.000000,4.043984,4.257629,4.079405,4.265445,4.287477
834.937868,4.085494,4.357393,4.124563,4.366492,4.389293
839.937868,4.087409,4.365624,4.126439,4.374141,4.396307
844.937868,4.109620,4.435246,4.151321,4.444551,4.466789
849.937868,4.116457,4.549868,4.159703,4.561781,4.585384
854.937868,4.109448,4.621468,4.153672,4.633539,4.656968
859.937868,4.111627,4.660434,4.156022,4.672795,4.696113
864.937868,4.104508,4.700280,4.148059,4.713556,4.737191
869.937868,4.098277,4.743191,4.143188,4.758204,4.782652
874.937868,4.086442,4.801865,4.131207,4.815655,4.839043
879.787357,1.876319,5.819706,1.887482,5.823438,5.825431
880.287357,1.873409,5.817275,1.884862,5.821555,5.823455
880.787357,1.875340,5.819132,1.887022,5.823688,5.825331
881.287357,1.876506,5.819750,1.887202,5.823989,5.826280
881.787357,1.875647,5.817982,1.886069,5.822202,5.824569
882.287357,1.874833,5.817535,1.886530,5.821203,5.822893
882.787357,1.875445,5.819135,1.885977,5.823119,5.825247
883.287357,1.873779,5.816985,1.884960,5.820976,5.823760
883.787357,1.875568,5.818682,1.886243,5.823602,5.826123
