?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.098759,0.099646,0.098656,0.098984,0.100182
20.000000,0.165307,0.166853,0.165127,0.166109,0.166942
30.000000,0.199495,0.200871,0.200162,0.200370,0.201041
40.000000,0.281656,0.282922,0.281871,0.283276,0.284171
50.000000,0.328874,0.330585,0.329138,0.331250,0.330318
60.000000,0.387336,0.389664,0.387495,0.391726,0.390285
70.000000,0.440881,0.442234,0.440432,0.441831,0.443607
80.000000,0.496911,0.499562,0.496397,0.499660,0.498723
90.000000,0.548042,0.549895,0.548192,0.548846,0.548736
100.000000,0.583072,0.584659,0.582214,0.583877,0.584875
110.000000,0.676721,0.678714,0.677022,0.677662,0.678203
120.000000,0.721456,0.722996,0.721043,0.724733,0.721981
130.000000,0.735287,0.737077,0.735616,0.737149,0.736324
140.000000,0.849835,0.851573,0.850061,0.854140,0.850459
150.000000,0.905900,0.907552,0.906061,0.909633,0.906900
160.000000,0.941434,0.943179,0.941859,0.943914,0.942011
170.000000,1.009279,1.011690,1.010318,1.011382,1.011369
180.000000,1.093438,1.095865,1.094389,1.093538,1.095386
190.000000,1.135198,1.138813,1.136360,1.140424,1.138184
200.000000,1.239727,1.243474,1.239851,1.245303,1.241952
210.000000,1.300049,1.304550,1.301551,1.304311,1.303036
220.000000,1.397386,1.401942,1.399373,1.401682,1.400688
230.000000,1.477381,1.481738,1.478966,1.483943,1.480971
240.000000,1.565707,1.569961,1.565937,1.572181,1.568716
250.000000,1.645044,1.649464,1.646454,1.651072,1.648195
260.000000,1.723077,1.727833,1.724698,1.727888,1.725691
270.000000,1.799583,1.804515,1.799841,1.807491,1.802819
280.000000,1.904653,1.908784,1.905784,1.910398,1.907941
290.000000,1.957526,1.961952,1.957794,1.961385,1.961266
300.000000,2.036161,2.040637,2.036967,2.040833,2.041939
310.000000,2.066473,2.071890,2.068079,2.068124,2.071769
320.000000,2.097857,2.104259,2.100327,2.102580,2.103068
330.000000,2.155735,2.161715,2.156552,2.161477,2.161201
340.000000,2.176915,2.183473,2.177241,2.181760,2.182862
350.000000,2.238553,2.247337,2.240529,2.245677,2.247050
360.000000,2.279770,2.288625,2.281068,2.287257,2.289047
370.000000,2.297673,2.306290,2.299257,2.306704,2.305409
380.000000,2.366244,2.376187,2.366411,2.375361,2.375610
390.000000,2.416046,2.426981,2.416310,2.425235,2.426411
400.000000,2.433872,2.444701,2.435620,2.445704,2.444012
410.000000,2.499534,2.510872,2.500922,2.512737,2.511834
420.000000,2.538896,2.551083,2.541136,2.552374,2.552587
430.000000,2.589012,2.602161,2.590533,2.602982,2.601927
440.000000,2.641639,2.654452,2.642585,2.653618,2.654703
450.000000,2.685861,2.701065,2.687688,2.700659,2.700759
460.000000,2.729782,2.745739,2.732035,2.748627,2.744886
470.000000,2.788617,2.805073,2.790190,2.806395,2.804543
480.000000,2.832122,2.849728,2.834167,2.851941,2.850882
490.000000,2.881224,2.900629,2.883636,2.900363,2.900527
500.000000,2.922629,2.942729,2.926267,2.942091,2.943119
510.000000,2.964145,2.985420,2.968486,2.985491,2.987169
520.000000,3.020446,3.042679,3.023806,3.042887,3.042804
530.000000,3.062270,3.086131,3.066469,3.085304,3.087254
540.000000,3.109482,3.134734,3.113462,3.135281,3.135044
550.000000,3.152313,3.178821,3.156736,3.177580,3.179955
560.000000,3.203891,3.232262,3.208063,3.232043,3.232565
570.000000,3.240149,3.270141,3.244995,3.271937,3.270909
580.000000,3.331381,3.364401,3.337022,3.366221,3.365467
590.000000,3.375408,3.410048,3.381262,3.412416,3.411455
600.000000,3.409204,3.443855,3.414931,3.446588,3.444367
610.000000,3.421258,3.457466,3.428108,3.460398,3.458621
620.000000,3.480936,3.519964,3.487533,3.520501,3.520607
630.000000,3.521339,3.560867,3.528239,3.560848,3.562124
640.000000,3.559541,3.601260,3.567523,3.600468,3.603422
650.000000,3.604929,3.647962,3.613473,3.647956,3.649719
660.000000,3.653238,3.699433,3.662375,3.699370,3.701159
670.000000,3.700727,3.750351,3.710274,3.751980,3.752931
680.000000,3.754891,3.807121,3.765073,3.808253,3.809171
690.000000,3.769676,3.824024,3.779695,3.826526,3.826506
700.000000,3.808995,3.865324,3.818986,3.866999,3.867475
710.000000,3.877344,3.939096,3.888617,3.940809,3.940816
720.000000,3.916876,3.980086,3.928048,3.981072,3.982642
730.000000,3.934317,3.999698,3.946143,4.002253,4.002515
740.000000,3.996574,4.067223,4.009090,4.070921,4.070854
741.031351,3.999811,4.070503,4.012236,4.073788,4.073795
741.531351,4.004570,4.075393,4.016572,4.076012,4.078319
742.031351,4.005913,4.076840,4.018236,4.078374,4.080581
742.531351,4.007402,4.078316,4.019318,4.082644,4.081639
