?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.002344,0.002288,0.002268,0.002293,0.001990
20.000000,0.072049,0.071263,0.069974,0.072655,0.071383
30.000000,0.299017,0.296245,0.292838,0.296901,0.296081
40.000000,0.455974,0.452151,0.447343,0.453937,0.452381
50.000000,0.541620,0.537503,0.531404,0.537912,0.537356
60.000000,0.587757,0.583398,0.576663,0.583623,0.583010
70.000000,0.624291,0.619397,0.612926,0.619266,0.619369
80.000000,0.655884,0.650939,0.644420,0.651061,0.650998
90.000000,0.725846,0.720990,0.713292,0.721148,0.720578
100.000000,0.827100,0.822066,0.814827,0.823588,0.822113
110.000000,0.879500,0.874543,0.867490,0.876149,0.874636
120.000000,0.914998,0.910371,0.902990,0.911765,0.910013
130.000000,0.970480,0.965951,0.958367,0.967774,0.965966
140.000000,1.058329,1.054185,1.046502,1.054760,1.054019
150.000000,1.108533,1.104653,1.097876,1.105269,1.104630
160.000000,1.145893,1.142321,1.134858,1.142628,1.142062
170.000000,1.215556,1.212050,1.205438,1.212562,1.211972
180.000000,1.276167,1.272446,1.264755,1.272242,1.272356
190.000000,1.355527,1.351752,1.345135,1.352248,1.352139
200.000000,1.418283,1.414973,1.407928,1.415306,1.415823
210.000000,1.464007,1.461183,1.454298,1.461390,1.461896
220.000000,1.539096,1.537000,1.530434,1.537453,1.537140
230.000000,1.586946,1.584993,1.578263,1.586423,1.585526
240.000000,1.631029,1.628637,1.621888,1.629410,1.629281
250.000000,1.744365,1.741681,1.733843,1.741412,1.742418
260.000000,1.826293,1.823580,1.816083,1.824143,1.824498
270.000000,1.880629,1.877980,1.870112,1.877919,1.878850
280.000000,1.967302,1.964836,1.957557,1.965030,1.965393
290.000000,2.050517,2.048221,2.040456,2.048908,2.048737
300.000000,2.124324,2.122002,2.114072,2.121797,2.122494
310.000000,2.236917,2.234634,2.227373,2.235318,2.235065
320.000000,2.308482,2.306093,2.298321,2.305524,2.306526
330.000000,2.367905,2.365671,2.358201,2.365952,2.365878
340.000000,2.504254,2.502183,2.494719,2.502662,2.502599
350.000000,2.556527,2.554809,2.547467,2.556242,2.555180
360.000000,2.577248,2.575232,2.567871,2.576343,2.576136
370.000000,2.629890,2.628528,2.620162,2.628643,2.629304
380.000000,2.707777,2.706337,2.698109,2.706970,2.707298
390.000000,2.756365,2.755073,2.746511,2.756730,2.755754
400.000000,2.789805,2.788838,2.779632,2.790209,2.789677
410.000000,2.814080,2.812761,2.803519,2.813341,2.813782
420.000000,2.911718,2.911572,2.901591,2.911704,2.913057
430.000000,2.957664,2.957505,2.947105,2.957766,2.959541
440.000000,2.994684,2.994976,2.984130,2.995827,2.996136
450.000000,3.023260,3.023792,3.013676,3.024784,3.025515
460.000000,3.100523,3.101358,3.090453,3.101764,3.103729
470.000000,3.151280,3.152315,3.140852,3.152616,3.154896
480.000000,3.180609,3.182012,3.170330,3.183529,3.184236
490.000000,3.253429,3.255285,3.242547,3.256653,3.257676
500.000000,3.309700,3.311834,3.299012,3.313171,3.314465
510.000000,3.333561,3.336551,3.322451,3.336957,3.339071
520.000000,3.368490,3.371199,3.356891,3.372880,3.374282
530.000000,3.457097,3.460321,3.445377,3.462651,3.463885
540.000000,3.495700,3.499658,3.484160,3.501765,3.503151
550.000000,3.508844,3.512391,3.496499,3.514264,3.516126
560.000000,3.596903,3.601403,3.584196,3.603863,3.605704
570.000000,3.654353,3.659954,3.641745,3.661452,3.664645
580.000000,3.693739,3.699818,3.681547,3.702109,3.704471
590.000000,3.712964,3.719696,3.700872,3.722333,3.724395
600.000000,3.772900,3.780473,3.760841,3.783392,3.785493
610.000000,3.831493,3.839396,3.818907,3.842204,3.845092
620.000000,3.848180,3.856936,3.835779,3.858922,3.862263
630.000000,3.929689,3.938798,3.916859,3.940998,3.944576
640.000000,3.987588,3.998457,3.975481,4.000081,4.004526
650.000000,4.012728,4.024034,4.000452,4.026906,4.030486
660.000000,4.027041,4.039118,4.014165,4.040980,4.045794
670.000000,4.114906,4.127671,4.102321,4.130419,4.135189
680.000000,4.143972,4.158068,4.131719,4.161132,4.165868
690.000000,4.177921,4.191929,4.165126,4.194870,4.200296
700.000000,4.234043,4.249911,4.221591,4.253963,4.258999
710.000000,4.282131,4.298796,4.269663,4.302633,4.307882
720.000000,4.301657,4.318701,4.288179,4.321877,4.328145
730.000000,4.370525,4.389363,4.357926,4.393817,4.399523
740.000000,4.411061,4.430034,4.397609,4.434212,4.440489
750.000000,4.449252,4.470028,4.435327,4.473841,4.480962
760.000000,4.502694,4.524359,4.488913,4.528963,4.535651
770.000000,4.509623,4.531736,4.495995,4.536182,4.543209
780.000000,4.609975,4.634608,4.595898,4.639490,4.647411
790.000000,4.671084,4.696896,4.656298,4.701002,4.709788
800.000000,4.689143,4.715650,4.674199,4.720549,4.728423
810.000000,4.703682,4.730887,4.688999,4.736125,4.744084
820.000000,4.768847,4.797461,4.753404,4.802554,4.811827
830.000000,4.795354,4.825063,4.780107,4.830244,4.839288
840.000000,4.848659,4.879459,4.832659,4.884197,4.893948
850.000000,4.885019,4.917451,4.868948,4.923688,4.933342
860.000000,4.935824,4.968865,4.919925,4.974608,4.984375
870.000000,5.014383,5.050004,4.996760,5.056413,5.067097
880.000000,5.058471,5.095086,5.040727,5.101580,5.112645
890.000000,5.072078,5.110010,5.054742,5.116282,5.127624
900.000000,5.103050,5.142262,5.084927,5.149000,5.160622
905.102516,5.157426,5.197404,5.139229,5.204284,5.215696
910.102516,5.169084,5.210573,5.151120,5.216709,5.228897
915.102516,5.173987,5.215524,5.155633,5.222031,5.234639
920.102516,5.187696,5.229849,5.168947,5.236470,5.248761
925.102516,5.242978,5.285788,5.224256,5.292966,5.305113
930.102516,5.257148,5.301544,5.238588,5.308085,5.321068
935.102516,5.269901,5.314501,5.251162,5.321479,5.334784
940.102516,5.276897,5.322258,5.257432,5.329287,5.342334
945.102516,5.302865,5.349926,5.283509,5.356869,5.370405
950.102516,5.352074,5.399855,5.333569,5.406852,5.420877
955.102516,5.363178,5.411811,5.343537,5.418895,5.432952
960.102516,5.372159,5.421416,5.352284,5.428853,5.443040
965.102516,5.378984,5.428425,5.359049,5.436353,5.450149
970.102516,5.436985,5.487888,5.416817,5.495236,5.509578
975.102516,5.458397,5.511014,5.438576,5.519176,5.534038
980.102516,5.468371,5.521427,5.447621,5.529641,5.544416
985.102516,5.479974,5.534078,5.458747,5.541858,5.557237
990.102516,5.493317,5.548619,5.472454,5.556176,5.571865
995.102516,5.503220,5.558736,5.482275,5.567103,5.582519
1000.102516,5.548998,5.604929,5.527910,5.613130,5.628506
1005.102516,5.570151,5.627506,5.548410,5.635805,5.651525
1010.102516,5.585492,5.644509,5.564006,5.652646,5.669144
1015.102516,5.597883,5.657829,5.576280,5.666786,5.682793
1020.102516,5.612607,5.673354,5.590491,5.682002,5.698200
1021.365641,5.644872,5.705211,5.623139,5.713836,5.729499
1021.865641,5.644839,5.705252,5.623289,5.713747,5.729808
1022.365641,5.646988,5.707492,5.625468,5.716214,5.731961
1022.865641,5.651977,5.712541,5.630264,5.721613,5.737151
1023.365641,5.653677,5.714174,5.631909,5.723450,5.739203
1023.865641,5.654765,5.715331,5.632935,5.724429,5.740295
1024.365641,5.656064,5.716652,5.634414,5.725635,5.741741
1024.865641,5.658651,5.719583,5.636634,5.728123,5.744350
1025.365641,5.660929,5.721940,5.638888,5.730341,5.746772
1025.865641,5.662822,5.723789,5.640937,5.732056,5.748709
1026.365641,5.663061,5.724429,5.641234,5.732681,5.749227
1026.865641,5.663765,5.725107,5.641593,5.733490,5.749760
1027.365641,5.666425,5.728032,5.644417,5.736036,5.752878
1027.865641,5.668703,5.730414,5.647002,5.738628,5.755899
1028.365641,5.669673,5.731529,5.647792,5.739898,5.756933
1028.865641,5.669545,5.731610,5.647395,5.739839,5.756945
1029.365641,5.670751,5.732858,5.648820,5.741350,5.758235
1029.865641,5.674208,5.736538,5.652294,5.745159,5.761921
1030.365641,5.677045,5.739983,5.655282,5.748276,5.765044
1030.865641,5.679021,5.742071,5.657319,5.750663,5.767542
1031.365641,5.680134,5.743272,5.658553,5.752045,5.768874
1031.865641,5.684488,5.748087,5.662623,5.756738,5.773636
1032.365641,5.687195,5.750877,5.665685,5.760032,5.776746
1032.865641,5.689258,5.753398,5.667407,5.762448,5.778852
1033.365641,5.690675,5.755210,5.669136,5.764337,5.780592
1033.865641,5.693613,5.757772,5.671842,5.767120,5.783844
1034.365641,5.693846,5.758387,5.671928,5.767885,5.784680
1034.865641,5.696811,5.761247,5.674689,5.770699,5.787530
1035.365641,5.699286,5.764253,5.677084,5.773732,5.790317
1035.865641,5.701181,5.765898,5.678628,5.775267,5.792060
1036.365641,5.701633,5.766623,5.679192,5.775866,5.792711
1036.865641,5.704111,5.769239,5.681743,5.778065,5.795309
1037.365641,5.706206,5.771458,5.683862,5.780545,5.797659
1037.865641,5.707613,5.773249,5.685031,5.782000,5.799778
1038.365641,5.709361,5.775162,5.686865,5.783542,5.801311
1038.865641,5.709155,5.775069,5.686600,5.783593,5.801300
1039.365641,5.710266,5.775827,5.687667,5.784582,5.802062
1039.865641,5.711363,5.777130,5.688915,5.785932,5.803503
1040.365641,5.712838,5.778910,5.690426,5.787620,5.805072
1040.865641,5.713483,5.779541,5.691049,5.788668,5.806496
1041.365641,5.714277,5.780671,5.691680,5.789614,5.807284
1041.865641,5.716084,5.782170,5.693500,5.791190,5.808658
1042.365641,5.719204,5.785807,5.696492,5.794797,5.812318
1042.865641,5.720040,5.787199,5.697590,5.795917,5.813212
1043.365641,5.720431,5.787325,5.697905,5.796368,5.813776
1043.865641,5.721273,5.788313,5.698968,5.797237,5.814808
1044.365641,5.723856,5.790938,5.701562,5.799891,5.817515
1044.865641,5.726156,5.793348,5.703970,5.802613,5.820021
1045.365641,5.727447,5.794784,5.705082,5.804447,5.821514
1045.865641,5.728838,5.796047,5.706531,5.805812,5.823107
1046.365641,5.727274,5.794840,5.704979,5.804150,5.821568
1046.865641,5.727778,5.795292,5.705448,5.804484,5.821910
1047.365641,5.729763,5.797334,5.707708,5.807066,5.824026
1047.865641,5.731533,5.798906,5.709051,5.808819,5.825800
1048.365641,5.730098,5.797578,5.707920,5.806877,5.824532
1048.865641,5.728599,5.796171,5.706227,5.805672,5.823115
1049.365641,5.730394,5.797953,5.708196,5.807713,5.824936
1049.865641,5.732384,5.800133,5.709998,5.810146,5.826965
1050.365641,5.734453,5.802283,5.712055,5.811950,5.829258
1050.865641,5.735703,5.803583,5.713337,5.813326,5.830392
1051.365641,5.737004,5.804868,5.714596,5.814923,5.831787
1051.865641,5.764303,5.831526,5.741659,5.840348,5.857845
1052.365641,5.770013,5.837373,5.747171,5.846335,5.863535
1052.865641,5.775412,5.842988,5.752731,5.852174,5.869225
1053.365641,5.777793,5.845384,5.754857,5.854777,5.871835
1053.865641,5.777269,5.845065,5.754627,5.854255,5.871929
1054.365641,5.779883,5.847570,5.757049,5.857357,5.874438
1054.865641,5.783773,5.851754,5.760911,5.861475,5.878405
1055.365641,5.788204,5.856395,5.765306,5.866234,5.883203
1055.865641,5.788439,5.856738,5.765382,5.866367,5.883766
1056.365641,5.791140,5.859887,5.768385,5.869130,5.886763
1056.865641,5.791766,5.860378,5.768792,5.870013,5.887407
1057.365641,5.795637,5.864362,5.772520,5.873542,5.891441
1057.865641,5.795684,5.864373,5.772591,5.874037,5.891872
1058.365641,5.797944,5.867195,5.774425,5.876249,5.894028
1058.865641,5.800040,5.869289,5.776770,5.878468,5.896583
1059.365641,5.803353,5.872504,5.779893,5.882015,5.900179
1059.865641,5.803526,5.873131,5.780000,5.882315,5.900364
1060.365641,5.803128,5.873077,5.779853,5.882388,5.900876
1060.865641,5.804974,5.875126,5.781459,5.884283,5.902756
1061.365641,5.809328,5.879747,5.785563,5.889153,5.907292
1061.865641,5.811252,5.881966,5.787841,5.891358,5.909526
1062.365641,5.812398,5.883305,5.789005,5.892655,5.910798
1062.865641,5.812745,5.883619,5.789279,5.893396,5.911495
1063.365641,5.814476,5.885652,5.790713,5.895401,5.913267
1063.865641,5.817658,5.888902,5.794319,5.898526,5.916758
1064.365641,5.818815,5.890339,5.795535,5.900018,5.917870
1064.865641,5.818871,5.890090,5.795646,5.899902,5.918048
1065.365641,5.816434,5.888017,5.793313,5.897617,5.916042
1065.865641,5.818396,5.890195,5.795409,5.899934,5.917893
1066.365641,5.820363,5.892279,5.797313,5.902342,5.920074
1066.865641,5.823686,5.895603,5.800744,5.905793,5.923769
1067.365641,5.822374,5.894634,5.799038,5.904593,5.922252
1067.865641,5.823089,5.895478,5.800303,5.905549,5.923319
1068.365641,5.823883,5.895990,5.800709,5.906083,5.924129
1068.865641,5.827468,5.899916,5.804552,5.910236,5.927976
1069.365641,5.828954,5.901588,5.805975,5.912181,5.929683
1069.865641,5.829887,5.902813,5.806634,5.912805,5.930891
1070.365641,5.829717,5.902703,5.806302,5.912756,5.930812
1070.865641,5.832023,5.905349,5.808863,5.915297,5.933070
1071.365641,5.835130,5.908253,5.811613,5.918149,5.936718
1071.865641,5.837541,5.910923,5.813991,5.920795,5.939567
1072.365641,5.838937,5.912603,5.815326,5.921981,5.940866
1072.865641,5.840166,5.914107,5.816545,5.923530,5.942367
1073.365641,5.843760,5.917526,5.819953,5.926689,5.945851
1073.865641,5.845961,5.920008,5.822339,5.930035,5.948713
1074.365641,5.849360,5.923660,5.825531,5.933534,5.952368
1074.865641,5.848087,5.922145,5.823889,5.932490,5.951241
1075.365641,5.850692,5.925371,5.827144,5.935174,5.954069
1075.865641,5.853830,5.928811,5.830012,5.938617,5.957172
1076.365641,5.856959,5.931586,5.833130,5.941625,5.960471
