?? [s],A.dY [mm],A.dY [mm],B.dY [mm],B.dY [mm],C.dY [mm],C.dY [mm],E.dY [mm]
937.304806,4.884953,4.884953,5.312896,5.312896,4.920204,4.920204,5.323631
937.804806,4.884365,4.884365,5.315364,5.315364,4.919918,4.919918,5.325610
938.304806,4.884029,4.884029,5.317118,5.317118,4.919544,4.919544,5.327229
938.804806,4.886084,4.886084,5.320472,5.320472,4.920934,4.920934,5.331564
939.304806,4.885124,4.885124,5.322356,5.322356,4.920939,4.920939,5.333264
939.804806,4.884653,4.884653,5.323232,5.323232,4.920337,4.920337,5.334324
940.304806,4.885670,4.885670,5.325952,5.325952,4.921245,4.921245,5.335939
940.804806,4.885448,4.885448,5.329434,5.329434,4.922014,4.922014,5.340309
941.304806,4.886918,4.886918,5.332288,5.332288,4.922949,4.922949,5.343401
941.804806,4.887379,4.887379,5.336186,5.336186,4.924036,4.924036,5.347408
942.304806,4.888389,4.888389,5.339358,5.339358,4.924541,4.924541,5.351155
942.804806,4.890614,4.890614,5.344248,5.344248,4.926609,4.926609,5.355094
943.304806,4.890453,4.890453,5.347734,5.347734,4.926636,4.926636,5.358082
943.804806,4.888831,4.888831,5.349666,5.349666,4.925505,4.925505,5.361031
944.304806,4.889998,4.889998,5.354284,5.354284,4.926923,4.926923,5.365573
944.804806,4.888242,4.888242,5.355265,5.355265,4.925167,4.925167,5.367023
945.304806,4.889768,4.889768,5.358609,5.358609,4.926274,4.926274,5.370689
945.804806,4.889226,4.889226,5.359374,5.359374,4.925747,4.925747,5.371411
946.304806,4.888133,4.888133,5.359788,5.359788,4.924578,4.924578,5.371461
946.804806,4.887312,4.887312,5.360155,5.360155,4.923988,4.923988,5.371244
947.304806,4.886850,4.886850,5.360811,5.360811,4.923613,4.923613,5.372776
947.804806,4.887289,4.887289,5.362552,5.362552,4.923906,4.923906,5.373666
948.304806,4.887012,4.887012,5.363532,5.363532,4.923529,4.923529,5.374782
948.804806,4.887464,4.887464,5.365116,5.365116,4.924307,4.924307,5.377113
949.304806,4.889440,4.889440,5.368318,5.368318,4.926175,4.926175,5.380235
949.804806,4.891311,4.891311,5.371991,5.371991,4.927934,4.927934,5.383334
950.304806,4.892709,4.892709,5.375117,5.375117,4.929477,4.929477,5.386937
950.804806,4.891845,4.891845,5.377322,5.377322,4.928953,4.928953,5.388927
951.304806,4.891855,4.891855,5.380030,5.380030,4.929075,4.929075,5.392231
951.804806,4.891550,4.891550,5.382996,5.382996,4.929081,4.929081,5.395142
952.304806,4.892985,4.892985,5.387898,5.387898,4.930065,4.930065,5.400024
952.804806,4.893311,4.893311,5.391082,5.391082,4.930276,4.930276,5.402655
953.304806,4.891746,4.891746,5.392157,5.392157,4.929053,4.929053,5.403419
953.804806,4.890342,4.890342,5.392341,5.392341,4.927586,4.927586,5.403280
954.304806,4.889514,4.889514,5.392923,5.392923,4.926811,4.926811,5.404091
954.804806,4.888949,4.888949,5.393133,5.393133,4.926147,4.926147,5.404985
955.304806,4.889516,4.889516,5.395005,5.395005,4.926676,4.926676,5.406170
955.804806,4.889696,4.889696,5.395565,5.395565,4.926663,4.926663,5.407203
956.304806,4.889933,4.889933,5.396435,5.396435,4.926435,4.926435,5.407784
956.804806,4.890952,4.890952,5.397688,5.397688,4.927668,4.927668,5.409124
957.304806,4.888628,4.888628,5.396199,5.396199,4.925552,4.925552,5.408070
957.804806,4.887681,4.887681,5.396131,5.396131,4.924580,4.924580,5.408605
958.304806,4.888416,4.888416,5.397598,5.397598,4.925481,4.925481,5.409642
958.804806,4.890737,4.890737,5.401517,5.401517,4.927753,4.927753,5.412946
959.304806,4.893406,4.893406,5.406078,5.406078,4.930809,4.930809,5.418509
959.804806,4.897787,4.897787,5.412265,5.412265,4.934763,4.934763,5.424177
960.304806,4.897708,4.897708,5.419204,5.419204,4.935360,4.935360,5.430581
960.804806,4.895251,4.895251,5.427897,5.427897,4.932797,4.932797,5.440332
961.304806,4.892933,4.892933,5.438546,5.438546,4.930781,4.930781,5.450290
961.804806,4.891518,4.891518,5.450491,5.450491,4.929776,4.929776,5.463230
962.304806,4.893063,4.893063,5.464162,5.464162,4.931030,4.931030,5.476671
962.804806,4.893965,4.893965,5.476718,5.476718,4.932193,4.932193,5.489486
963.304806,4.895412,4.895412,5.491646,5.491646,4.933119,4.933119,5.504033
963.804806,4.895800,4.895800,5.505890,5.505890,4.933631,4.933631,5.518298
964.304806,4.895499,4.895499,5.518602,5.518602,4.933185,4.933185,5.531349
964.804806,4.893118,4.893118,5.528119,5.528119,4.932095,4.932095,5.539677
965.304806,4.890537,4.890537,5.533927,5.533927,4.927886,4.927886,5.546485
965.804806,4.889070,4.889070,5.542850,5.542850,4.927424,4.927424,5.554770
966.304806,4.889601,4.889601,5.553536,5.553536,4.928597,4.928597,5.565259
966.804806,4.890697,4.890697,5.566486,5.566486,4.929247,4.929247,5.579605
967.304806,4.890801,4.890801,5.583384,5.583384,4.929050,4.929050,5.595799
967.804806,4.885956,4.885956,5.599285,5.599285,4.924822,4.924822,5.611711
968.304806,4.883890,4.883890,5.612875,5.612875,4.922902,4.922902,5.625885
968.804806,2.555683,2.555683,6.836080,6.836080,2.561869,2.561869,6.834817
969.304806,2.589628,2.589628,6.878366,6.878366,2.594807,2.594807,6.877398
969.804806,2.616199,2.616199,6.910531,6.910531,2.620206,2.620206,6.908639
970.304806,2.628717,2.628717,6.931313,6.931313,2.634399,2.634399,6.929394
970.804806,2.636025,2.636025,6.946835,6.946835,2.641460,2.641460,6.944749
971.304806,2.640829,2.640829,6.964747,6.964747,2.645591,2.645591,6.962757
971.804806,2.642608,2.642608,6.977318,6.977318,2.647915,2.647915,6.974510
972.304806,2.642587,2.642587,6.984180,6.984180,2.649500,2.649500,6.982395
972.804806,2.641691,2.641691,6.983346,6.983346,2.647623,2.647623,6.981069
973.304806,2.636922,2.636922,6.978269,6.978269,2.642805,2.642805,6.975183
973.804806,2.637460,2.637460,6.976240,6.976240,2.643000,2.643000,6.975004
974.304806,2.636335,2.636335,6.974035,6.974035,2.642044,2.642044,6.971349
974.804806,2.634378,2.634378,6.971300,6.971300,2.640136,2.640136,6.969765
975.304806,2.632146,2.632146,6.967524,6.967524,2.637611,2.637611,6.965453
975.804806,2.632003,2.632003,6.964202,6.964202,2.636899,2.636899,6.960902
