?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.003479,0.003852,0.003842,0.003819,0.004002
20.000000,0.106464,0.107271,0.107844,0.108246,0.108449
30.000000,0.239737,0.241827,0.243487,0.242983,0.242999
40.000000,0.326961,0.329954,0.333076,0.330866,0.331764
50.000000,0.370664,0.374889,0.378686,0.375030,0.375687
60.000000,0.410066,0.415075,0.419637,0.415931,0.416402
70.000000,0.437274,0.442185,0.446838,0.443249,0.443540
80.000000,0.484477,0.490129,0.494749,0.490898,0.490718
90.000000,0.560396,0.566242,0.570659,0.566570,0.567067
100.000000,0.608808,0.614282,0.618767,0.614898,0.615293
110.000000,0.653123,0.658630,0.663156,0.658953,0.659652
120.000000,0.724344,0.729486,0.734524,0.730185,0.730550
130.000000,0.777613,0.783274,0.788098,0.783588,0.783983
140.000000,0.812588,0.818235,0.822969,0.818794,0.818780
150.000000,0.906560,0.912259,0.917377,0.912892,0.913464
160.000000,0.959953,0.966373,0.971825,0.966725,0.967259
170.000000,1.015146,1.021922,1.027576,1.022510,1.023198
180.000000,1.098459,1.105463,1.110515,1.105923,1.106393
190.000000,1.142278,1.149386,1.154692,1.150188,1.150750
200.000000,1.179107,1.186156,1.191378,1.187100,1.187611
210.000000,1.252162,1.259911,1.264762,1.260590,1.260993
220.000000,1.314514,1.321834,1.325839,1.322880,1.323520
230.000000,1.351027,1.357873,1.361458,1.358349,1.358848
240.000000,1.451349,1.458465,1.461582,1.459102,1.459945
250.000000,1.573079,1.579624,1.583096,1.579856,1.580457
260.000000,1.638267,1.645394,1.648330,1.646004,1.646618
270.000000,1.675894,1.682716,1.686080,1.683189,1.683826
280.000000,1.800626,1.806508,1.809789,1.807127,1.807483
290.000000,1.873077,1.879665,1.882728,1.880592,1.881219
300.000000,1.914659,1.921424,1.924721,1.922092,1.922751
310.000000,2.052586,2.059080,2.062437,2.059639,2.060054
320.000000,2.148141,2.154567,2.158272,2.155488,2.156134
330.000000,2.204587,2.211254,2.213791,2.211426,2.212502
340.000000,2.253200,2.259714,2.262551,2.260232,2.261313
350.000000,2.296092,2.303235,2.305946,2.303789,2.304410
360.000000,2.346686,2.354117,2.357120,2.355237,2.356229
370.000000,2.410484,2.417105,2.420362,2.418327,2.419355
380.000000,2.443148,2.450929,2.454131,2.452063,2.453206
390.000000,2.488187,2.496634,2.499209,2.497597,2.499137
400.000000,2.555191,2.563220,2.566274,2.564685,2.566112
410.000000,2.593484,2.601991,2.605164,2.603516,2.604472
420.000000,2.621042,2.630181,2.632555,2.631451,2.633053
430.000000,2.682770,2.692440,2.694665,2.694216,2.696058
440.000000,2.729847,2.739932,2.742377,2.741678,2.743634
450.000000,2.766105,2.776630,2.778330,2.778509,2.780538
460.000000,2.833854,2.844394,2.845954,2.846092,2.848830
470.000000,2.875246,2.885985,2.887276,2.888391,2.890729
480.000000,2.890884,2.901594,2.902696,2.903753,2.906313
490.000000,2.961421,2.973407,2.973751,2.975805,2.978456
500.000000,3.025157,3.037115,3.036744,3.039932,3.042802
510.000000,3.057829,3.071008,3.070569,3.073759,3.076898
520.000000,3.078112,3.090912,3.089820,3.093841,3.097454
530.000000,3.148907,3.162995,3.161477,3.166565,3.170290
540.000000,3.209460,3.224153,3.221656,3.227799,3.232040
550.000000,3.242895,3.258187,3.255571,3.262011,3.266276
560.000000,3.270576,3.286063,3.283162,3.290267,3.295031
570.000000,3.335118,3.351575,3.347478,3.356339,3.360861
580.000000,3.373389,3.390246,3.386135,3.395454,3.400624
590.000000,3.398562,3.416224,3.411337,3.421133,3.426867
600.000000,3.467947,3.486879,3.481583,3.492269,3.497975
610.000000,3.486475,3.505643,3.500304,3.511477,3.517192
620.000000,3.551941,3.572769,3.565553,3.578468,3.585038
630.000000,3.603063,3.624382,3.616324,3.630566,3.637377
640.000000,3.640426,3.661466,3.653541,3.667669,3.674456
650.000000,3.668444,3.690323,3.681916,3.697514,3.704877
660.000000,3.715548,3.738677,3.729442,3.745791,3.753950
670.000000,3.760330,3.784309,3.774442,3.792181,3.800990
680.000000,3.805436,3.829687,3.819401,3.837767,3.847008
690.000000,3.849273,3.874528,3.862981,3.882773,3.892164
700.000000,3.893193,3.919292,3.907557,3.928154,3.938039
710.000000,3.948237,3.975847,3.962881,3.985123,3.995496
720.000000,4.001198,4.029354,4.015670,4.038801,4.049361
730.000000,4.018768,4.047735,4.032877,4.058021,4.068775
740.000000,4.077600,4.108322,4.092454,4.118393,4.130497
750.000000,4.118611,4.149855,4.132581,4.160250,4.172140
760.000000,4.168317,4.199841,4.182168,4.210527,4.222918
770.000000,4.200196,4.233836,4.214249,4.245046,4.258296
780.000000,4.241155,4.274278,4.255071,4.286672,4.299750
790.000000,4.307748,4.343035,4.321728,4.355376,4.370177
800.000000,4.331934,4.368665,4.346085,4.381664,4.396282
810.000000,4.360737,4.396370,4.373863,4.409166,4.424492
820.000000,4.430355,4.468422,4.443775,4.482653,4.498226
830.000000,4.494044,4.533343,4.506788,4.547645,4.565191
