?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.025179,0.026235,0.026439,0.026156,0.025912
20.000000,0.164850,0.164666,0.165091,0.164929,0.165371
30.000000,0.227706,0.226581,0.226897,0.226590,0.225855
40.000000,0.238877,0.237670,0.237643,0.237202,0.237036
50.000000,0.307007,0.306446,0.306553,0.307407,0.307209
60.000000,0.387139,0.385388,0.386402,0.385924,0.385445
70.000000,0.425731,0.423801,0.424414,0.422841,0.422385
80.000000,0.474370,0.471772,0.472761,0.471384,0.470938
90.000000,0.538790,0.536424,0.537551,0.536820,0.536191
100.000000,0.583411,0.580770,0.581579,0.581126,0.580714
110.000000,0.699305,0.696904,0.698428,0.697305,0.696349
120.000000,0.731362,0.728811,0.729305,0.729408,0.729225
130.000000,0.759047,0.755543,0.756469,0.755330,0.754809
140.000000,0.868639,0.865226,0.865684,0.865335,0.865075
150.000000,0.931538,0.928665,0.928603,0.929159,0.928033
160.000000,0.958375,0.955965,0.955307,0.955146,0.953847
170.000000,1.017036,1.013626,1.013752,1.013546,1.012648
180.000000,1.079966,1.075924,1.075719,1.076412,1.075868
190.000000,1.140741,1.136445,1.135894,1.136542,1.135838
200.000000,1.197034,1.191811,1.191154,1.192545,1.192236
210.000000,1.294192,1.288909,1.288302,1.288995,1.288105
220.000000,1.351909,1.347661,1.346862,1.347903,1.347632
230.000000,1.447747,1.442464,1.441266,1.442971,1.442344
240.000000,1.510084,1.505198,1.504099,1.505575,1.504433
250.000000,1.609219,1.604378,1.602972,1.603880,1.603585
260.000000,1.675140,1.670965,1.669175,1.670484,1.669549
270.000000,1.765819,1.761194,1.759426,1.761403,1.760743
280.000000,1.853671,1.849280,1.847975,1.848879,1.847216
290.000000,1.933494,1.928296,1.926916,1.927950,1.927498
300.000000,2.017502,2.012701,2.011231,2.012385,2.011321
310.000000,2.074432,2.069021,2.067171,2.068419,2.067535
320.000000,2.169046,2.163491,2.161638,2.163237,2.161890
330.000000,2.210963,2.204709,2.203241,2.204666,2.203886
340.000000,2.238869,2.233863,2.231995,2.233684,2.232294
350.000000,2.281129,2.276346,2.274068,2.275968,2.275140
360.000000,2.338352,2.333317,2.330770,2.334049,2.333442
370.000000,2.378516,2.374899,2.371795,2.374615,2.374402
380.000000,2.385672,2.381469,2.378224,2.381332,2.380682
390.000000,2.479839,2.475529,2.471211,2.475118,2.474974
400.000000,2.515999,2.511907,2.507740,2.511660,2.510955
410.000000,2.543438,2.538745,2.535050,2.538969,2.538280
420.000000,2.630797,2.626070,2.621009,2.626131,2.625853
430.000000,2.677049,2.672524,2.667249,2.672767,2.672310
440.000000,2.688193,2.683155,2.678725,2.683952,2.683197
450.000000,2.782639,2.778638,2.773151,2.779518,2.779166
460.000000,2.833352,2.829807,2.824055,2.830408,2.829619
470.000000,2.863058,2.859898,2.853176,2.860542,2.860183
480.000000,2.914985,2.912506,2.905234,2.912839,2.912547
490.000000,2.971740,2.970043,2.962475,2.971157,2.971191
500.000000,3.022254,3.020082,3.012276,3.021119,3.020697
510.000000,3.088371,3.087288,3.078247,3.088126,3.088638
520.000000,3.129646,3.128821,3.119146,3.129584,3.129895
530.000000,3.176894,3.176629,3.165950,3.177032,3.177364
540.000000,3.226792,3.227273,3.215926,3.227730,3.228081
550.000000,3.277731,3.278612,3.266189,3.279018,3.280144
560.000000,3.340367,3.341223,3.328949,3.341369,3.342653
570.000000,3.386497,3.387475,3.373843,3.388707,3.390630
580.000000,3.431026,3.433076,3.418886,3.434400,3.436274
590.000000,3.491064,3.493965,3.478691,3.495273,3.496846
600.000000,3.529517,3.533128,3.516707,3.535008,3.536151
610.000000,3.588637,3.593134,3.575547,3.594120,3.596058
620.000000,3.635038,3.640891,3.622366,3.642694,3.644163
630.000000,3.704542,3.711111,3.692640,3.713022,3.715492
640.000000,3.738307,3.744680,3.725446,3.746351,3.748734
650.000000,3.798089,3.806640,3.785014,3.809524,3.812179
660.000000,3.828624,3.836742,3.814027,3.838282,3.841653
670.000000,3.887583,3.897714,3.873816,3.900173,3.902923
680.000000,3.920639,3.931181,3.906586,3.932935,3.936723
690.000000,3.987007,3.999543,3.973771,4.002693,4.006334
700.000000,4.030363,4.042598,4.016125,4.045585,4.049263
710.000000,4.087090,4.100950,4.072468,4.103439,4.107770
720.000000,4.114800,4.130056,4.099436,4.133270,4.138084
730.000000,4.169843,4.186632,4.154291,4.190395,4.194423
740.000000,4.201811,4.218605,4.185620,4.221701,4.226860
750.000000,4.263171,4.282680,4.247174,4.285902,4.290748
760.000000,4.301234,4.319887,4.283954,4.324089,4.330134
770.000000,4.360837,4.382050,4.343842,4.386104,4.392494
780.000000,4.387086,4.409651,4.368932,4.413696,4.420497
790.000000,4.439048,4.463177,4.420719,4.467496,4.474970
800.000000,4.487489,4.512221,4.468668,4.517415,4.525063
810.000000,4.542868,4.569089,4.523170,4.574346,4.582215
820.000000,4.565739,4.594550,4.546697,4.599897,4.608233
830.000000,4.632668,4.662746,4.612336,4.668084,4.677149
840.000000,4.650830,4.682951,4.631428,4.688718,4.698116
850.000000,4.706830,4.741222,4.686484,4.746986,4.757516
863.159464,4.771640,4.806944,4.750267,4.812887,4.822235
868.159464,4.790155,4.827624,4.769129,4.834072,4.844809
873.159464,4.815414,4.852045,4.793777,4.857863,4.868302
