?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,-0.001687,-0.001248,-0.001322,-0.001213,-0.000535
20.000000,0.019410,0.019893,0.017457,0.018857,0.019741
30.000000,0.128048,0.127912,0.124675,0.127944,0.127973
40.000000,0.200751,0.199542,0.196589,0.199977,0.200305
50.000000,0.231321,0.230911,0.228884,0.231485,0.231690
60.000000,0.248782,0.248035,0.244724,0.247923,0.248712
70.000000,0.338100,0.337419,0.334734,0.337749,0.338312
80.000000,0.389973,0.389405,0.387462,0.389329,0.390747
90.000000,0.434765,0.434360,0.432377,0.434318,0.435463
100.000000,0.512886,0.513203,0.511007,0.513528,0.513632
110.000000,0.591719,0.592108,0.590131,0.591784,0.593135
120.000000,0.637435,0.638075,0.636077,0.638318,0.639354
130.000000,0.722331,0.722925,0.720796,0.722613,0.722476
140.000000,0.775907,0.777182,0.775000,0.776827,0.777619
150.000000,0.802903,0.802898,0.800868,0.802892,0.803350
160.000000,0.887848,0.888717,0.887058,0.888508,0.888555
170.000000,0.960506,0.962353,0.961110,0.962170,0.963523
180.000000,1.002732,1.004579,1.003350,1.004247,1.004997
190.000000,1.047937,1.049622,1.047798,1.048937,1.050413
200.000000,1.129572,1.130977,1.129372,1.131210,1.132009
210.000000,1.198074,1.199784,1.197641,1.200165,1.200988
220.000000,1.316976,1.317967,1.314091,1.318009,1.316513
230.000000,1.394506,1.396099,1.393772,1.396238,1.396864
240.000000,1.436251,1.438320,1.436541,1.437540,1.438349
250.000000,1.566300,1.568107,1.565992,1.567278,1.568350
260.000000,1.704776,1.706835,1.704909,1.705870,1.707446
270.000000,1.773895,1.775472,1.772646,1.774959,1.773711
280.000000,1.828989,1.830641,1.827228,1.829447,1.830035
290.000000,1.852095,1.853694,1.851955,1.853626,1.854642
300.000000,1.943467,1.946073,1.944896,1.945310,1.946095
310.000000,1.995284,1.997891,1.996780,1.997548,1.998401
320.000000,2.100144,2.104123,2.104578,2.103971,2.104594
330.000000,2.155059,2.159166,2.160203,2.159383,2.158902
340.000000,2.189142,2.194191,2.194950,2.194963,2.195122
350.000000,2.251967,2.256970,2.258029,2.256821,2.256952
360.000000,2.292362,2.298070,2.298913,2.298015,2.297573
370.000000,2.315516,2.320861,2.322274,2.320632,2.321395
380.000000,2.370050,2.376245,2.377477,2.376383,2.376708
390.000000,2.410608,2.416289,2.416954,2.416547,2.416738
400.000000,2.493907,2.500886,2.502137,2.500304,2.500505
410.000000,2.559556,2.565990,2.566395,2.566974,2.566928
420.000000,2.597556,2.604955,2.605055,2.604429,2.604457
430.000000,2.644747,2.651969,2.651864,2.651419,2.652387
440.000000,2.707696,2.715275,2.714525,2.715355,2.715593
450.000000,2.745403,2.753107,2.751818,2.752758,2.753680
460.000000,2.807941,2.816051,2.813777,2.815816,2.816016
470.000000,2.873303,2.880723,2.878339,2.880585,2.880825
480.000000,2.909212,2.917008,2.914354,2.916752,2.916366
490.000000,2.943139,2.951925,2.947673,2.951415,2.951416
500.000000,3.005596,3.014712,3.009880,3.013989,3.014869
510.000000,3.039879,3.049374,3.043540,3.049264,3.049088
520.000000,3.113254,3.122772,3.117725,3.122107,3.123120
530.000000,3.156685,3.166445,3.160096,3.165920,3.166239
540.000000,3.190773,3.201465,3.194241,3.201373,3.201878
550.000000,3.255791,3.266824,3.258294,3.266552,3.266637
560.000000,3.285093,3.296165,3.287685,3.295224,3.296116
570.000000,3.362896,3.374630,3.364946,3.373849,3.374592
580.000000,3.403066,3.416208,3.405694,3.415580,3.416474
590.000000,3.437665,3.450525,3.439958,3.450610,3.452115
600.000000,3.482312,3.496725,3.484548,3.496606,3.498421
610.000000,3.520959,3.535406,3.522897,3.535008,3.536872
620.000000,3.607395,3.623537,3.609035,3.622929,3.623825
630.000000,3.635775,3.653500,3.637239,3.653131,3.655132
