?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.009431,0.011019,0.010460,0.010513,0.009971
20.000000,0.103210,0.106065,0.105958,0.105865,0.105521
30.000000,0.183924,0.186886,0.185959,0.185623,0.186518
40.000000,0.233865,0.237104,0.238291,0.236494,0.237288
50.000000,0.263470,0.267238,0.268906,0.266969,0.267964
60.000000,0.288549,0.292688,0.294453,0.292984,0.292428
70.000000,0.385099,0.390789,0.392363,0.389888,0.390399
80.000000,0.439837,0.445355,0.447341,0.444611,0.445312
90.000000,0.473171,0.479027,0.481408,0.479021,0.478796
100.000000,0.537259,0.542881,0.546246,0.542881,0.543680
110.000000,0.578084,0.583973,0.586918,0.584563,0.584296
120.000000,0.620467,0.626479,0.629929,0.626996,0.627039
130.000000,0.675368,0.682291,0.685443,0.682579,0.683913
140.000000,0.723238,0.730463,0.733201,0.730401,0.731256
150.000000,0.783552,0.790652,0.793742,0.790109,0.791338
160.000000,0.816362,0.823624,0.826956,0.823763,0.825210
170.000000,0.917109,0.924980,0.927481,0.924006,0.926362
180.000000,0.978356,0.986593,0.988425,0.985643,0.987560
190.000000,1.022301,1.030137,1.031917,1.029297,1.030829
200.000000,1.110819,1.118036,1.120122,1.118766,1.119809
210.000000,1.244607,1.250873,1.253320,1.251739,1.253030
220.000000,1.311560,1.318670,1.321005,1.319598,1.320677
230.000000,1.362671,1.369843,1.371970,1.370447,1.371306
240.000000,1.422610,1.429130,1.431183,1.429533,1.431460
250.000000,1.563670,1.570385,1.572194,1.570424,1.572704
260.000000,1.622463,1.629666,1.631523,1.630392,1.631237
270.000000,1.666534,1.673034,1.675310,1.673490,1.674931
280.000000,1.763040,1.770192,1.771729,1.770172,1.771621
290.000000,1.904768,1.912227,1.913448,1.912257,1.913349
300.000000,1.947629,1.954271,1.955329,1.954488,1.956048
310.000000,1.985936,1.993563,1.994565,1.993642,1.995756
320.000000,2.053028,2.060151,2.061706,2.060609,2.062681
330.000000,2.149361,2.157088,2.158352,2.157297,2.158890
340.000000,2.179042,2.186601,2.187319,2.187487,2.189184
350.000000,2.247873,2.256357,2.257452,2.257331,2.260207
360.000000,2.287838,2.296698,2.297241,2.297727,2.300168
370.000000,2.329346,2.338124,2.338583,2.338438,2.341403
380.000000,2.397369,2.406927,2.406777,2.407086,2.410225
390.000000,2.432964,2.442655,2.442787,2.443876,2.447301
400.000000,2.498499,2.507708,2.507515,2.509398,2.512126
410.000000,2.562650,2.572467,2.571848,2.574405,2.577900
420.000000,2.605096,2.615451,2.614076,2.616844,2.620170
430.000000,2.615689,2.625885,2.624602,2.627711,2.631698
440.000000,2.697173,2.708271,2.705678,2.709833,2.713957
450.000000,2.746550,2.757505,2.754903,2.759356,2.763343
460.000000,2.755373,2.766141,2.763731,2.768277,2.772706
470.000000,2.846924,2.858337,2.854795,2.860968,2.865754
480.000000,2.894895,2.907181,2.902320,2.909943,2.914280
490.000000,2.923308,2.935480,2.930308,2.937921,2.942300
500.000000,2.963704,2.974925,2.969386,2.978110,2.982555
510.000000,3.038964,3.052092,3.045063,3.055561,3.060476
520.000000,3.073496,3.086800,3.078898,3.089710,3.094986
530.000000,3.096620,3.108930,3.101148,3.113049,3.117935
540.000000,3.161401,3.175527,3.166194,3.179446,3.185925
550.000000,3.206204,3.219986,3.209726,3.224092,3.230000
560.000000,3.244576,3.258402,3.247723,3.262431,3.268695
570.000000,3.304233,3.319308,3.307062,3.323758,3.330597
580.000000,3.334587,3.349235,3.336712,3.354056,3.360514
590.000000,3.418388,3.433953,3.420386,3.439342,3.446213
600.000000,3.465278,3.480969,3.466784,3.486633,3.493787
610.000000,3.471868,3.487911,3.472985,3.493202,3.500669
620.000000,3.551310,3.569419,3.552033,3.575442,3.583553
630.000000,3.601358,3.619295,3.601464,3.625633,3.633875
640.000000,3.624103,3.642255,3.623290,3.648709,3.657442
650.000000,3.672797,3.690877,3.671761,3.697352,3.706139
660.000000,3.710159,3.729086,3.707974,3.735623,3.745650
670.000000,3.762976,3.782464,3.760532,3.790058,3.800454
680.000000,3.815281,3.835475,3.812166,3.843294,3.853364
690.000000,3.823076,3.843858,3.820350,3.851270,3.861190
700.000000,3.912561,3.934950,3.908643,3.942720,3.954047
710.000000,3.953963,3.976732,3.949308,3.984716,3.996763
720.000000,3.991059,4.013520,3.985404,4.021652,4.033759
730.000000,4.024107,4.048961,4.019090,4.057590,4.070777
740.000000,4.070515,4.095926,4.064550,4.105359,4.118452
750.000000,4.133030,4.158936,4.126278,4.169253,4.182478
760.000000,4.156273,4.183859,4.149648,4.193546,4.207790
770.000000,4.205029,4.233820,4.198075,4.244260,4.258587
780.000000,4.252004,4.281303,4.244808,4.291554,4.306632
790.000000,4.305763,4.334606,4.297284,4.346170,4.361290
800.000000,4.334130,4.364217,4.325132,4.375991,4.392258
810.000000,4.392646,4.424869,4.383861,4.436617,4.452875
820.000000,4.426921,4.459171,4.416967,4.471845,4.488466
830.000000,4.466505,4.499447,4.456149,4.512695,4.530472
840.000000,4.531975,4.567624,4.521609,4.580349,4.599205
850.000000,4.551802,4.586473,4.540095,4.600310,4.619522
860.000000,4.614943,4.651822,4.602876,4.665562,4.684909
870.000000,4.660919,4.698180,4.648825,4.712037,4.731391
880.000000,4.694527,4.733305,4.681966,4.748407,4.769214
890.000000,4.754310,4.794930,4.741652,4.809777,4.831024
900.000000,4.759363,4.800698,4.747285,4.816171,4.837667
910.000000,4.854796,4.896902,4.840628,4.913775,4.936855
920.000000,4.910194,4.952645,4.895103,4.969978,4.993526
930.000000,4.922628,4.966396,4.908128,4.984122,5.007654
940.000000,4.951089,4.997417,4.937040,5.015916,5.040358
950.000000,5.008474,5.054818,4.993172,5.073388,5.097475
960.000000,5.046812,5.096460,5.031841,5.115533,5.141629
970.000000,5.104753,5.154218,5.088916,5.173290,5.199606
980.000000,5.123238,5.174026,5.107089,5.193314,5.220254
990.000000,5.170313,5.225081,5.155683,5.245640,5.273868
1000.000000,5.214887,5.269765,5.199684,5.289999,5.318583
1010.000000,5.256977,5.314540,5.241411,5.335556,5.365366
1020.000000,5.286590,5.344788,5.270355,5.366300,5.396322
1030.000000,5.342477,5.402409,5.325643,5.423428,5.454490
1040.000000,5.381021,5.443173,5.363502,5.465716,5.497576
1050.000000,5.431387,5.493714,5.413575,5.515556,5.547287
1060.000000,5.483625,5.550288,5.466675,5.573978,5.607227
1070.000000,5.503544,5.572186,5.486843,5.596043,5.630368
1080.000000,5.562450,5.632432,5.544988,5.655834,5.690493
1090.000000,5.591671,5.664766,5.575030,5.689062,5.724247
1100.000000,5.622033,5.696547,5.604517,5.722027,5.757115
1110.000000,5.686638,5.762966,5.669522,5.788588,5.824853
1120.000000,5.724246,5.804923,5.707026,5.830676,5.868124
1125.625056,5.739834,5.822475,5.723767,5.848736,5.885936
1130.625056,5.754960,5.837634,5.737744,5.864929,5.902096
1135.625056,5.793517,5.876226,5.776220,5.902778,5.940290
1140.625056,5.822588,5.906612,5.804657,5.933313,5.972310
1145.625056,5.843767,5.931532,5.827239,5.959461,5.998508
1150.625056,5.856533,5.944783,5.838283,5.972153,6.011535
1155.625056,5.864505,5.956144,5.848136,5.983019,6.022437
1160.625056,5.874313,5.966248,5.858443,5.994505,6.034146
1165.625056,5.931666,6.024628,5.915066,6.052597,6.092678
1170.625056,5.950476,6.045487,5.933937,6.073042,6.113990
1175.625056,5.954309,6.050276,5.937629,6.077783,6.118527
1180.625056,5.969831,6.067061,5.954078,6.095841,6.137554
1185.625056,6.014743,6.118341,5.999707,6.148110,6.191110
1190.625056,6.059361,6.165335,6.044645,6.194701,6.237552
1195.625056,6.072066,6.178848,6.056809,6.207812,6.250877
1200.625056,6.076046,6.183865,6.061214,6.213574,6.256814
1205.625056,6.076455,6.184124,6.060816,6.213051,6.256167
1210.625056,6.112707,6.224773,6.098039,6.254601,6.299324
1215.625056,6.133684,6.250135,6.119626,6.280828,6.326093
1220.625056,6.144677,6.264189,6.131992,6.294790,6.340121
1225.625056,6.157653,6.280521,6.145758,6.311358,6.357128
1230.625056,6.158266,6.281868,6.146819,6.312765,6.358585
1235.625056,6.211630,6.335649,6.199433,6.366619,6.412322
1240.625056,6.249868,6.380744,6.238889,6.412213,6.459755
1245.625056,6.267544,6.402135,6.256474,6.434972,6.482368
1250.625056,6.277266,6.415685,6.267361,6.447935,6.495630
1255.625056,6.281348,6.422291,6.272331,6.455092,6.503056
1260.625056,6.279520,6.421215,6.270030,6.453532,6.501584
1265.625056,6.295816,6.439468,6.286913,6.472990,6.521377
