?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.000482,0.000646,0.000694,0.000004,-0.000615
20.000000,0.052961,0.054286,0.053958,0.054148,0.053261
30.000000,0.231186,0.231810,0.232071,0.230704,0.229073
40.000000,0.344221,0.344772,0.344058,0.344278,0.343655
50.000000,0.386842,0.387927,0.387651,0.387079,0.386011
60.000000,0.422566,0.422323,0.422435,0.421097,0.419702
70.000000,0.440468,0.441604,0.441409,0.440930,0.439887
80.000000,0.512635,0.513251,0.513972,0.512453,0.511140
90.000000,0.598240,0.598847,0.599551,0.598087,0.596448
100.000000,0.648058,0.649260,0.649474,0.647896,0.646337
110.000000,0.742503,0.743213,0.743887,0.742841,0.740958
120.000000,0.798786,0.798923,0.799593,0.798060,0.796719
130.000000,0.864163,0.865090,0.864876,0.864653,0.863935
140.000000,0.918150,0.919210,0.918576,0.918273,0.917322
150.000000,0.986956,0.985863,0.985351,0.984486,0.982404
160.000000,1.049122,1.049577,1.048553,1.048517,1.046754
170.000000,1.111419,1.112006,1.111758,1.111024,1.109805
180.000000,1.169666,1.169454,1.167184,1.167779,1.165761
190.000000,1.256763,1.257092,1.255061,1.255928,1.254452
200.000000,1.317038,1.316979,1.314150,1.315259,1.313297
210.000000,1.406256,1.406299,1.403272,1.404763,1.403261
220.000000,1.469984,1.469650,1.466006,1.468440,1.466295
230.000000,1.561403,1.561585,1.557578,1.559705,1.558294
240.000000,1.651573,1.650327,1.646777,1.648827,1.646967
250.000000,1.727174,1.726854,1.722977,1.725575,1.724290
260.000000,1.800121,1.799688,1.795388,1.798072,1.797030
270.000000,1.888249,1.887090,1.882801,1.885552,1.884288
280.000000,1.972266,1.971164,1.967418,1.969740,1.968307
290.000000,2.041596,2.041681,2.037659,2.040286,2.039081
300.000000,2.147357,2.147839,2.145365,2.146638,2.145869
310.000000,2.189867,2.190447,2.187787,2.189735,2.187949
320.000000,2.236324,2.237499,2.234989,2.236320,2.234592
330.000000,2.266378,2.266577,2.262326,2.264312,2.262764
340.000000,2.292895,2.293086,2.290437,2.291838,2.290900
350.000000,2.331311,2.331638,2.329031,2.330991,2.329373
360.000000,2.370239,2.370161,2.367280,2.369116,2.366667
370.000000,2.428856,2.429170,2.427509,2.428657,2.426782
380.000000,2.469753,2.470995,2.468981,2.469923,2.467773
390.000000,2.524002,2.525099,2.523311,2.523589,2.522583
400.000000,2.579819,2.579728,2.578296,2.578391,2.577291
410.000000,2.614338,2.615216,2.614025,2.614350,2.612627
420.000000,2.679255,2.679281,2.678974,2.677074,2.675333
430.000000,2.713109,2.714316,2.714532,2.713201,2.711497
440.000000,2.766973,2.767927,2.767816,2.766433,2.765123
450.000000,2.818511,2.819433,2.817480,2.817465,2.816176
460.000000,2.858144,2.859188,2.857727,2.858035,2.856502
470.000000,2.918336,2.919404,2.917580,2.917207,2.915600
480.000000,2.970440,2.971622,2.968979,2.969234,2.967090
490.000000,3.004255,3.005613,3.003493,3.003628,3.002875
500.000000,3.070892,3.072124,3.069026,3.070437,3.067943
510.000000,3.115526,3.117156,3.113833,3.114976,3.112812
520.000000,3.152899,3.154877,3.151449,3.152543,3.151547
530.000000,3.213685,3.215669,3.211963,3.213809,3.212362
540.000000,3.247982,3.249791,3.246048,3.247838,3.247069
550.000000,3.320943,3.324326,3.320767,3.323388,3.323045
560.000000,3.378055,3.380818,3.376954,3.379601,3.379171
570.000000,3.402801,3.405363,3.400048,3.404024,3.402658
580.000000,3.436957,3.440562,3.435203,3.438296,3.437459
590.000000,3.494343,3.497772,3.491475,3.495608,3.495004
600.000000,3.544900,3.548478,3.541965,3.547327,3.546281
610.000000,3.635297,3.639606,3.632095,3.638564,3.637715
620.000000,3.658574,3.664578,3.657540,3.663998,3.664166
630.000000,3.667908,3.673749,3.666116,3.672510,3.672040
640.000000,3.731700,3.737485,3.727452,3.736942,3.736349
650.000000,3.772966,3.779862,3.769109,3.778879,3.778139
660.000000,3.802196,3.809748,3.799392,3.809102,3.809679
670.000000,3.876136,3.883518,3.872557,3.883362,3.883274
680.000000,3.913213,3.921182,3.909037,3.920863,3.920930
690.000000,3.932624,3.941475,3.928714,3.941720,3.942869
700.000000,4.004904,4.014864,4.000151,4.014659,4.015163
710.000000,4.034503,4.044164,4.028879,4.044002,4.045773
720.000000,4.088837,4.100200,4.083456,4.100180,4.101981
730.000000,4.122203,4.133957,4.116396,4.135352,4.137969
740.000000,4.181302,4.194842,4.176914,4.194711,4.196896
750.000000,4.198609,4.212027,4.192996,4.213311,4.215365
760.000000,4.264926,4.279678,4.259317,4.280494,4.283697
770.000000,4.313899,4.329488,4.307797,4.330399,4.333569
775.643230,4.341303,4.357770,4.334463,4.359053,4.363665
780.643230,4.369744,4.387441,4.363932,4.388652,4.392340
785.643230,4.382313,4.400025,4.375711,4.402051,4.406071
790.643230,4.382311,4.400324,4.375841,4.402599,4.406064
795.643230,4.407368,4.426699,4.401213,4.428506,4.432628
800.643230,4.417971,4.437750,4.411726,4.439438,4.442943
805.643230,4.452476,4.472342,4.445997,4.474517,4.478668
810.643230,4.470460,4.491339,4.464033,4.493596,4.497671
815.643230,4.508499,4.530111,4.501741,4.532275,4.536847
820.643230,4.520745,4.542665,4.513100,4.545469,4.550617
825.643230,4.530363,4.552673,4.522897,4.555862,4.561508
830.643230,4.569686,4.592585,4.562219,4.595689,4.601466
835.643230,4.580221,4.603008,4.572234,4.607178,4.613652
840.643230,4.598071,4.623374,4.590581,4.626198,4.631671
845.643230,4.649708,4.676140,4.641632,4.679179,4.685215
850.643230,4.664802,4.692157,4.656754,4.696543,4.703987
855.643230,4.676462,4.703494,4.667288,4.707305,4.714413
860.643230,4.701016,4.729178,4.693163,4.732907,4.739692
865.643230,4.712436,4.740160,4.704052,4.744379,4.752379
870.643230,4.730700,4.759652,4.721021,4.763490,4.770588
875.643230,4.762196,4.791694,4.753298,4.796131,4.803791
880.643230,4.771452,4.801700,4.761949,4.805561,4.812994
885.643230,4.802686,4.835080,4.793822,4.840326,4.848972
890.643230,4.840091,4.873553,4.831076,4.878466,4.887028
895.643230,4.857669,4.891778,4.848102,4.896980,4.905206
900.573144,4.859418,4.894195,4.849866,4.899244,4.907464
901.073144,4.860674,4.895498,4.850848,4.900209,4.908791
901.573144,4.863890,4.898378,4.853935,4.903218,4.911433
902.073144,4.864781,4.899543,4.854741,4.904389,4.912687
902.573144,4.865468,4.900321,4.855458,4.904760,4.913212
903.073144,4.865463,4.900386,4.855636,4.905558,4.914162
903.573144,4.864978,4.899773,4.854713,4.904865,4.913316
904.073144,4.866277,4.901411,4.856361,4.906310,4.914772
904.573144,4.868771,4.903821,4.858538,4.908872,4.917243
905.073144,4.871208,4.906666,4.861164,4.911857,4.920024
905.573144,4.872194,4.907283,4.861646,4.912397,4.921281
906.073144,4.869565,4.905078,4.859341,4.910124,4.918634
906.573144,4.869815,4.905642,4.859448,4.910977,4.919690
907.073144,4.874975,4.910826,4.864739,4.916171,4.925310
907.573144,4.883059,4.919288,4.873064,4.924826,4.934445
908.073144,4.889938,4.926136,4.880100,4.932071,4.942183
908.573144,4.894816,4.931181,4.884994,4.937116,4.946398
909.073144,4.893919,4.931160,4.884483,4.937078,4.946533
909.573144,4.894035,4.931276,4.884520,4.937160,4.946768
910.073144,4.897324,4.934752,4.887598,4.940587,4.949728
910.573144,4.900777,4.938264,4.891045,4.943954,4.953189
911.073144,4.903834,4.941463,4.893640,4.947006,4.956314
911.573144,4.908393,4.946166,4.898044,4.951483,4.960466
912.073144,4.908914,4.946477,4.898325,4.952016,4.961290
912.573144,4.933014,4.970458,4.923328,4.976065,4.985818
913.073144,4.937171,4.974589,4.927754,4.980484,4.990120
913.573144,4.941383,4.978891,4.931675,4.984742,4.993943
914.073144,4.942705,4.980270,4.933126,4.986190,4.995486
914.573144,4.940821,4.978426,4.930912,4.984297,4.994084
915.073144,4.941198,4.979117,4.931756,4.985107,4.994990
915.573144,4.944597,4.982307,4.934669,4.988275,4.997535
916.073144,4.947507,4.985117,4.937320,4.990895,5.000303
916.573144,4.949802,4.987634,4.939772,4.993470,5.003142
