?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
945.771245,5.276497,5.306450,5.261595,5.312723,5.318418
946.271245,5.276515,5.306571,5.261886,5.312912,5.318508
946.771245,5.276136,5.306151,5.261300,5.312614,5.317951
947.271245,5.278041,5.308035,5.262866,5.314234,5.319625
947.771245,5.278442,5.308577,5.263571,5.314878,5.320194
948.271245,5.277909,5.308202,5.263271,5.314677,5.320171
948.771245,5.279083,5.309264,5.264137,5.315898,5.321567
949.271245,5.280518,5.310628,5.265695,5.317521,5.323076
949.771245,5.281816,5.311941,5.266845,5.318811,5.324468
950.271245,5.282144,5.312426,5.267264,5.319060,5.324497
950.771245,5.281373,5.311668,5.266317,5.318540,5.324074
951.271245,5.285964,5.316667,5.270990,5.323415,5.329407
951.771245,5.288043,5.318341,5.272545,5.325163,5.331011
952.271245,5.287177,5.317957,5.272300,5.324996,5.330838
952.771245,5.289419,5.320048,5.273994,5.326663,5.332236
953.271245,5.292660,5.322957,5.276869,5.329342,5.334744
953.771245,5.294626,5.325768,5.279603,5.331736,5.337240
954.271245,5.298691,5.330222,5.283563,5.336284,5.342448
954.771245,5.304024,5.335369,5.288320,5.341915,5.347908
955.271245,5.307534,5.339108,5.292629,5.345615,5.351815
955.771245,5.329534,5.360403,5.314113,5.367197,5.372541
956.271245,5.331141,5.362148,5.315787,5.369055,5.374670
956.771245,5.336054,5.367327,5.320363,5.374108,5.379688
957.271245,5.342952,5.374098,5.327293,5.380933,5.386697
957.771245,5.347037,5.378678,5.331426,5.385500,5.391700
958.271245,5.349247,5.380928,5.333421,5.388049,5.394377
958.771245,5.349605,5.381816,5.334182,5.388766,5.395166
959.271245,5.350684,5.382699,5.334694,5.389380,5.395536
959.771245,5.351418,5.383722,5.335478,5.390230,5.396523
960.271245,5.353534,5.386152,5.338057,5.392816,5.399291
960.771245,5.356018,5.388447,5.340405,5.395491,5.402106
961.271245,5.357291,5.390398,5.341814,5.397386,5.403899
961.771245,5.358766,5.391155,5.343102,5.398476,5.404327
962.271245,5.360127,5.392738,5.344116,5.399657,5.406150
962.771245,5.361714,5.394392,5.345840,5.402047,5.408343
963.271245,5.362410,5.395392,5.346572,5.402465,5.408740
963.771245,5.364178,5.397203,5.348060,5.404295,5.410742
964.271245,5.366406,5.399492,5.349964,5.406537,5.413221
964.771245,5.367209,5.400238,5.350680,5.407545,5.414228
965.271245,5.368287,5.401290,5.351439,5.408681,5.415172
965.771245,5.368480,5.401475,5.351580,5.408786,5.415350
966.271245,5.367985,5.400831,5.350912,5.407940,5.414372
966.771245,5.367297,5.400291,5.350397,5.407086,5.413631
967.271245,5.367562,5.400571,5.350311,5.407831,5.414609
967.771245,5.367707,5.400696,5.350515,5.408257,5.414843
968.271245,5.369872,5.403047,5.352744,5.410478,5.417012
968.771245,5.371347,5.404644,5.354279,5.412029,5.418474
969.271245,5.371818,5.405054,5.354467,5.412337,5.418872
969.771245,5.373837,5.407105,5.356550,5.414616,5.420907
970.271245,5.374876,5.408100,5.357212,5.415475,5.421623
970.771245,5.374958,5.408332,5.357489,5.415584,5.422150
971.271245,5.375905,5.409436,5.358240,5.416866,5.423410
971.771245,5.377307,5.410607,5.359182,5.418153,5.424668
972.271245,5.380782,5.414377,5.362586,5.421848,5.428484
972.771245,5.383241,5.416849,5.364896,5.424439,5.430820
973.271245,5.385225,5.419000,5.367117,5.426628,5.433232
973.771245,5.389490,5.423488,5.370375,5.431808,5.438451
974.271245,5.392936,5.427315,5.374201,5.434963,5.441893
974.771245,5.397015,5.431599,5.377756,5.439401,5.446660
975.271245,5.401814,5.436306,5.382294,5.444358,5.451654
975.771245,5.428217,5.461977,5.408114,5.469288,5.475975
976.271245,5.433035,5.466553,5.412396,5.474245,5.480814
976.771245,5.434952,5.468592,5.414688,5.476362,5.482915
977.271245,5.435540,5.469577,5.415531,5.477383,5.484210
977.771245,5.436255,5.470420,5.416065,5.478296,5.485170
978.271245,5.437143,5.471086,5.416698,5.479043,5.485853
978.771245,5.439405,5.473646,5.418951,5.481495,5.488340
979.271245,5.440306,5.474540,5.419606,5.482364,5.489275
979.771245,5.441234,5.475470,5.420949,5.483403,5.490212
980.271245,5.443607,5.478238,5.423136,5.486004,5.493119
980.771245,5.445047,5.479640,5.424678,5.487482,5.494703
981.271245,5.445095,5.479549,5.424184,5.487428,5.494564
981.771245,5.445448,5.480256,5.425187,5.488270,5.495382
982.271245,5.446131,5.481035,5.425908,5.489202,5.496299
982.771245,5.447771,5.482413,5.427146,5.490650,5.497635
983.271245,5.449780,5.484465,5.429219,5.492691,5.499867
983.771245,5.450844,5.485567,5.430095,5.493993,5.501338
984.271245,5.451972,5.486934,5.431753,5.495286,5.502825
984.771245,5.453562,5.488292,5.432595,5.496413,5.503769
985.271245,5.452746,5.487833,5.431733,5.495730,5.503226
985.771245,5.453291,5.488350,5.432029,5.496374,5.503827
986.271245,5.454090,5.489249,5.433070,5.497309,5.504829
986.771245,5.454785,5.490298,5.434221,5.498709,5.506127
987.271245,5.456888,5.492092,5.435840,5.500350,5.507725
987.771245,5.458615,5.493889,5.437444,5.502441,5.509998
988.271245,5.460912,5.496374,5.439449,5.504505,5.511941
988.771245,5.462134,5.497575,5.440749,5.506072,5.513386
989.271245,5.462979,5.498868,5.441440,5.507263,5.514692
989.771245,5.464774,5.500894,5.442672,5.509338,5.516614
990.271245,5.466782,5.503426,5.444766,5.511674,5.518962
990.771245,5.470360,5.507135,5.447982,5.515235,5.522918
991.271245,5.473626,5.510921,5.450640,5.519317,5.526984
991.771245,5.477232,5.515049,5.454086,5.523549,5.531147
992.271245,5.479968,5.517558,5.455800,5.525908,5.533870
992.771245,5.482134,5.520182,5.457561,5.528541,5.537172
993.271245,5.484497,5.523068,5.459603,5.532030,5.540366
993.771245,5.488273,5.526546,5.462249,5.535229,5.543612
994.271245,5.492091,5.530748,5.465989,5.539833,5.548106
994.771245,5.495652,5.534044,5.469341,5.543527,5.551887
995.271245,5.498455,5.537301,5.471742,5.546148,5.554767
995.771245,5.499406,5.538164,5.472431,5.547178,5.555507
996.271245,5.501497,5.540121,5.474303,5.549394,5.557773
996.771245,5.502889,5.541603,5.475568,5.551253,5.559626
997.271245,5.506271,5.545036,5.478884,5.554609,5.562959
997.771245,5.508328,5.547089,5.480811,5.556554,5.564843
998.271245,5.508707,5.547600,5.480660,5.556859,5.565325
998.771245,5.509705,5.548440,5.481333,5.558049,5.566392
999.271245,5.532106,5.570409,5.503102,5.578920,5.587253
999.771245,5.535194,5.573424,5.505830,5.581918,5.590394
1000.271245,5.537615,5.575882,5.508192,5.584765,5.593380
1000.771245,5.541041,5.579573,5.511537,5.588499,5.596916
1001.271245,5.542395,5.580740,5.512808,5.589737,5.598298
1001.771245,5.541793,5.580339,5.512499,5.589243,5.597541
1002.271245,5.542263,5.580859,5.513063,5.589545,5.598018
1002.771245,5.542042,5.580396,5.512348,5.589163,5.597459
1003.271245,5.542888,5.581343,5.513244,5.590323,5.598778
1003.771245,5.545357,5.583962,5.515752,5.592792,5.601222
1004.271245,5.546175,5.584863,5.516714,5.594044,5.602452
1004.771245,5.547518,5.586173,5.518027,5.595334,5.603687
1005.271245,5.547341,5.586176,5.517492,5.595394,5.603666
1005.771245,5.548848,5.587598,5.519192,5.596661,5.605058
1006.271245,5.550544,5.589308,5.520635,5.598870,5.607153
1006.771245,5.552362,5.591080,5.522332,5.600426,5.608650
1007.271245,5.552540,5.591501,5.522511,5.600851,5.609317
1007.771245,5.553346,5.592330,5.523172,5.601787,5.610323
1008.271245,5.554745,5.593871,5.524279,5.603225,5.611508
1008.771245,5.558281,5.597698,5.527577,5.607123,5.616019
1009.271245,5.561293,5.601351,5.530053,5.610226,5.619300
1009.771245,5.564739,5.605444,5.532568,5.614801,5.623485
1010.271245,5.568497,5.609889,5.535022,5.619861,5.629599
1010.771245,5.573058,5.615007,5.537479,5.624811,5.634837
1011.271245,5.577056,5.619193,5.540061,5.629612,5.639144
1011.771245,5.580470,5.623232,5.541762,5.633345,5.643008
1012.271245,5.584783,5.627820,5.544597,5.638480,5.648036
1012.771245,5.589041,5.632198,5.546436,5.642881,5.652457
1013.271245,5.592520,5.635975,5.548634,5.646589,5.656175
1013.771245,5.594253,5.638151,5.548840,5.648809,5.658796
1014.271245,5.594536,5.639059,5.548042,5.649663,5.659566
1014.771245,5.595958,5.641080,5.548255,5.651961,5.661903
1015.271245,5.599391,5.644928,5.550123,5.655643,5.665933
1015.771245,5.602717,5.648620,5.552318,5.659610,5.669902
1016.271245,5.604812,5.651397,5.552797,5.662496,5.672933
1016.771245,5.606065,5.653283,5.552032,5.664418,5.675078
1017.271245,5.610270,5.658600,5.553944,5.669632,5.680304
1017.771245,5.613145,5.661750,5.553445,5.672615,5.683591
1018.271245,5.613739,5.663001,5.551746,5.674191,5.685263
1018.771245,5.613620,5.663595,5.550098,5.674734,5.685564
1019.271245,5.614518,5.665175,5.549582,5.676248,5.687201
1019.771245,5.617569,5.668602,5.550945,5.679904,5.690709
1020.271245,5.621525,5.672812,5.553093,5.684328,5.695192
1020.771245,5.623865,5.675606,5.553219,5.687349,5.698066
1021.271245,5.624656,5.677102,5.550637,5.689080,5.699827
1021.771245,5.625558,5.679333,5.548201,5.691220,5.702145
1022.271245,5.628891,5.683793,5.546016,5.695421,5.706281
1022.771245,5.633494,5.691103,5.541089,5.702689,5.714051
1023.271245,5.672588,,,,6.020070
1023.771245,5.652999,5.985236,4.967366,5.996776,6.007905
1024.271245,5.643568,5.971500,4.968878,5.982209,5.993488
1024.771245,5.640162,5.967581,4.967504,5.977670,5.988145
1025.271245,5.637497,5.964333,4.966008,5.974764,5.986229
1025.771245,5.634333,5.960286,4.964084,5.969907,5.980624
1026.271245,5.630897,5.956765,4.963299,5.967670,5.978287
1026.771245,5.632920,5.958154,4.966049,5.968206,5.979021
1027.271245,5.636000,5.962910,4.964787,5.973209,5.984259
1027.771245,5.642872,5.972330,4.964453,5.982446,5.993645
1028.271245,5.649470,5.981092,4.964862,5.991348,6.002261
1028.771245,5.651544,5.983894,4.965003,5.994061,6.005445
1029.271245,5.653457,5.985498,4.966418,5.996078,6.007289
1029.771245,5.651667,5.984064,4.964682,5.994368,6.005509
1030.271245,5.650092,5.982843,4.963190,5.993003,6.004205
1030.771245,5.650981,5.983589,4.963867,5.993754,6.005026
1031.271245,5.651583,5.984305,4.964604,5.994471,6.005620
1031.771245,5.651821,5.984639,4.964857,5.995088,6.006294
1032.271245,5.651581,5.984606,4.964218,5.994501,6.005688
1032.771245,5.652775,5.985507,4.965095,5.995798,6.007281
1033.271245,5.653480,5.986238,4.965472,5.996111,6.007382
1033.771245,5.652768,5.985511,4.964965,5.995695,6.006961
1034.271245,5.652765,5.985419,4.964612,5.995973,6.007137
1034.771245,5.653271,5.986067,4.965170,5.996320,6.007382
1035.271245,5.652533,5.985546,4.964172,5.995575,6.006718
