?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,-0.003717,-0.003661,-0.003493,-0.003547
20.000000,0.113563,0.114080,0.114157,0.113293
30.000000,0.239778,0.239968,0.239960,0.239382
40.000000,0.297020,0.296103,0.296012,0.295902
50.000000,0.321052,0.321679,0.320973,0.321432
60.000000,0.339604,0.339036,0.338603,0.339433
70.000000,0.442836,0.442353,0.442907,0.442236
80.000000,0.496087,0.496572,0.497389,0.496052
90.000000,0.535328,0.536283,0.537869,0.535905
100.000000,0.579886,0.580648,0.582409,0.580128
110.000000,0.703860,0.704954,0.706776,0.704892
120.000000,0.758709,0.759811,0.761713,0.759230
130.000000,0.780233,0.782396,0.783953,0.781550
140.000000,0.889719,0.891977,0.894033,0.891148
150.000000,0.945989,0.947910,0.950699,0.947114
160.000000,0.983174,0.985276,0.988177,0.984868
170.000000,1.021870,1.023799,1.026708,1.023619
180.000000,1.122285,1.125300,1.128264,1.124309
190.000000,1.171303,1.173817,1.177339,1.173178
200.000000,1.281073,1.282603,1.285712,1.281947
210.000000,1.372409,1.374187,1.377519,1.373822
220.000000,1.427713,1.429196,1.432068,1.428531
230.000000,1.512150,1.513898,1.516903,1.513132
240.000000,1.601070,1.603101,1.605447,1.602278
250.000000,1.657139,1.659031,1.661802,1.657642
260.000000,1.775724,1.777901,1.780088,1.776928
270.000000,1.830521,1.832911,1.835381,1.832267
280.000000,1.938149,1.940091,1.942273,1.938957
290.000000,2.013226,2.015019,2.017177,2.014453
300.000000,2.072853,2.074655,2.077055,2.073725
310.000000,2.167465,2.169136,2.171912,2.168260
320.000000,2.198337,2.200056,2.202358,2.199210
330.000000,2.265361,2.267041,2.269690,2.265662
340.000000,2.306244,2.308330,2.311266,2.307887
350.000000,2.340306,2.342103,2.344604,2.341517
360.000000,2.418030,2.419768,2.422172,2.418484
370.000000,2.436957,2.439298,2.441771,2.438432
380.000000,2.441660,2.444065,2.446997,2.443217
390.000000,2.516280,2.517973,2.519717,2.516652
400.000000,2.566227,2.567936,2.570179,2.566712
410.000000,2.578160,2.580189,2.582617,2.579716
420.000000,2.654775,2.656849,2.658449,2.655295
430.000000,2.718824,2.721591,2.723805,2.721144
440.000000,2.738183,2.740610,2.742451,2.739406
450.000000,2.773631,2.776982,2.778886,2.776181
460.000000,2.830334,2.833679,2.835466,2.832553
470.000000,2.864204,2.867331,2.869396,2.866828
480.000000,2.915463,2.919395,2.921185,2.918292
490.000000,2.962532,2.966767,2.968151,2.966084
500.000000,2.986789,2.991014,2.991739,2.989689
510.000000,3.068439,3.073129,3.073940,3.072430
520.000000,3.109560,3.115279,3.115720,3.114180
530.000000,3.136479,3.141270,3.141304,3.140845
540.000000,3.181112,3.186735,3.186338,3.186268
550.000000,3.204772,3.211323,3.210736,3.210125
560.000000,3.269663,3.276435,3.275525,3.275636
570.000000,3.294563,3.302473,3.300992,3.301481
580.000000,3.347696,3.355767,3.353726,3.355244
590.000000,3.383780,3.392601,3.390568,3.392706
600.000000,3.428317,3.437645,3.434922,3.437471
610.000000,3.482967,3.493124,3.489509,3.492362
620.000000,3.520620,3.531000,3.527531,3.530950
630.000000,3.554378,3.565471,3.560138,3.565544
640.000000,3.614965,3.626770,3.620678,3.627090
650.000000,3.652074,3.664417,3.658039,3.665250
660.000000,3.698959,3.711734,3.704909,3.712827
668.804007,3.720602,3.735023,3.727021,3.735536
673.804007,3.750157,3.763864,3.755830,3.765094
678.804007,3.765131,3.780542,3.771450,3.780825
683.804007,3.797865,3.811699,3.803424,3.812574
688.804007,3.815197,3.831247,3.821105,3.831751
693.804007,3.826490,3.843241,3.832299,3.843917
698.804007,3.857977,3.874270,3.864317,3.874880
703.804007,3.878343,3.895568,3.883868,3.896913
708.804007,3.914942,3.933138,3.921056,3.933758
713.804007,3.932203,3.949816,3.937168,3.951313
718.804007,3.939706,3.957856,3.944648,3.959409
723.804007,3.936620,3.954595,3.942220,3.956499
728.804007,3.988080,4.006075,3.993226,4.007585
733.804007,4.018756,4.039638,4.024622,4.041761
738.804007,4.054552,4.075606,4.060754,4.077098
743.804007,4.066280,4.087580,4.071312,4.089480
748.804007,4.071034,4.091987,4.076012,4.094040
753.804007,4.086177,4.107928,4.090926,4.109742
758.804007,4.126949,4.149169,4.131972,4.151483
763.804007,4.136190,4.159454,4.141121,4.161325
768.804007,4.146447,4.170655,4.151951,4.173017
773.804007,4.166896,4.190416,4.172844,4.193712
778.804007,4.225584,4.250364,4.230647,4.252968
783.804007,4.242641,4.269564,4.248194,4.272653
788.804007,4.255473,4.282187,4.260605,4.285885
793.804007,4.267678,4.294400,4.272599,4.297550
798.804007,4.267305,4.293946,4.272397,4.297258
803.804007,4.307502,4.334334,4.312362,4.337604
808.356382,4.333524,4.362615,4.338539,4.366440
808.856382,4.334593,4.363847,4.339507,4.367836
809.356382,4.335817,4.365298,4.340732,4.369108
809.856382,4.336802,4.366247,4.341876,4.370310
810.356382,4.338685,4.368054,4.343692,4.372147
810.856382,4.341442,4.370831,4.346438,4.375050
811.356382,4.343547,4.372976,4.348856,4.377426
811.856382,4.345174,4.374698,4.350262,4.379141
812.356382,4.347278,4.376624,4.352371,4.381280
812.856382,4.349257,4.378970,4.354507,4.383319
813.356382,4.349349,4.378877,4.354256,4.383062
813.856382,4.349250,4.378973,4.354568,4.383442
814.356382,4.350642,4.380181,4.355749,4.384744
814.856382,4.351945,4.381235,4.356917,4.385815
815.356382,4.354673,4.384111,4.359439,4.388216
815.856382,4.354623,4.384317,4.359429,4.388513
816.356382,4.355896,4.385563,4.360629,4.389656
816.856382,4.357983,4.387314,4.362544,4.391588
817.356382,4.358912,4.388380,4.363463,4.392311
817.856382,4.360202,4.390008,4.365207,4.393771
818.356382,4.361965,4.391654,4.366729,4.395593
818.856382,4.384773,4.414272,4.389860,4.417926
819.356382,4.386249,4.415473,4.391279,4.419492
819.856382,4.387219,4.416847,4.392273,4.420406
820.356382,4.387877,4.417750,4.393070,4.421749
820.856382,4.389405,4.418863,4.394380,4.423085
821.356382,4.390314,4.419797,4.395245,4.424127
821.856382,4.392044,4.421497,4.397060,4.425760
822.356382,4.390932,4.420494,4.396026,4.424616
822.856382,4.390308,4.420129,4.395395,4.424059
823.356382,4.392138,4.421801,4.397179,4.425750
823.856382,4.393706,4.423490,4.398910,4.427615
824.356382,4.394707,4.424569,4.399558,4.428619
824.856382,4.396499,4.426494,4.401079,4.430323
825.356382,4.398499,4.428105,4.402898,4.432307
825.856382,4.400005,4.429982,4.404747,4.434031
826.356382,4.401396,4.431249,4.405770,4.435197
826.856382,4.402533,4.432465,4.406993,4.436469
827.356382,4.404329,4.434152,4.408407,4.438237
827.856382,4.406234,4.436170,4.410243,4.439900
828.356382,4.408892,4.438982,4.413073,4.442958
828.856382,4.411899,4.442006,4.416381,4.446529
829.356382,4.414438,4.444664,4.418475,4.448955
829.856382,4.416397,4.446660,4.420527,4.451094
830.356382,4.416908,4.447228,4.421092,4.452034
830.856382,4.418955,4.449597,4.423098,4.454180
831.356382,4.421503,4.452727,4.426069,4.457481
831.856382,4.424102,4.455370,4.428466,4.459904
832.356382,4.425589,4.457254,4.430251,4.461879
832.856382,4.427565,4.459672,4.432421,4.464194
833.356382,4.428129,4.459981,4.432679,4.464400
833.856382,4.428822,4.460703,4.433428,4.465233
834.356382,4.430827,4.462944,4.435705,4.467595
834.856382,4.432431,4.464473,4.437288,4.469163
835.356382,4.433239,4.465341,4.438166,4.470178
835.856382,4.434114,4.466247,4.438719,4.470799
836.356382,4.433843,4.466045,4.438540,4.470826
836.856382,4.436101,4.468265,4.441182,4.472607
837.356382,4.437184,4.469485,4.442122,4.474093
837.856382,4.437975,4.470041,4.442668,4.475033
838.356382,4.440415,4.472847,4.445384,4.477634
838.856382,4.441632,4.473754,4.446462,4.478908
839.356382,4.449362,4.481244,4.454108,4.485669
839.856382,4.461397,4.492342,4.465985,4.497224
840.356382,4.462901,4.494403,4.467219,4.498484
840.856382,4.465810,4.497228,4.469845,4.501069
841.356382,4.468257,4.500160,4.472513,4.504202
841.856382,4.469573,4.501649,4.473860,4.505839
842.356382,4.469348,4.501248,4.473818,4.505911
842.856382,4.470622,4.502713,4.475288,4.507603
