?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
1040.000000,5.364734,5.405873,5.366895,5.425133,5.450634
1050.000000,5.401874,5.445436,5.404186,5.465369,5.492595
1060.000000,5.429767,5.475182,5.432674,5.495463,5.523030
1095.731924,5.612017,5.661433,5.614541,5.683134,5.713220
1105.731924,5.640918,5.691897,5.642030,5.714372,5.744157
1111.707301,5.667692,5.720207,5.669338,5.743353,5.774828
1116.707301,5.683404,5.737031,5.684414,5.760259,5.791255
1121.707301,5.723218,5.776405,5.723401,5.798658,5.829727
1126.707301,5.744615,5.799007,5.745800,5.822421,5.853792
1131.707301,5.756491,5.811169,5.757458,5.834659,5.866754
1134.030838,5.761849,5.817654,5.757629,5.841425,5.874543
1134.530838,5.764375,5.819891,5.765183,5.844162,5.876434
1135.030838,5.765349,5.820127,5.766721,5.844623,5.876174
1135.530838,5.767591,5.823329,5.769116,5.847525,5.879253
1136.030838,5.771565,5.827436,5.772477,5.851329,5.884229
1136.530838,5.775280,5.830624,5.776281,5.856314,5.888342
1137.030838,5.781187,5.837668,5.781349,5.861216,5.892828
1137.530838,5.786475,5.842594,5.787390,5.866645,5.900115
1138.030838,5.791564,5.847522,5.793144,5.872097,5.904965
1138.530838,5.796823,5.852820,5.797795,5.878035,5.910843
1139.030838,5.800503,5.859206,5.802348,5.881922,5.915762
1139.530838,5.803176,5.861313,5.804500,5.885844,5.919717
1140.030838,5.805041,5.862783,5.806134,5.888020,5.920727
1140.530838,5.806943,5.864637,5.807019,5.889602,5.922909
1141.030838,5.809063,5.867036,5.810398,5.892543,5.925537
1141.530838,5.813190,5.870976,5.813394,5.895995,5.928935
1142.030838,5.815967,5.873990,5.816473,5.899111,5.931994
1142.530838,5.820278,5.878262,5.820917,5.903200,5.936377
1143.030838,5.822894,5.881713,5.823489,5.906418,5.939616
1143.530838,5.824906,5.884331,5.826240,5.909613,5.942274
1144.030838,5.827027,5.885769,5.827140,5.910206,5.944115
1144.530838,5.827294,5.885616,5.828150,5.911094,5.945227
1145.030838,5.827815,5.886853,5.828841,5.911953,5.945832
1145.530838,5.829776,5.888227,5.829684,5.912883,5.947412
1146.030838,5.832050,5.890288,5.831771,5.915165,5.949182
1146.530838,5.832446,5.892658,5.832565,5.915908,5.950498
1147.030838,5.833707,5.892810,5.834219,5.917407,5.951510
1147.530838,5.836048,5.894365,5.836054,5.919211,5.953530
1148.030838,5.839162,5.897286,5.839094,5.922465,5.956974
1148.530838,5.837882,5.896239,5.838602,5.921336,5.955801
1149.030838,5.839014,5.897974,5.839197,5.922841,5.956935
1149.530838,5.839735,5.898359,5.840123,5.923807,5.957522
1150.030838,5.840392,5.899526,5.840607,5.924572,5.958410
1150.530838,5.840435,5.899741,5.840429,5.924905,5.959268
1151.030838,5.842034,5.901416,5.842530,5.926380,5.961056
1151.530838,5.844806,5.903912,5.845115,5.929252,5.963317
1152.030838,5.846333,5.905441,5.846915,5.931030,5.964999
1152.530838,5.846983,5.906654,5.847853,5.931968,5.966757
1153.030838,5.846660,5.906108,5.847782,5.931730,5.966051
1153.530838,5.846183,5.905337,5.846772,5.931066,5.964759
1154.030838,5.845049,5.904018,5.844977,5.929380,5.964231
1154.530838,5.843633,5.902902,5.844162,5.927993,5.962570
1155.030838,5.841984,5.901986,5.842709,5.926321,5.960923
1155.530838,5.842275,5.900635,5.842571,5.926378,5.960275
1156.030838,5.843094,5.901792,5.843608,5.927232,5.961686
1156.530838,5.844281,5.902933,5.844767,5.928834,5.962641
1157.030838,5.846986,5.906938,5.847379,5.932129,5.966458
1157.530838,5.851253,5.911262,5.852183,5.936666,5.971596
1158.030838,5.855769,5.916318,5.856840,5.942873,5.976349
1158.530838,5.888376,5.946743,5.888078,5.971318,6.005462
1159.030838,5.893016,5.951815,5.893521,5.976941,6.011045
1159.530838,5.892518,5.951523,5.893395,5.977019,6.011349
1160.030838,5.894092,5.953730,5.894831,5.979083,6.013081
1160.530838,5.898672,5.958572,5.899317,5.983782,6.017507
1161.030838,5.902459,5.963977,5.903682,5.989189,6.022540
1161.530838,5.909658,5.970157,5.910065,5.995827,6.030312
1162.030838,5.916980,5.977364,5.917215,6.002662,6.036844
1162.530838,5.921837,5.982117,5.921718,6.007498,6.041770
1163.030838,5.923501,5.984371,5.924152,6.009851,6.044171
1163.530838,5.923511,5.983031,5.923096,6.008983,6.043433
1164.030838,5.920711,5.981407,5.921025,6.006637,6.041702
1164.530838,5.918053,5.979421,5.919012,6.005426,6.039860
1165.030838,5.918447,5.978790,5.919436,6.005681,6.040275
1165.530838,5.919796,5.980971,5.920522,6.006721,6.041630
1166.030838,5.921508,5.982489,5.922210,6.008604,6.043192
1166.530838,5.925008,5.985879,5.924742,6.011033,6.046174
1167.030838,5.927959,5.987740,5.927756,6.013999,6.048221
1167.530838,5.928444,5.988970,5.928597,6.015071,6.049955
1168.030838,5.928244,5.989087,5.928576,6.014557,6.049400
1168.530838,5.927692,5.988391,5.927712,6.014088,6.048882
1169.030838,5.927116,5.988165,5.927208,6.013358,6.048250
1169.530838,5.927392,5.988727,5.927207,6.013769,6.049580
1170.030838,5.928969,5.989228,5.929551,6.015997,6.051274
1170.530838,5.931427,5.992433,5.932183,6.019145,6.054005
1171.030838,5.935655,5.996189,5.936169,6.023327,6.058415
1171.530838,5.939867,6.001727,5.940149,6.027622,6.062828
1172.030838,5.943199,6.005736,5.944386,6.031829,6.066565
1172.530838,5.946645,6.009458,5.947366,6.036151,6.071364
1173.030838,5.949780,6.013364,5.951311,6.039986,6.074919
1173.530838,5.951977,6.016104,5.953227,6.042836,6.077807
1174.030838,5.954765,6.018879,5.956090,6.045387,6.080603
1174.530838,5.957603,6.021916,5.958343,6.048087,6.083502
1175.030838,5.961872,6.025735,5.962385,6.052831,6.087944
1175.530838,5.964651,6.029439,5.966012,6.055098,6.091131
1176.030838,5.967956,6.031823,5.967703,6.058311,6.093882
1176.530838,5.969895,6.033766,5.969617,6.060564,6.096151
1177.030838,5.971976,6.036343,5.972411,6.062423,6.098276
1177.530838,5.973840,6.037770,5.973284,6.064276,6.099602
1178.030838,5.975690,6.039980,5.975711,6.066486,6.102361
1178.530838,5.977795,6.041851,5.978008,6.068694,6.104756
1179.030838,5.979838,6.044538,5.979694,6.071205,6.107094
1179.530838,5.982197,6.046363,5.982443,6.073700,6.108919
1180.030838,5.983880,6.049419,5.984562,6.076377,6.111587
1180.530838,5.985375,6.050688,5.985811,6.077422,6.113144
1181.030838,5.985598,6.051486,5.986279,6.078301,6.113447
1181.530838,5.985928,6.051447,5.986487,6.078811,6.114014
1182.030838,5.987004,6.051548,5.987577,6.079003,6.115126
1182.530838,5.985905,6.050861,5.986587,6.078487,6.114150
1183.030838,5.985987,6.051774,5.986413,6.077826,6.113735
1183.530838,5.985299,6.050688,5.985501,6.077573,6.112871
1184.030838,5.985204,6.050387,5.985982,6.077815,6.113060
1184.530838,5.986461,6.051854,5.986746,6.078998,6.114257
1185.030838,5.987762,6.053226,5.988128,6.080428,6.115517
1185.530838,5.989134,6.055548,5.990025,6.082691,6.118395
1186.030838,5.991092,6.056441,5.991618,6.084747,6.119980
1186.530838,5.991630,6.057463,5.992305,6.085122,6.120784
1187.030838,5.993616,6.059500,5.994286,6.087008,6.123005
1187.530838,5.995028,6.061889,5.995822,6.088371,6.124837
1188.030838,5.995706,6.062642,5.996744,6.090090,6.125619
1188.530838,5.998702,6.065829,5.999682,6.093090,6.128764
1189.030838,6.025645,6.091095,6.025329,6.117709,6.152698
1189.530838,6.029372,6.094261,6.028936,6.121117,6.156373
1190.030838,6.031340,6.096260,6.031515,6.123575,6.158821
1190.530838,6.031513,6.096727,6.031654,6.124022,6.158804
1191.030838,6.031674,6.097401,6.031756,6.124063,6.160518
1191.530838,6.033643,6.099491,6.034723,6.126851,6.162840
1192.030838,6.039217,6.106716,6.040476,6.133323,6.169282
1192.530838,6.045481,6.112452,6.045811,6.139597,6.175547
1193.030838,6.053300,6.121198,6.054007,6.147195,6.183797
1193.530838,6.059864,6.126776,6.060070,6.153300,6.189422
1194.030838,6.063643,6.130132,6.063939,6.157482,6.194778
