?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
445.375961,4.528736,4.593920,4.541497,4.592057,4.601749
445.875961,4.530914,4.595808,4.543225,4.594251,4.603999
446.375961,4.531435,4.596610,4.543784,4.594762,4.604465
446.875961,4.531319,4.596458,4.543613,4.594811,4.604684
447.375961,4.532910,4.598332,4.545502,4.596571,4.606386
447.875961,4.535411,4.601157,4.548036,4.599430,4.609378
448.375961,4.536563,4.602256,4.549253,4.600633,4.610565
448.875961,4.537080,4.602504,4.549565,4.600906,4.610972
449.375961,4.538459,4.604238,4.550942,4.602635,4.612677
449.875961,4.542238,4.607982,4.554802,4.606324,4.616380
450.375961,4.544272,4.610397,4.556689,4.608657,4.618681
450.875961,4.547515,4.614058,4.559969,4.612509,4.622206
451.375961,4.550593,4.617449,4.563126,4.616039,4.625779
451.875961,4.554460,4.622020,4.567106,4.620629,4.630311
452.375961,4.559038,4.626693,4.571518,4.625185,4.635115
452.875961,4.563838,4.631971,4.576548,4.630403,4.640382
453.375961,4.569773,4.638276,4.582246,4.636437,4.646751
453.875961,4.575319,4.644012,4.587599,4.642205,4.652337
454.375961,4.600372,4.668614,4.612731,4.666997,4.676932
454.875961,4.605277,4.673801,4.617894,4.672467,4.682226
455.375961,4.612201,4.681080,4.624659,4.679501,4.689700
455.875961,4.617173,4.686472,4.629941,4.684794,4.695015
456.375961,4.618701,4.688240,4.631118,4.686715,4.697128
456.875961,4.619581,4.689747,4.632478,4.688006,4.698500
457.375961,4.624185,4.694643,4.637056,4.693008,4.703421
457.875961,4.627905,4.698599,4.640687,4.696650,4.707276
458.375961,4.630305,4.701729,4.643514,4.699652,4.710290
458.875961,4.630929,4.702114,4.644084,4.700218,4.710906
459.375961,4.632400,4.703562,4.645131,4.701678,4.712317
459.875961,4.636206,4.707436,4.649002,4.705778,4.716393
460.375961,4.639266,4.710920,4.652006,4.709397,4.719752
460.875961,4.641094,4.713184,4.654241,4.711638,4.721867
461.375961,4.641955,4.714299,4.654863,4.712776,4.722955
461.875961,4.645385,4.717548,4.657956,4.716082,4.726576
462.375961,4.649180,4.721704,4.662190,4.720218,4.730796
462.875961,4.650721,4.723582,4.663644,4.722194,4.732724
463.375961,4.673248,4.745969,4.686414,4.743891,4.754418
463.875961,4.674510,4.747166,4.687732,4.745191,4.755873
464.375961,4.679699,4.752514,4.692892,4.750502,4.761431
464.875961,4.682675,4.755768,4.695541,4.753839,4.764542
465.375961,4.687092,4.760081,4.699862,4.758670,4.769151
465.875961,4.688238,4.761678,4.701180,4.760421,4.770663
466.375961,4.691895,4.765831,4.705163,4.764318,4.774924
466.875961,4.693259,4.767200,4.706193,4.765576,4.776262
467.375961,4.696993,4.771299,4.709963,4.769704,4.780414
467.875961,4.701146,4.776003,4.714363,4.774228,4.785168
468.375961,4.706327,4.781735,4.719286,4.779939,4.790900
468.875961,4.710106,4.785918,4.723490,4.784104,4.795201
469.375961,4.713192,4.789577,4.726280,4.787492,4.798598
469.875961,4.717791,4.794712,4.731360,4.792552,4.803999
470.375961,4.719808,4.797105,4.733563,4.795162,4.806535
470.875961,4.722734,4.799896,4.736454,4.798248,4.809681
471.375961,4.725070,4.802919,4.738774,4.801222,4.812457
471.875961,4.729738,4.807626,4.743384,4.806083,4.817336
472.375961,4.732564,4.810883,4.746342,4.809159,4.820400
472.875961,4.737034,4.815496,4.750551,4.813753,4.824972
473.375961,4.739111,4.817807,4.752725,4.816312,4.827546
473.875961,4.740332,4.819487,4.754141,4.817869,4.828994
474.375961,4.763255,4.841814,4.776804,4.839438,4.850674
474.875961,4.766318,4.844921,4.779948,4.842986,4.854079
475.375961,4.770990,4.849682,4.784686,4.847703,4.858866
475.875961,4.773867,4.852677,4.787644,4.850798,4.861736
476.375961,4.776270,4.854911,4.790237,4.853345,4.864382
476.875961,4.776631,4.855931,4.790520,4.854261,4.865254
477.375961,4.781027,4.860332,4.795059,4.859049,4.870120
477.875961,4.785137,4.864547,4.798653,4.863074,4.874406
478.375961,4.790995,4.871088,4.804525,4.869584,4.880937
478.875961,4.793671,4.874417,4.807270,4.872560,4.883922
479.375961,4.795680,4.876504,4.809479,4.874963,4.886620
479.875961,4.797240,4.878723,4.811424,4.877126,4.888769
480.375961,4.802828,4.884574,4.816983,4.882883,4.894530
480.875961,4.806967,4.889013,4.820774,4.887194,4.899066
481.375961,4.809995,4.892269,4.823962,4.890703,4.902573
481.875961,4.811340,4.894235,4.825744,4.892560,4.904630
482.375961,4.813260,4.896757,4.827801,4.894915,4.907026
482.875961,4.818371,4.902414,4.832792,4.900927,4.912625
483.375961,4.822071,4.906278,4.836336,4.905009,4.916665
483.875961,4.831313,4.915938,4.845804,4.914332,4.926061
484.375961,4.850354,4.934516,4.864939,4.932273,4.943935
484.875961,4.854347,4.938261,4.868763,4.936465,4.948335
485.375961,4.858370,4.943060,4.873091,4.941120,4.952915
485.875961,4.862811,4.947529,4.876979,4.945651,4.957374
486.375961,4.864177,4.948898,4.878307,4.947676,4.959399
486.875961,4.864725,4.950246,4.879186,4.948434,4.960293
487.375961,4.867725,4.953075,4.882201,4.951671,4.963675
487.875961,4.870418,4.956351,4.885103,4.955114,4.966963
488.375961,4.873364,4.959918,4.888189,4.958387,4.970337
488.875961,4.874805,4.961205,4.889166,4.959773,4.971858
489.375961,4.877007,4.963558,4.891390,4.962058,4.974132
489.875961,4.877999,4.965074,4.892747,4.963603,4.975546
490.375961,4.881488,4.968608,4.896056,4.966991,4.979138
490.875961,4.883643,4.971351,4.898004,4.969390,4.981615
491.375961,4.887164,4.975013,4.901821,4.973075,4.985452
491.875961,4.889475,4.977693,4.904061,4.975624,4.988117
492.375961,4.893382,4.981782,4.907993,4.979945,4.992539
492.875961,4.899252,4.988117,4.914169,4.986467,4.999164
