Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 10:00:51, 11.55,    97,    90,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:52, 11.07,   100,   105,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:53, 10.67,   114,   114,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:54, 10.60,   120,   126,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:55,  8.73,   138,   136,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:56,  7.73,   150,   158,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:57,  6.91,   165,   173,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:58,  5.74,   177,   189,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:59,  5.47,   187,   203,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:00,  4.03,   201,   215,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:01,  2.90,   207,   229,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:02,  2.19,   228,   240,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:03,  1.22,   245,   267,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:04, -0.07,   261,   285,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:05, -0.09,   264,   296,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:06, -0.94,   269,   304,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:07, -1.10,   269,   309,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:08, -1.46,   273,   316,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:09, -1.76,   272,   325,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:10, -1.98,   272,   328,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:11, -2.00,   272,   329,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:12, -2.01,   273,   328,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:13, -1.95,   276,   328,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:14, -1.95,   275,   328,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:15, -1.97,   273,   328,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:16, -1.94,   273,   329,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:17, -1.96,   273,   328,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:18, -1.93,   271,   328,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:19, -1.94,   272,   328,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:01:20, -1.93,   271,   328,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:21, -1.95,   269,   328,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:01:22, -2.11,   274,   330,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:01:23, -2.42,   282,   335,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
